22;331;35c;490;
dd;314;31f;dbb4;
dd;311;31d;e158;
dd;312;31d;e6fc;
dd;313;31e;eca0;
dc;311;31f;f248;
dc;312;31d;f7ec;
da;30f;31d;fd90;
d9;313;31b;334;
d9;30e;31c;884;
d9;313;31e;dd4;
d8;311;31d;1324;
d7;311;31d;18cc;
d7;30d;31e;1e70;
d6;312;31d;241c;
d5;311;31c;29b8;
d5;310;31d;2f60;
d4;311;31d;3504;
d2;310;31b;3aa8;
d3;311;31d;404c;
d2;311;31c;45f4;
d2;313;31e;4b98;
d1;311;31e;513c;
d0;310;31e;56e0;
cf;311;31d;5c88;
cf;310;31f;622c;
ce;312;31e;67d0;
cd;311;31d;6d74;
cc;30f;320;731c;
cc;313;31f;78c0;
ca;311;31e;7e64;
ca;310;31d;8410;
c8;310;31c;89b0;
c8;314;31e;8f54;
c7;311;321;94f8;
c6;311;31e;9a9c;
c5;312;31d;a044;
c5;311;31f;a5e8;
c4;311;31d;ab8c;
c2;310;31c;b130;
c2;310;31d;b6d8;
c1;311;31b;bc7c;
c0;311;31b;c220;
bf;310;31e;c7c4;
be;312;31e;cd6c;
be;311;31d;d310;
bc;312;31f;d8b4;
bb;313;31c;de58;
bb;30e;31f;e404;
ba;311;31c;e9a4;
b9;312;31e;ef48;
b7;30f;31b;f4ec;
b7;30f;31c;fa94;
b6;312;31d;38;
b5;311;31c;534;
b3;30e;31c;a84;
b2;311;31c;fd4;
b2;310;31d;1524;
b0;313;31e;1ac8;
b0;310;31d;206c;
ae;312;31e;2610;
ad;312;31e;2bb8;
ac;310;31e;315c;
ab;30f;31d;3700;
aa;310;31c;3ca4;
a9;311;31f;424c;
a8;312;31e;47f0;
a6;310;31e;4d94;
a6;30f;31f;5338;
a5;311;31d;58e0;
a4;311;31b;5e84;
a2;311;31d;6428;
a2;310;31c;69cc;
a1;30f;31f;6f74;
a0;30f;31d;7518;
9e;312;31c;7abc;
9d;30e;31d;8060;
9b;310;31d;8608;
9a;311;31d;8bac;
99;311;31c;9150;
99;310;31e;96f4;
96;30e;31d;9c9c;
95;30f;31d;a240;
95;313;31d;a7e4;
93;310;31e;ad88;
92;311;31d;b330;
91;310;31d;b8d4;
90;312;31f;be78;
8e;310;31d;c420;
8d;310;31d;c9c4;
8c;312;31f;cf68;
8b;310;31e;d50c;
8a;311;31e;dab0;
88;311;31d;e058;
87;30f;31e;e5fc;
86;311;31d;eba0;
85;311;31d;f144;
84;311;31e;f6ec;
83;311;31e;fc90;
82;312;31f;234;
80;30f;31e;784;
7f;313;321;cd4;
7e;311;31e;1224;
7d;314;31d;17c8;
7c;30f;31d;1d70;
7a;312;31f;2314;
78;312;321;28b8;
78;311;320;2e5c;
76;311;321;3408;
75;30e;320;39a8;
75;30f;320;3f4c;
73;311;323;44f0;
72;313;323;4a98;
71;313;324;503c;
70;311;324;55e0;
6e;312;323;5b84;
6d;313;325;612c;
6c;311;325;66d0;
6b;314;327;6c74;
6a;311;326;7218;
69;313;328;77c0;
67;311;32a;7d64;
66;313;32c;8308;
65;313;329;88ac;
63;314;32f;8e54;
63;314;32d;93f8;
62;314;32c;999c;
60;314;32b;9f40;
5f;314;32e;a4e8;
5e;317;32d;aa8c;
5d;316;32e;b030;
5c;315;32e;b5d4;
5a;316;330;bb7c;
59;317;331;c120;
58;318;333;c6c4;
57;317;331;cc68;
56;319;333;d210;
56;316;334;d7b4;
55;317;335;dd58;
52;31a;336;e2fc;
52;31b;335;e8a4;
52;31b;336;ee48;
50;31e;335;f3ec;
4f;31e;339;f990;
4e;320;338;ff38;
4c;31d;339;4dc;
4b;31e;338;a2c;
4b;31d;339;f7c;
4a;31e;33b;14cc;
49;31f;33e;1a70;
47;320;339;201c;
46;320;33b;25bc;
46;322;33f;2b60;
44;31f;33d;3104;
43;322;33c;36a8;
43;326;340;3c50;
41;323;33f;41f4;
40;326;33d;4798;
3f;323;33f;4d3c;
3f;326;33e;52e4;
