980;696;755;17436;
1015;694;760;18456;
1029;696;759;19480;
1050;695;758;20508;
1078;697;759;21532;
1085;695;758;22556;
1085;696;756;23580;
1113;696;759;24604;
1120;696;756;25624;
1148;694;759;26652;
1183;696;758;27672;
1190;694;759;28696;
1218;694;759;29724;
1253;696;756;30748;
1260;696;755;31772;
1288;696;757;32796;
1295;696;756;33820;
1330;692;760;34844;
1358;695;759;35868;
1379;695;759;36888;
1400;694;759;37916;
1428;696;756;38940;
1463;697;758;39964;
1470;696;757;40988;
1484;696;755;42012;
1533;694;760;43036;
1554;696;759;44060;
1575;695;760;45084;
1603;696;759;46108;
1624;696;756;47132;
1638;696;758;48156;
1645;696;758;49176;
1680;697;756;50200;
1715;697;759;51224;
1736;694;758;52252;
1764;697;759;53276;
1771;694;759;54300;
1785;696;759;55324;
1806;696;758;56348;
1834;697;756;57372;
1841;695;757;58392;
1869;696;759;59420;
1890;693;759;60444;
1911;697;760;61464;
1925;692;758;62488;
1939;696;759;63516;
1960;696;756;64540;
1946;696;756;24;
1981;695;758;1040;
2009;696;759;2060;
2009;696;758;3076;
2016;695;759;4088;
2044;696;759;5100;
2044;696;758;6120;
2044;694;758;7140;
2051;696;759;8164;
2065;695;758;9184;
2065;696;759;10204;
2072;696;758;11224;
2072;693;760;12244;
2072;696;759;13264;
2072;696;759;14280;
2072;696;759;15300;
2072;696;757;16320;
2072;696;758;17340;
2072;695;759;18360;
2065;696;759;19380;
2051;696;759;20400;
2065;696;759;21420;
2044;696;757;22440;
2044;695;757;23460;
2030;696;757;24480;
2044;696;759;25500;
2016;694;758;26520;
2009;695;758;27544;
1995;695;758;28564;
1995;695;758;29584;
1960;696;758;30608;
1960;696;759;31628;
1939;694;759;32640;
1925;696;755;33656;
1904;695;756;34676;
1890;696;756;35696;
1869;696;756;36716;
1855;696;756;37736;
1834;693;755;38756;
1806;695;755;39776;
1785;695;755;40800;
1764;695;755;41820;
1736;696;755;42840;
1736;695;757;43860;
1701;696;755;44880;
1701;696;759;45904;
1673;695;759;46924;
1659;696;759;47944;
1624;696;759;48964;
1610;696;758;49984;
1589;696;759;51004;
1568;696;760;52024;
1533;696;760;53044;
1505;696;759;54064;
1484;695;760;55084;
1463;695;760;56108;
1435;692;758;57128;
1414;692;759;58148;
1393;694;760;59168;
1365;692;759;60188;
1330;692;759;61208;
1309;694;760;62228;
1295;695;760;63248;
1274;693;760;64260;
1239;696;756;65276;
1218;696;760;760;
1190;696;757;1780;
1169;695;756;2796;
1155;696;758;3816;
1148;696;758;4836;
1113;696;758;5856;
1085;696;756;6880;
1085;696;758;7900;
1064;696;757;8920;
1043;696;757;9940;
1015;696;756;10960;
1015;696;755;11980;
1008;696;756;13000;
980;696;758;14020;
973;696;757;15040;
959;696;760;16052;
959;694;760;17064;
945;694;760;18076;
924;696;756;19088;
910;696;759;20104;
910;693;759;21116;
910;692;759;22128;
903;696;757;23140;
889;694;756;24160;
889;696;758;25180;
875;696;756;26200;
875;696;756;27220;
875;693;760;28240;
875;696;758;29260;
875;696;758;30280;
875;696;755;31300;
875;692;758;32320;
889;696;759;33340;
889;696;755;34360;
889;696;755;35380;
903;692;759;36400;
910;696;759;37420;
910;696;756;38440;
924;696;756;39460;
924;694;759;40480;
959;696;759;41504;
959;694;759;42524;
973;695;760;43544;
994;696;758;44564;
1008;695;759;45588;
1015;695;759;46608;
1043;696;759;47628;
1050;694;759;48648;
1078;695;759;49668;
1085;696;759;50692;
1113;694;760;51712;
1120;694;759;52732;
1148;695;760;53752;
1169;692;760;54772;
1190;695;760;55792;
1204;697;759;56812;
1239;696;760;57832;
1253;692;758;58852;
1274;694;760;59872;
1295;699;757;60892;
1330;695;759;61912;
1330;692;758;62932;
1365;695;760;63952;
1393;696;758;64972;
1414;694;760;456;
1435;694;759;1472;
1463;697;759;2488;
1470;696;758;3500;
1505;696;758;4516;
1540;696;755;5532;
1568;697;756;6552;
1568;696;756;7572;
1603;696;759;8592;
1624;696;755;9608;
1645;696;758;10628;
1673;696;756;11648;
1694;695;759;12668;
1715;696;756;13688;
1736;695;758;14708;
1764;696;758;15728;
1771;695;759;16748;
1806;696;756;17768;
1834;694;759;18788;
1841;696;755;19808;
1869;696;759;20828;
