375;2e4;317;4ebc;
3a6;2e3;315;52e8;
3ca;2e3;316;571c;
3de;2e5;316;5b54;
3ed;2e7;317;5f8c;
3de;2e7;317;63c0;
3ca;2e5;318;67f4;
3a0;2e7;317;6c30;
36e;2e6;317;7064;
344;2e4;319;7498;
328;2e7;314;78cc;
313;2e3;318;7d00;
313;2e3;316;8134;
328;2e3;316;856c;
352;2e4;316;89a4;
384;2e6;316;8dd8;
3ae;2e7;317;920c;
3d8;2e6;318;9640;
3e6;2e7;318;9a74;
3ed;2e7;314;9ea8;
3e6;2e9;316;a2e0;
3c2;2e8;318;a714;
398;2e7;318;ab40;
367;2e7;318;af74;
344;2e5;318;b3a8;
321;2e3;316;b7d8;
313;2e4;314;bc14;
31a;2e1;318;c050;
33d;2e3;314;c484;
360;2e3;318;c8b8;
392;2e1;318;ccec;
3b4;2e6;318;d120;
3d8;2e4;314;d554;
3ed;2e7;316;d988;
3ed;2e4;318;ddc0;
3d0;2e4;317;e1f8;
3b4;2e6;317;e62c;
384;2e6;317;ea64;
360;2e5;315;ee98;
336;2e3;311;f2d0;
31a;2e2;318;f704;
313;2e2;313;fb3c;
328;2e3;316;ff70;
33d;2e3;313;3a4;
367;2e4;318;7d8;
3a0;2e3;318;c14;
3c2;2e4;317;1054;
3e6;2e3;317;1488;
3f4;2e6;318;18bc;
3ed;2e7;317;1cf0;
3d0;2e7;31a;2124;
3ae;2e3;318;2558;
37c;2e6;31a;298c;
34b;2e6;316;2dc0;
328;2e5;318;31f8;
31a;2e5;318;3630;
313;2e3;318;3a64;
328;2e1;317;3e98;
34b;2e5;316;42c4;
375;2e6;314;4704;
3a6;2e7;316;4b38;
3ca;2e3;318;4f6c;
3ed;2e7;314;53a0;
3ed;2e7;317;57d4;
3e6;2e7;318;5c10;
3c2;2e6;315;604c;
398;2e8;316;6480;
36e;2e6;316;68b8;
344;2e5;313;6cf0;
328;2e3;317;7124;
313;2e3;315;7558;
31a;2e3;313;798c;
33d;2e3;314;7dc0;
352;2e1;317;81f0;
384;2e3;318;8628;
3ae;2e6;315;8a5c;
3d8;2e5;317;8e90;
3ed;2e6;318;92c4;
3ed;2e9;318;96f8;
3de;2e7;318;9b30;
3c2;2e7;318;9f64;
392;2e5;318;a398;
367;2e6;317;a7c4;
336;2e7;315;abf8;
31a;2e7;315;b038;
31a;2e3;317;b46c;
