
;32d;34a;d3bc;
d3;314;322;8b94;
d1;314;320;9138;
ce;317;31e;96dc;
ca;313;31d;9c80;
c8;314;31b;a228;
c5;314;31c;a7cc;
c1;313;31b;ad70;
bd;314;31e;b314;
ba;313;31a;b8bc;
b6;313;319;be60;
b2;313;31a;c40c;
ad;313;316;c9a8;
a9;314;31a;cf50;
a5;312;31a;d4f4;
a0;312;31a;da98;
9b;314;319;e03c;
97;311;31a;e5e4;
94;313;31c;eb88;
8e;312;319;f12c;
89;314;319;f6d0;
85;310;31a;fc78;
80;312;319;21c;
7c;313;31c;76c;
78;313;31c;cbc;
74;314;31a;120c;
6f;311;31b;17b0;
6b;315;31c;1d54;
66;312;31c;22fc;
61;314;320;28a0;
5e;313;31e;2e44;
59;315;31e;33e8;
53;311;325;3990;
50;313;322;3f34;
4c;312;322;44d8;
49;310;326;4a7c;
44;318;328;5024;
40;313;329;55c8;
3e;313;32c;5b6c;
3a;313;32d;6110;
36;312;32d;66b8;
32;313;32f;6c5c;
30;313;332;7200;
2d;315;332;77a4;
2a;314;333;7d4c;
28;316;336;82f0;
25;318;339;8894;
23;319;33b;8e38;
22;31b;33c;93e0;
1f;31c;33f;9984;
1e;31e;341;9f28;
1c;31f;342;a4cc;
1b;322;346;aa74;
1b;323;341;b01c;
1a;325;346;b5bc;
19;328;347;bb60;
1a;328;34a;c108;
18;32d;34c;c6ac;
18;32f;34b;cc50;
19;32f;350;d1f4;
1a;32f;34d;d79c;
1b;332;351;dd40;
1b;331;353;e2e4;
1c;333;355;e888;
1d;334;353;ee30;
1f;333;357;f3d4;
21;333;357;f978;
23;334;357;ff1c;
26;333;35a;4c4;
26;337;35a;a14;
29;332;35a;f64;
2c;333;35c;14b4;
2f;335;35c;1a58;
31;338;35a;1ffc;
35;338;35c;25a0;
38;331;35e;2b48;
3b;333;35d;30ec;
3f;333;365;3690;
44;332;360;3c34;
45;334;35e;41dc;
4b;331;35f;4780;
4f;332;35d;4d24;
52;331;363;52c8;
57;335;35f;5870;
5b;332;35f;5e14;
60;332;360;63b8;
64;330;364;695c;
69;332;35f;6f04;
6d;32e;35f;74a8;
72;32a;35f;7a4c;
76;32d;361;7ff0;
7b;32b;35b;8598;
7f;328;35e;8b3c;
84;328;35d;90e0;
89;326;35b;9684;
8e;325;35e;9c2c;
92;322;35c;a1d0;
96;31e;35b;a774;
9b;322;35b;ad18;
a0;31e;358;b2c0;
a4;31c;358;b864;
a8;31a;357;be08;
ac;318;358;c3ac;
af;318;352;c954;
b5;317;354;cef8;
b8;316;352;d49c;
bc;318;351;da40;
c0;316;34f;dfe8;
c3;316;34c;e58c;
c7;316;348;eb30;
ca;313;34c;f0d4;
cc;319;346;f67c;
d0;317;344;fc20;
d2;318;342;1c4;
d5;314;344;714;
d8;315;342;c64;
d9;315;33e;11b4;
dc;315;33d;1758;
de;315;337;1d00;
df;314;336;22a4;
e1;311;336;2848;
e2;313;330;2dec;
e3;311;32f;3394;
e4;313;332;3938;
e5;316;32a;3edc;
e4;315;32b;4480;
e5;317;32c;4a28;
e5;313;324;4fcc;
e5;313;324;5570;
e5;314;326;5b14;
e4;314;321;60bc;
e2;313;320;6660;
e3;317;31f;6c0c;
e1;315;31c;71a8;
e0;313;31e;7750;
de;313;31c;7cf4;
dc;314;319;8298;
db;311;31b;883c;
d9;314;317;8de4;
d5;311;317;9388;
d3;313;316;992c;
cf;310;317;9ed0;
ce;314;315;a478;
cb;312;314;aa1c;
c8;311;31a;afc0;
c4;313;313;b564;
c1;313;317;bb0c;
bd;313;317;c0b0;
b9;312;312;c654;
b5;314;316;cbf8;
b2;312;318;d1a0;
ad;314;317;d744;
a9;311;317;dce8;
a4;312;316;e28c;
9f;311;317;e834;
9b;312;316;edd8;
96;311;318;f37c;
92;313;315;f920;
8d;313;317;fec8;
8a;311;317;46c;
86;311;317;9bc;
81;312;318;f0c;
7d;312;318;145c;
77;313;317;1a00;
74;312;319;1fa4;
6f;312;316;254c;
6a;314;31a;2af0;
66;312;31a;3094;
62;311;31a;3638;
5c;313;31b;3be0;
58;312;31c;4184;
54;313;320;4728;
50;316;31f;4ccc;
4c;312;323;5274;
48;314;321;581c;
43;316;323;5dbc;
3f;313;326;6360;
3d;313;328;6908;
38;314;32a;6eac;
36;312;32a;7450;
32;313;32f;79f4;
2f;316;32e;7f9c;
2d;313;331;8540;
2b;313;335;8ae4;
28;317;333;9088;
25;314;336;9630;
24;317;337;9bd4;
21;31a;339;a178;
20;31b;33d;a71c;
1e;31d;33f;acc4;
1c;320;33d;b268;
1c;322;343;b814;
1b;323;344;bdb0;
1a;327;346;c358;
19;328;348;c8fc;
19;32b;34a;cea0;
18;32f;34a;d444;
19;32d;34c;d9ec;
