;04;31a;b1f4;
2f;333;34a;63fc;
34;335;34d;69a0;
38;334;34e;6f44;
3f;335;350;74ec;
45;336;352;7a90;
4a;334;350;8034;
51;335;350;85d8;
59;333;355;8b80;
5e;330;353;9124;
66;32f;354;96c8;
6d;32b;356;9c6c;
74;32c;357;a214;
7c;32a;356;a7b8;
84;32b;358;ad5c;
8b;326;354;b300;
93;31f;356;b8a8;
9a;321;358;be4c;
a1;31d;355;c3f0;
a8;31b;356;c994;
af;318;355;cf3c;
b4;313;352;d4e0;
bb;312;355;da84;
c1;313;353;e028;
c6;30e;351;e5d0;
cc;30d;350;eb74;
d0;30a;34f;f118;
d4;30a;34d;f6bc;
d9;309;34d;fc64;
db;309;349;208;
df;309;348;758;
e1;306;345;ca8;
e3;306;343;11f8;
e4;308;342;179c;
e4;307;341;1d40;
e5;305;33e;22e8;
e5;307;339;288c;
e4;305;338;2e30;
e3;303;336;33d4;
e2;305;334;397c;
de;304;332;3f20;
dd;305;330;44c4;
d9;305;32e;4a68;
d5;303;32a;5014;
d1;305;325;55b4;
cc;304;326;5b58;
c7;303;325;60fc;
c2;303;31f;66a4;
bc;303;31f;6c48;
b6;304;31e;71ec;
af;305;31d;7790;
a8;304;31b;7d38;
a1;300;31c;82dc;
9b;303;31a;8880;
93;302;31b;8e24;
8c;305;31d;93cc;
86;304;31b;9970;
7e;303;31d;9f14;
76;304;31b;a4b8;
70;300;31c;aa60;
68;301;31a;b008;
60;304;31d;b5a8;
5a;302;31c;bb4c;
53;306;31c;c0f4;
4c;307;31f;c698;
46;306;31e;cc3c;
40;308;31f;d1e0;
3a;305;323;d788;
35;30a;324;dd2c;
30;30c;325;e2d0;
2c;30e;325;e874;
27;310;327;ee1c;
23;314;329;f3c0;
21;318;32e;f964;
1e;31b;32f;ff08;
1b;31d;332;4b0;
1b;322;333;a00;
19;31f;335;f50;
18;326;336;14a0;
19;328;33a;1a44;
1a;329;33a;1fe8;
19;32e;33a;258c;
1c;32b;340;2b34;
1f;331;33e;30d8;
20;333;343;367c;
23;334;345;3c20;
27;336;348;41c8;
2b;335;34a;476c;
30;337;34b;4d10;
35;336;34d;52b4;
39;335;34f;585c;
3f;334;352;5e00;
45;334;350;63a4;
4c;337;353;6948;
52;334;354;6ef0;
59;333;357;7494;
60;332;355;7a38;
68;32f;355;7fdc;
6e;32d;357;8584;
76;32a;355;8b28;
7e;327;357;90cc;
84;325;356;9670;
8c;321;358;9c1c;
94;31d;355;a1bc;
9b;31e;357;a760;
a2;31d;356;ad04;
a9;317;357;b2ac;
b0;317;355;b850;
b5;314;356;bdf4;
bb;312;355;c398;
c2;310;357;c940;
c7;30d;352;cee4;
cc;30d;351;d488;
d1;30d;350;da2c;
d4;30b;34d;dfd4;
d9;30b;34d;e578;
dc;308;349;eb1c;
df;309;349;f0c0;
e1;308;346;f668;
e3;30a;343;fc10;
e4;309;342;1b0;
e4;307;33e;700;
e5;309;33c;c50;
e4;308;33d;11a0;
e5;307;337;1744;
e3;305;333;1cec;
e2;307;331;2290;
df;306;331;2834;
dc;305;32e;2dd8;
d8;306;32d;3380;
d5;307;32b;3924;
d0;305;328;3ec8;
cc;307;324;446c;
c7;304;326;4a14;
c2;307;321;4fb8;
ba;305;31e;555c;
b4;306;31f;5b00;
ae;304;31d;60a8;
a8;306;31b;664c;
a1;305;31d;6bf0;
9a;306;31b;7194;
92;304;31a;773c;
8b;304;31b;7ce0;
84;303;31c;8284;
7c;306;31a;8828;
74;303;31d;8dd0;
6e;307;31a;9374;
67;305;31b;9918;
5f;305;31c;9ebc;
58;307;31b;a464;
51;304;319;aa08;
4b;305;31c;afac;
45;305;31e;b550;
3f;30a;31f;baf8;
39;30b;31f;c09c;
34;309;322;c640;
2f;30f;325;cbe4;
2a;30b;325;d18c;
26;312;32b;d730;
23;314;329;dcd4;
20;318;32b;e278;
1e;31b;32d;e820;
1b;320;32d;edc4;
1a;321;333;f368;
19;323;334;f90c;
17;328;33a;feb4;
18;328;33b;458;
19;32e;33b;9a8;
1b;32f;33e;ef8;
1c;332;341;1448;
1f;332;342;19ec;
21;333;344;1f90;
24;332;346;2538;
28;335;349;2adc;
2c;339;349;3080;
30;334;34a;3624;
35;336;34c;3bcc;
3a;336;34d;4170;
41;337;353;4714;
46;334;352;4cb8;
4d;334;351;5260;
54;332;353;5808;
5a;330;352;5da8;
61;32e;354;634c;
68;32d;358;68f4;
70;32e;353;6e98;
77;32a;355;743c;
7e;328;359;79e0;
85;326;358;7f88;
8d;326;356;852c;
95;324;357;8ad0;
9c;31f;355;9074;
a2;31e;357;961c;
aa;31b;354;9bc0;
b1;31a;355;a164;
b7;315;355;a708;
bd;313;354;acb0;
c3;311;355;b254;
c8;30d;352;b7f8;
cd;30c;350;bd9c;
d1;30c;34d;c344;
d6;30a;34b;c8e8;
da;309;34b;ce8c;
dc;306;349;d430;
df;309;348;d9d8;
e1;305;346;df7c;
e4;306;344;e520;
e5;304;340;eac4;
e4;304;33d;f06c;
e4;304;33d;f610;
e5;305;338;fbb4;
e2;303;338;158;
e2;303;334;6a8;
e1;302;332;bf8;
de;302;332;1148;
dc;301;32f;16f0;
d8;303;329;1c94;
d4;305;32a;2238;
cf;301;326;27dc;
cb;303;326;2d84;
c6;306;325;3328;
c1;305;321;38cc;
ba;305;31e;3e70;
b5;303;31e;441c;
ae;303;31d;49bc;
a7;304;31a;4f60;
a0;303;31c;5504;
99;307;319;5aac;
91;304;319;6050;
8b;303;31d;65f4;
83;300;319;6b98;
7b;304;319;7140;
74;303;31a;76e4;
6d;303;31b;7c88;
65;302;318;822c;
5e;304;31a;87d4;
57;303;31c;8d78;
50;305;31c;931c;
4a;305;320;98c0;
44;307;31f;9e68;
3e;308;31f;a410;
38;308;322;a9b0;
34;30a;320;af54;
2f;309;323;b4fc;
2a;30e;328;baa0;
26;312;329;c044;
22;313;32b;c5e8;
20;317;32d;cb90;
1d;31c;32e;d134;
1b;320;331;d6d8;
1a;320;335;dc7c;
19;327;336;e224;
18;327;338;e7c8;
19;329;339;ed6c;
1a;331;33c;f310;
1b;330;33b;f8b8;
1d;333;33f;fe5c;
1f;335;344;408;
21;334;343;950;
24;335;345;ea0;
29;335;34c;13f0;
2d;336;34b;1994;
31;335;34c;1f3c;
35;336;34e;24e0;
3c;335;34f;2a84;
41;335;350;3028;
48;333;353;35d0;
4e;335;352;3b74;
54;334;359;4118;
5c;333;354;46bc;
62;32f;354;4c64;
69;32e;356;5208;
71;32b;355;57ac;
79;32a;356;5d50;
80;329;356;62f8;
87;327;355;689c;
8e;324;354;6e40;
96;320;356;73e4;
9d;31e;355;798c;
a3;31d;354;7f30;
ab;318;356;84d4;
b2;313;358;8a78;
b8;312;353;9020;
be;311;352;95c4;
c3;30e;352;9b68;
c9;30e;351;a10c;
ce;307;350;a6b4;
d3;30a;34e;ac58;
d7;30a;34c;b1fc;
da;30b;34c;b7a0;
de;309;34a;bd48;
df;30a;345;c2ec;
e2;306;348;c890;
e4;308;344;ce34;
e5;306;340;d3dc;
e5;308;341;d980;
e6;308;33c;df24;
e5;306;33a;e4c8;
e3;305;33a;ea70;
e1;307;331;f018;
e0;306;330;f5b8;
dd;304;330;fb5c;
da;305;32b;104;
d5;301;32a;654;
d2;304;328;ba4;
ce;304;325;10f4;
c9;306;321;1698;
c5;306;320;1c3c;
c0;304;321;21e0;
ba;302;31f;2788;
b3;304;31d;2d2c;
ad;305;31b;32d0;
a5;302;319;3874;
9f;304;31a;3e1c;
98;304;319;43c0;
8f;304;319;4964;
89;304;31e;4f08;
81;305;31a;54b0;
7a;305;31a;5a54;
73;308;31b;5ff8;
6c;303;31e;659c;
64;306;31c;6b44;
5c;304;31b;70e8;
57;305;31e;768c;
4f;306;31b;7c30;
49;304;31d;81d8;
43;306;31e;877c;
3d;308;31f;8d20;
37;308;323;92c4;
33;30b;323;986c;
2d;30d;326;9e10;
29;310;326;a3b4;
26;311;32a;a958;
22;316;32b;af00;
20;31c;32e;b4a4;
1d;31b;330;ba48;
1b;320;331;bfec;
1a;323;334;c594;
19;324;334;cb38;
19;32a;339;d0dc;
19;32c;33b;d680;
1b;330;33c;dc28;
1b;32e;33d;e1cc;
1e;331;33e;e770;
1f;331;344;ed14;
22;334;345;f2bc;
25;334;347;f860;
2b;333;349;fe04;
2e;336;34a;3a8;
32;337;34c;8f8;
37;334;34d;e48;
3d;337;34d;1398;
42;335;351;1940;
48;333;351;1ee4;
4e;336;351;2488;
56;331;354;2a2c;
5c;332;355;2fd4;
63;32f;355;3578;
6b;329;355;3b1c;
72;32a;355;40c0;
7a;32b;353;4668;
81;325;357;4c10;
88;326;358;51b0;
8f;322;356;5754;
97;31f;354;5cfc;
9e;31b;357;62a0;
a5;31b;355;6844;
ac;31a;35a;6de8;
b2;315;355;7390;
b8;316;354;7934;
be;311;354;7ed8;
c5;311;355;847c;
ca;30e;352;8a24;
ce;30d;350;8fc8;
d2;30d;34f;956c;
d7;30d;34d;9b10;
db;309;34a;a0b8;
dd;30a;349;a65c;
e0;309;346;ac08;
e2;309;345;b1a4;
e4;305;341;b74c;
e4;307;33d;bcf0;
e5;306;33d;c294;
e5;304;33a;c838;
e3;304;338;cde0;
e4;306;337;d384;
e2;301;334;d928;
e0;305;334;decc;
dd;302;32f;e474;
da;304;32e;ea18;
d5;306;32b;efbc;
d1;304;327;f560;
ce;304;325;fb08;
c8;305;322;ac;
c3;304;320;5a8;
bf;304;31e;af8;
b9;304;31f;1048;
b3;306;31e;15ec;
ac;306;31c;1b90;
a5;305;31b;2134;
9f;307;319;26dc;
97;304;318;2c80;
90;301;318;3224;
88;301;318;37c8;
80;302;31a;3d70;
7a;306;31a;4314;
73;303;319;48b8;
6a;304;319;4e5c;
64;305;31b;5408;
5d;304;319;59a8;
55;305;31b;5f4c;
4f;305;31c;64f0;
49;305;31f;6a98;
41;306;31f;703c;
3d;308;323;75e0;
38;307;320;7b84;
31;30c;325;812c;
2d;30b;328;86d0;
2a;311;328;8c74;
25;313;32a;9218;
21;316;32d;97c0;
1f;31a;32d;9d64;
1c;31c;32d;a308;
1b;321;330;a8ac;
19;323;332;ae54;
19;328;335;b3f8;
1a;329;33a;b99c;
18;329;33e;bf40;
19;32c;33c;c4e8;
1c;330;342;ca8c;
1e;331;342;d030;
1f;333;342;d5d4;
23;331;347;db7c;
26;335;348;e120;
2a;334;34d;e6c4;
2e;335;34b;ec68;
34;337;34d;f210;
38;336;34f;f7b4;
3e;335;350;fd58;
44;333;34d;2fc;
4a;332;351;84c;
4f;334;351;d9c;
57;331;355;12ec;
5d;332;356;1894;
64;32f;356;1e38;
6c;32b;355;23dc;
73;32d;356;2980;
7a;32a;357;2f28;
82;32a;356;34cc;
89;326;355;3a70;
90;323;358;401c;
97;323;355;45bc;
9f;31c;354;4b60;
a6;31d;355;5104;
ac;318;356;56a8;
b3;316;354;5c50;
b9;312;354;61f4;
bf;310;354;6798;
c4;30f;350;6d3c;
ca;30a;352;72e4;
cf;30b;34d;7888;
d3;309;34e;7e2c;
d7;30c;34b;83d0;
db;306;34c;8978;
dd;30a;349;8f1c;
e1;308;347;94c0;
e2;30a;345;9a64;
e4;308;344;a010;
e5;308;340;a5b0;
e5;309;33f;ab54;
e5;307;33c;b0f8;
e5;307;33a;b6a0;
e3;305;334;bc44;
e2;304;332;c1e8;
e0;305;32f;c78c;
dd;308;32e;cd34;
da;306;32b;d2d8;
d6;305;329;d87c;
d1;305;329;de20;
cd;306;327;e3c8;
c8;306;324;e96c;
c2;307;324;ef10;
bd;307;320;f4b4;
b7;305;320;fa5c;
b0;307;31d;4;
ab;308;31b;4a4;
a5;305;31c;9f4;
9d;306;319;f44;
97;306;318;1494;
90;305;319;1a3c;
88;306;319;1fe0;
81;305;319;2584;
7a;305;31e;2b28;
73;307;318;30d0;
6b;306;319;3674;
64;305;31c;3c20;
5c;306;31e;41bc;
55;307;31c;4764;
4f;306;31e;4d08;
49;306;321;52ac;
43;30a;31e;5850;
3c;305;322;5df8;
37;308;322;639c;
31;30e;323;6940;
2d;30e;324;6ee4;
29;313;329;748c;
25;316;32b;7a30;
22;315;328;7fd4;
1e;319;32f;8578;
1d;31c;330;8b20;
1b;31e;332;90c4;
19;325;335;9668;
19;325;335;9c14;
19;327;339;a1b4;
1a;32c;33c;a758;
19;32e;33d;acfc;
1b;32f;33f;b2a0;
1d;331;344;b848;
1f;334;347;bdec;
23;332;345;c390;
26;335;348;c934;
29;336;348;cedc;
2e;336;34c;d480;
33;336;34d;da24;
39;336;34c;dfc8;
3e;336;351;e570;
44;333;34f;eb14;
4a;334;351;f0b8;
50;331;354;f65c;
57;333;353;fc08;
5e;32f;355;1a8;
65;32f;353;6f8;
6c;32c;357;c48;
72;32a;358;1198;
7a;327;358;173c;
80;328;358;1ce0;
88;325;355;2288;
90;31f;358;282c;
97;321;355;2dd0;
9e;322;357;3374;
a5;31b;356;391c;
ad;318;355;3ec0;
b2;316;353;4464;
b8;314;356;4a08;
bf;30f;354;4fb0;
c5;30f;350;5554;
ca;30d;352;5af8;
cf;30d;351;609c;
d3;30a;34f;6644;
d8;30a;34d;6be8;
db;30a;34a;718c;
de;30b;349;7730;
e0;308;345;7cd8;
e2;308;346;827c;
e4;306;341;8820;
e5;309;343;8dc4;
e5;307;33d;936c;
e5;306;338;9910;
e4;308;339;9eb4;
e3;305;336;a458;
e2;306;336;aa00;
df;306;332;afa4;
dc;306;331;b548;
da;306;32c;baec;
d6;304;32a;c094;
d2;307;32a;c638;
cc;304;323;cbdc;
c8;304;323;d180;
c3;303;325;d728;
bc;306;31f;dccc;
b7;304;320;e270;
b1;306;31d;e81c;
aa;306;31c;edbc;
a2;305;319;f360;
9c;306;31c;f904;
95;304;315;fea8;
8d;305;31d;450;
86;306;317;9a0;
80;305;319;ef0;
78;304;319;1440;
71;307;31b;19e4;
6a;305;319;1f88;
62;304;319;252c;
5b;305;31b;2ad4;
54;303;31d;3078;
4e;305;31d;361c;
48;305;31d;3bc0;
41;306;31b;4168;
3c;308;320;470c;
36;309;321;4cb0;
31;30c;323;5254;
2e;30d;328;57fc;
29;313;328;5da0;
25;317;329;6344;
21;317;32b;68e8;
1f;31a;32d;6e90;
1d;31c;32f;7434;
1b;31e;333;79d8;
19;323;337;7f7c;
18;328;336;8524;
19;328;33b;8ac8;
19;32b;33c;906c;
1b;32e;33b;9610;
1b;32c;342;9bb8;
1e;332;342;a15c;
20;333;345;a700;
23;334;345;aca4;
26;335;345;b24c;
2b;336;348;b7f0;
30;334;34a;bd94;
34;334;34d;c338;
39;336;34d;c8e0;
3e;335;352;ce84;
45;333;351;d428;
4b;334;351;d9cc;
52;333;352;df74;
59;333;354;e518;
5f;333;353;eabc;
66;330;351;f060;
6d;32b;356;f608;
75;32c;356;fbac;
7c;327;356;150;
83;329;359;6a0;
8a;326;358;bf0;
91;323;357;1140;
98;31f;354;16e4;
9f;31e;355;1c8c;
a6;31b;356;2230;
ad;31a;356;27d4;
b3;316;355;2d78;
ba;312;353;3320;
c0;312;354;38c4;
c6;30f;34e;3e68;
ca;30a;352;4414;
cf;30a;34f;49b4;
d4;30a;34d;4f58;
d8;30a;34b;54fc;
dc;30b;34b;5aa0;
df;309;34a;6048;
e1;309;348;65ec;
e3;308;344;6b90;
e4;307;342;7134;
e5;306;340;76dc;
e5;306;33d;7c80;
e4;306;33a;8224;
e4;309;339;87c8;
e2;306;335;8d70;
e1;306;333;9314;
df;305;333;98b8;
dc;307;331;9e5c;
d8;306;32e;a408;
d5;305;32e;a9a8;
d0;308;32a;af4c;
cc;305;327;b4f0;
c7;305;326;ba98;
c2;307;324;c03c;
bc;303;31e;c5e0;
b7;303;320;cb84;
af;304;31c;d12c;
a8;304;31d;d6d0;
a2;303;31d;dc74;
9b;305;319;e218;
93;305;31b;e7c0;
8c;305;31c;ed64;
85;306;31b;f308;
7d;306;31d;f8ac;
76;305;31c;fe54;
6e;305;31b;3f8;
68;308;31b;948;
61;306;319;e98;
5b;302;31d;13e8;
53;307;31d;198c;
4d;305;31d;1f30;
46;303;321;24d8;
40;308;321;2a7c;
3b;309;321;3020;
36;30a;324;35c4;
30;30d;324;3b6c;
2c;30a;328;4110;
28;310;328;46b4;
24;314;329;4c58;
21;314;32b;5200;
1e;31b;32e;57a4;
1c;31e;330;5d48;
1b;321;333;62ec;
19;323;335;6894;
18;327;336;6e38;
19;329;33a;73dc;
1a;32d;340;7980;
1a;331;33b;7f28;
1c;330;342;84cc;
1d;330;346;8a70;
20;336;343;901c;
24;333;348;95bc;
27;335;34a;9b60;
2a;336;349;a104;
2f;335;34b;a6a8;
35;336;34e;ac50;
3a;335;34b;b1f4;
40;334;352;b798;
46;337;350;bd3c;
4c;335;353;c2e4;
52;334;355;c888;
59;331;353;ce2c;
60;331;353;d3d0;
67;32f;356;d978;
6f;32f;355;df1c;
76;32c;355;e4c0;
7e;328;357;ea64;
85;328;354;f010;
8c;326;358;f5b0;
93;321;355;fb54;
9b;31e;356;f8;
a1;31f;354;5f4;
a8;319;355;b44;
ad;318;352;1094;
b4;315;355;1638;
bb;310;353;1be0;
c1;310;351;2184;
c5;30e;352;2728;
cc;310;34f;2ccc;
cf;30c;34f;3274;
d3;30a;350;381c;
d9;309;34f;3dbc;
dc;30a;34a;4360;
df;30b;348;4908;
e1;309;345;4eac;
e3;307;345;5450;
e3;308;340;59f4;
e5;306;33e;5f9c;
e4;306;33a;6540;
e5;305;33b;6ae4;
e5;304;338;7088;
e3;305;335;7630;
e1;306;335;7bd4;
df;303;32f;8178;
dc;308;32c;871c;
d9;304;32b;8cc4;
d5;304;32a;9268;
d1;306;329;9814;
cc;306;326;9db0;
c7;301;324;a358;
c1;306;320;a8fc;
bc;306;320;aea0;
b5;303;31e;b444;
af;306;31e;b9ec;
a8;303;31d;bf90;
a2;306;31b;c534;
9a;305;319;cad8;
92;308;31d;d080;
8c;305;31a;d624;
84;304;319;dbc8;
7c;301;319;e16c;
75;303;31b;e714;
6d;307;31a;ecb8;
67;305;31b;f25c;
60;308;31b;f808;
58;304;31b;fda8;
51;306;31d;34c;
4b;307;31f;89c;
46;305;31d;dec;
41;309;320;133c;
3b;305;324;18e0;
35;30b;323;1e84;
30;30a;325;242c;
2c;30e;324;29d0;
27;312;328;2f74;
24;314;32b;3518;
21;317;32c;3ac0;
1e;31a;32e;4064;
1b;31d;32f;4608;
1a;31f;334;4bac;
19;324;336;5154;
18;323;336;56f8;
19;327;339;5c9c;
19;32c;339;6240;
1b;32b;340;67e8;
1c;32f;340;6d8c;
1e;334;341;7330;
20;332;343;78d4;
23;332;345;7e7c;
28;336;346;8420;
2b;335;349;89c4;
31;333;34b;8f68;
34;333;350;9510;
3a;335;351;9ab4;
41;333;351;a058;
46;336;350;a5fc;
4d;335;350;aba4;
53;333;34f;b148;
5a;332;352;b6ec;
61;32f;357;bc90;
69;32f;356;c238;
70;330;353;c7dc;
77;32c;355;cd80;
7e;329;359;d324;
85;328;356;d8cc;
8c;324;356;de70;
94;322;358;e41c;
9c;31e;356;e9b8;
a3;31c;355;ef60;
aa;31c;356;f504;
b1;315;352;faa8;
b7;313;356;4c;
bc;310;356;548;
c1;30d;34e;a98;
c6;310;351;fe8;
cb;30c;351;1538;
d1;30e;351;1adc;
d4;30a;34e;2084;
d8;30a;34b;2628;
dc;30a;34a;2bcc;
df;307;34b;3170;
e1;308;347;3718;
e2;307;344;3cbc;
e4;309;342;4260;
e5;305;33e;480c;
e5;307;33c;4dac;
e6;306;339;5350;
e3;305;336;58f4;
e2;305;335;5e98;
e1;304;332;6440;
de;307;332;69e4;
db;305;32f;6f88;
d8;307;32b;752c;
d5;301;32a;7ad4;
d1;303;327;8078;
cc;306;327;861c;
c6;306;325;8bc0;
c1;308;320;9168;
ba;308;31d;970c;
b5;307;31f;9cb0;
af;308;31f;a254;
a8;306;31c;a7fc;
a1;304;31b;ada0;
9a;303;31b;b344;
93;307;318;b8e8;
8b;305;31a;be90;
83;306;31b;c434;
7d;305;31d;c9d8;
75;303;31d;cf7c;
6e;305;319;d524;
67;307;31b;dac8;
5f;305;31d;e06c;
58;305;31d;e610;
51;307;31d;ebb8;
4b;306;31d;f15c;
45;307;324;f700;
3f;307;320;fca4;
3a;309;321;24c;
34;30b;324;79c;
30;30e;325;cec;
2c;30b;325;123c;
27;310;329;17e0;
24;314;32a;1d84;
20;318;32d;2328;
1d;31d;32f;28d0;
1c;31b;331;2e74;
1a;31d;331;3420;
19;322;335;39bc;
18;326;335;3f64;
19;328;33b;4508;
19;32a;33a;4aac;
1a;330;33d;5050;
1d;330;341;55f8;
1f;331;341;5b9c;
20;336;343;6140;
23;334;347;66e4;
28;333;348;6c8c;
2b;336;349;7230;
30;333;34b;77d4;
36;334;34e;7d78;
3b;33a;34f;8320;
41;335;352;88c4;
47;336;352;8e68;
4d;333;354;9414;
53;331;353;99b4;
5b;331;356;9f58;
60;331;355;a4fc;
68;32c;353;aaa0;
70;32b;356;b048;
77;32c;355;b5ec;
7e;328;355;bb90;
86;325;355;c134;
8d;324;357;c6dc;
94;321;357;cc80;
9c;325;354;d224;
a3;31d;355;d7c8;
a9;31a;356;dd70;
b0;318;356;e314;
b7;314;354;e8b8;
bc;311;353;ee5c;
c1;30f;352;f408;
c8;30c;352;f9a8;
cd;30c;34f;ff4c;
d2;30b;34f;4f0;
d6;30b;34d;a40;
d8;30a;34a;f90;
dd;308;34b;14e0;
de;309;346;1a88;
e1;305;347;202c;
e3;307;344;25d0;
e4;307;344;2b74;
e5;304;340;311c;
e5;305;33b;36c0;
e5;304;339;3c64;
e4;306;33b;4208;
e3;305;335;47b0;
e1;306;333;4d54;
de;306;332;52f8;
dc;309;32d;589c;
d7;306;32f;5e44;
d3;305;329;63e8;
cf;308;325;698c;
cb;307;323;6f30;
c5;305;321;74d8;
c0;305;31e;7a7c;
b9;305;31c;8020;
b4;306;31d;85c4;
ae;307;31b;8b6c;
a7;305;31a;9110;
a1;306;31b;96b4;
99;303;319;9c58;
91;305;318;a200;
8a;305;31c;a7a4;
83;305;31a;ad48;
7b;306;318;b2ec;
74;303;31c;b894;
6d;303;31e;be38;
65;304;31a;c3dc;
5e;307;31b;c980;
57;305;31b;cf28;
51;307;31c;d4cc;
4a;305;31f;da70;
43;309;320;e01c;
3e;30a;31e;e5bc;
38;308;321;eb60;
34;30b;324;f104;
2e;30e;324;f6a8;
2b;30e;329;fc50;
26;311;329;1f4;
23;313;32b;744;
20;319;32c;c94;
1d;31b;331;11e4;
1a;31e;330;1788;
1a;322;334;1d2c;
19;321;333;22d4;
19;326;339;2878;
19;32a;337;2e1c;
1a;330;33b;33c0;
1a;332;33d;3968;
1c;331;340;3f0c;
1f;330;343;44b0;
21;332;344;4a54;
25;333;348;4ffc;
29;335;348;55a0;
2d;339;349;5b44;
30;336;34d;60e8;
36;335;34f;6690;
3b;339;351;6c34;
41;335;351;71d8;
47;335;352;777c;
4d;332;352;7d24;
54;332;354;82c8;
5b;330;354;886c;
62;331;355;8e10;
6a;32d;357;93b8;
71;32f;355;995c;
78;32b;356;9f00;
80;329;358;a4a4;
86;328;354;aa4c;
8f;324;353;aff0;
96;323;357;b594;
9d;31f;353;bb38;
a4;31d;355;c0e0;
aa;319;356;c684;
b1;316;356;cc28;
b7;313;356;d1cc;
be;30d;354;d774;
c4;30d;353;dd18;
c9;30e;34f;e2bc;
ce;30c;350;e860;
d1;307;34e;ee08;
d6;309;34c;f3ac;
da;30b;34c;f950;
dc;309;34a;fef4;
de;307;347;49c;
e2;309;343;9ec;
e3;305;343;f3c;
e4;307;341;148c;
e5;304;33d;1a30;
e5;305;33d;1fd4;
e4;308;339;2578;
e4;307;335;2b20;
e2;308;336;30c4;
e1;306;333;3668;
dd;304;331;3c14;
db;308;32e;41b4;
d7;303;327;4758;
d3;305;328;4cfc;
ce;304;327;52a0;
ca;304;323;5848;
c5;301;325;5dec;
bf;305;320;6390;
b9;306;31e;6934;
b3;303;31b;6edc;
ad;303;31e;7480;
a5;305;319;7a24;
9e;305;31c;7fc8;
98;307;31d;8570;
90;304;317;8b14;
89;306;31a;90b8;
82;305;31b;965c;
7a;307;31b;9c08;
73;304;31a;a1a8;
6c;306;31c;a74c;
64;307;31d;acf0;
5d;306;31a;b298;
57;302;31c;b83c;
4f;306;31b;bde0;
49;306;31d;c384;
43;308;320;c92c;
3d;307;321;ced0;
37;307;323;d474;
32;30b;324;da18;
2d;30f;329;dfc0;
29;310;32b;e564;
25;312;32a;eb08;
22;317;32a;f0ac;
20;318;32c;f654;
1d;31b;32f;fbf8;
1b;31f;330;19c;
19;322;334;6ec;
19;325;336;c3c;
18;328;336;118c;
19;32c;33b;1730;
19;32d;33b;1cd8;
1b;32f;33d;227c;
1c;334;33f;2820;
1f;331;344;2dc4;
21;334;345;336c;
24;336;347;3910;
2a;336;349;3eb4;
2d;337;34d;4458;
32;334;34d;4a00;
36;337;34f;4fa4;
3c;335;351;5548;
42;332;34f;5aec;
48;335;34f;6094;
4f;334;351;6638;
55;331;354;6bdc;
5c;331;352;7180;
63;32f;353;7728;
6b;32f;357;7ccc;
72;32c;356;8270;
79;32c;357;881c;
81;32a;358;8dbc;
88;325;358;9360;
8f;324;355;9904;
97;31e;355;9ea8;
9e;31e;359;a450;
a4;31b;357;a9f4;
ac;316;357;af98;
b2;313;355;b53c;
b9;314;356;bae4;
bf;311;353;c088;
c5;310;351;c62c;
ca;30e;353;cbd0;
cf;30d;350;d178;
d2;30b;34d;d71c;
d5;309;34b;dcc0;
db;30b;34a;e264;
de;30a;349;e810;
e0;309;345;edb0;
e2;308;342;f354;
e4;307;341;f8f8;
e4;307;340;fea0;
e5;307;33d;444;
e3;306;33a;994;
e4;306;339;ee4;
e3;306;337;1434;
e2;305;335;19d8;
e0;307;330;1f7c;
dd;304;32f;2524;
da;305;32e;2ac8;
d7;306;329;306c;
d2;304;328;3610;
ce;303;328;3bb8;
c9;306;323;415c;
c4;305;323;4700;
bf;304;321;4ca4;
b7;303;31e;524c;
b2;304;31b;57f0;
ab;304;31c;5d94;
a5;305;31c;6338;
9e;302;31a;68e0;
96;305;319;6e84;
8f;305;319;7428;
88;306;31b;79cc;
80;306;318;7f74;
78;305;319;8518;
72;302;31a;8abc;
6b;304;31a;9060;
63;306;31b;9608;
5d;305;31d;9bac;
55;306;31d;a150;
4f;306;31b;a6f4;
47;307;31c;ac9c;
42;306;31e;b240;
3c;308;320;b7e4;
37;308;321;bd88;
32;30a;324;c330;
2d;30f;328;c8d4;
29;311;326;ce78;
25;313;329;d420;
21;317;329;d9c4;
1f;319;32b;df68;
1d;31e;32f;e50c;
1a;320;331;eab0;
19;322;333;f058;
18;323;334;f5fc;
18;32a;33b;fba0;
19;32c;33a;144;
19;330;33b;694;
1b;32f;33f;be4;
1d;332;343;1134;
1f;332;343;16dc;
21;334;343;1c80;
25;334;347;2224;
2a;335;34a;27c8;
2d;335;34d;2d70;
33;334;34c;3314;
38;336;352;38b8;
3d;336;350;3e5c;
43;335;354;4408;
49;335;354;49a8;
4f;336;353;4f4c;
57;334;353;54f0;
5e;331;355;5a98;
64;32f;354;603c;
6b;32e;356;65e0;
74;32a;357;6b84;
7b;32e;357;712c;
81;329;357;76d0;
89;325;357;7c74;
90;323;353;8218;
98;321;357;87c0;
9f;31e;356;8d64;
a6;31c;354;9308;
ad;319;357;98ac;
b4;317;355;9e54;
ba;312;354;a3f8;
bf;311;351;a99c;
c6;30b;355;af40;
cb;30c;34d;b4e8;
d0;30c;34f;ba8c;
d3;309;350;c030;
d7;306;34c;c5d4;
db;30b;34a;cb7c;
de;305;34a;d120;
e0;308;343;d6c4;
e3;307;345;dc68;
e5;303;343;e210;
e4;306;33f;e7b4;
e5;304;340;ed58;
