994;675;761;53696;
1183;675;764;54716;
1400;676;761;55736;
1638;675;763;56760;
1841;676;760;57780;
2009;675;761;58800;
2072;675;757;59816;
2044;676;761;60836;
1925;675;761;61856;
1750;676;763;62876;
1505;675;761;63892;
1274;672;762;64912;
1078;671;762;396;
938;673;762;1408;
875;676;761;2420;
924;675;761;3432;
1064;671;762;4444;
1260;671;763;5464;
1498;675;764;6480;
1729;675;762;7500;
1911;675;763;8520;
2044;676;762;9540;
2072;673;761;10556;
2009;676;761;11576;
1869;674;763;12596;
1659;675;763;13616;
1428;673;762;14636;
1190;675;761;15656;
1008;671;762;16676;
910;673;764;17696;
903;674;764;18716;
973;675;764;19736;
1134;675;761;20756;
1358;675;763;21776;
1589;673;763;22796;
1820;675;764;23816;
1981;676;761;24836;
2065;676;761;25856;
2065;678;762;26876;
1960;676;763;27892;
1771;676;763;28916;
1568;675;763;29932;
1309;675;761;30952;
1099;675;761;31972;
945;673;762;32992;
875;675;761;34012;
910;676;764;35032;
1029;673;763;36052;
1218;675;761;37072;
1449;673;763;38092;
1694;676;762;39112;
1890;675;763;40132;
2016;676;761;41152;
2072;676;761;42172;
2030;675;763;43192;
1890;675;762;44212;
1680;675;761;45232;
1435;675;762;46248;
1218;676;760;47268;
1029;675;761;48288;
910;675;761;49308;
875;675;760;50328;
945;675;764;51348;
1113;676;760;52368;
1309;675;763;53388;
1554;676;760;54408;
1771;676;764;55428;
1946;676;761;56448;
2051;677;763;57468;
2051;676;761;58488;
1981;677;761;59504;
1806;676;764;60524;
1589;676;764;61544;
1358;675;761;62564;
1134;676;761;63584;
959;673;761;64604;
875;675;760;88;
903;673;764;1100;
1015;675;764;2112;
1183;675;761;3124;
1400;675;761;4136;
1645;675;762;5156;
1855;677;762;6176;
2016;677;760;7192;
2065;676;762;8220;
2044;675;761;9244;
1925;673;763;10268;
1715;676;762;11292;
1498;673;761;12312;
1253;674;762;13340;
1064;675;763;14364;
910;673;760;15388;
875;673;763;16412;
924;675;763;17432;
1085;675;764;18460;
1295;675;763;19484;
1533;675;764;20508;
1764;675;764;21528;
1939;677;762;22552;
2051;676;760;23580;
2072;676;763;24600;
1995;675;761;25628;
1834;677;761;26648;
1610;675;761;27672;
1379;674;762;28696;
1148;671;762;29720;
994;676;761;30744;
889;675;761;31768;
889;674;761;32796;
994;673;763;33820;
1169;675;762;34844;
1414;675;763;35868;
1645;676;763;36892;
1841;675;761;37912;
2009;677;763;38936;
2072;676;764;39960;
2044;676;762;40988;
1925;675;762;42012;
1729;676;764;43036;
1498;675;762;44060;
1260;675;761;45084;
1064;674;761;46104;
938;676;763;47132;
875;675;760;48156;
924;675;763;49180;
1064;673;763;50204;
1274;674;764;51228;
1533;675;763;52248;
1764;677;763;53276;
1946;678;763;54300;
2051;676;763;55320;
2072;675;760;56348;
1995;676;763;57372;
1834;676;761;58396;
1610;675;763;59416;
1379;673;761;60444;
1155;673;762;61468;
980;673;761;62492;
889;675;761;63516;
889;675;761;64540;
994;675;764;28;
1169;675;761;1040;
1393;675;760;2060;
1624;676;761;3080;
1841;676;763;4092;
1995;675;761;5104;
2072;676;763;6124;
2044;675;763;7144;
1939;676;762;8164;
1750;676;763;9176;
1505;675;761;10192;
1288;673;763;11204;
1078;673;761;12224;
938;671;761;13244;
875;674;761;14256;
924;676;762;15268;
1050;675;762;16280;
1253;673;762;17292;
1484;675;761;18312;
