37;815;855;64472;
38;819;855;380;
40;816;856;1740;
41;817;854;3104;
43;817;855;4460;
44;816;856;5904;
46;818;854;7352;
49;817;855;8796;
50;818;856;10248;
52;817;856;11684;
54;818;855;13132;
56;815;858;14576;
59;818;856;16020;
60;818;857;17464;
64;815;855;18912;
65;818;856;20356;
67;820;853;21800;
70;819;858;23244;
72;818;855;24692;
75;816;856;26136;
78;817;858;27580;
81;816;856;29024;
83;815;851;30472;
86;816;853;31916;
89;814;856;33360;
91;813;851;34804;
94;811;851;36252;
97;813;852;37696;
100;812;851;39140;
103;808;852;40584;
105;809;850;42032;
108;808;854;43476;
112;804;849;44920;
114;807;852;46364;
117;806;846;47812;
121;804;848;49256;
123;805;844;50700;
126;802;843;52144;
129;801;844;53592;
131;802;844;55036;
135;806;843;56480;
138;801;841;57924;
141;802;842;59372;
144;800;837;60816;
147;797;839;62260;
149;799;838;63704;
152;799;839;65152;
156;795;833;1060;
158;800;835;2420;
160;797;831;3780;
163;794;830;5144;
166;800;831;6584;
168;802;829;8028;
171;795;828;9476;
174;797;827;10920;
176;796;828;12364;
180;799;825;13808;
182;798;826;15256;
184;796;823;16700;
187;791;821;18144;
190;793;818;19588;
191;792;817;21036;
194;791;817;22480;
196;792;816;23924;
198;789;814;25368;
201;789;814;26816;
203;789;811;28260;
204;786;810;29712;
206;787;810;31148;
208;786;811;32596;
210;786;807;34040;
212;786;809;35484;
214;786;805;36928;
214;785;803;38376;
216;787;804;39820;
218;784;800;41264;
218;786;802;42708;
221;786;800;44156;
221;786;800;45600;
222;784;799;47044;
223;785;797;48488;
225;789;797;49936;
225;786;797;51380;
226;783;793;52824;
226;786;794;54268;
227;784;793;55716;
228;783;791;57160;
228;784;790;58604;
228;785;791;60048;
230;784;793;61496;
229;786;790;62940;
230;784;791;64384;
229;784;790;292;
228;782;787;1652;
229;785;789;3012;
229;785;789;4372;
229;783;788;5820;
228;785;788;7264;
228;784;789;8708;
227;783;788;10152;
226;783;785;11600;
225;782;786;13044;
226;785;788;14488;
