52;817;849;22172;
56;821;851;23620;
60;820;851;25064;
64;821;852;26508;
69;818;852;27952;
73;820;853;29400;
79;818;851;30844;
84;815;853;32288;
88;816;851;33732;
94;813;852;35180;
99;815;856;36624;
104;813;850;38068;
110;810;851;39512;
115;810;851;40964;
121;808;854;42404;
127;808;851;43848;
131;806;852;45292;
136;801;850;46740;
143;800;849;48184;
148;799;845;49628;
154;798;849;51072;
159;796;846;52520;
165;796;841;53964;
169;794;843;55408;
175;794;843;56852;
180;791;839;58300;
184;792;839;59744;
189;790;837;61188;
193;791;836;62632;
198;788;834;64080;
201;790;832;65524;
205;790;832;1432;
208;786;828;2792;
210;786;824;4152;
213;784;823;5596;
216;786;819;7044;
219;786;821;8488;
222;784;816;9932;
224;785;815;11376;
224;786;811;12824;
226;782;808;14268;
227;783;809;15712;
229;783;810;17156;
230;782;808;18604;
229;782;801;20048;
230;782;801;21492;
229;783;798;22936;
228;783;794;24384;
227;781;796;25828;
227;780;794;27272;
223;784;793;28716;
222;782;790;30164;
221;781;790;31608;
217;782;788;33052;
215;781;787;34496;
212;782;786;35944;
209;783;786;37388;
204;782;785;38832;
202;778;785;40276;
197;782;781;41724;
193;782;787;43168;
189;780;783;44612;
184;782;786;46056;
180;781;784;47504;
175;781;784;48948;
170;779;785;50392;
165;782;783;51836;
160;780;786;53284;
154;783;787;54728;
149;780;783;56172;
143;780;786;57616;
138;784;781;59064;
132;780;786;60508;
127;783;786;61952;
122;783;785;63396;
115;782;790;64844;
111;781;790;752;
105;783;790;2112;
100;783;792;3472;
96;781;794;4832;
90;784;793;6276;
85;785;793;7720;
79;786;798;9168;
74;788;793;10612;
70;791;801;12056;
66;792;802;13500;
61;796;803;14948;
57;796;807;16396;
54;798;807;17836;
49;800;810;19280;
46;803;811;20728;
42;804;813;22172;
39;807;814;23616;
36;810;816;25060;
35;815;818;26508;
32;813;820;27952;
30;815;822;29396;
27;814;826;30840;
28;817;826;32288;
26;822;830;33732;
25;818;830;35176;
25;823;830;36620;
24;821;839;38068;
25;819;836;39512;
25;821;837;40956;
27;826;839;42400;
28;820;840;43848;
28;821;841;45292;
30;821;841;46736;
32;819;844;48180;
34;822;843;49628;
37;820;846;51072;
40;824;847;52516;
43;820;847;53960;
46;821;849;55408;
50;819;850;56852;
53;820;851;58296;
57;821;851;59740;
62;817;852;61188;
66;819;851;62632;
70;819;851;64076;
75;816;853;65520;
80;816;852;1432;
85;813;854;2792;
89;814;852;4152;
95;813;854;5596;
101;813;851;7040;
106;814;850;8484;
111;811;851;9932;
116;811;852;11376;
121;808;850;12820;
128;804;851;14264;
134;807;850;15712;
139;805;850;17156;
145;800;849;18600;
151;799;848;20044;
155;798;846;21492;
159;793;847;22936;
166;797;845;24380;
170;794;843;25824;
175;794;840;27272;
180;790;835;28716;
185;791;837;30160;
190;789;834;31604;
194;790;834;33052;
198;787;833;34496;
203;788;830;35940;
206;789;828;37384;
209;788;824;38832;
213;785;826;40276;
215;785;821;41720;
218;787;821;43164;
221;787;819;44612;
222;785;817;46056;
224;786;816;47500;
225;784;812;48944;
226;783;810;50392;
229;782;807;51836;
230;779;806;53280;
229;780;803;54724;
228;779;798;56172;
228;779;799;57616;
228;779;795;59060;
227;781;791;60504;
227;779;795;61952;
225;780;792;63396;
223;781;791;64840;
221;778;788;748;
217;778;787;2108;
218;779;787;3468;
214;780;790;4828;
212;783;786;6276;
208;781;787;7720;
205;779;784;9164;
200;781;785;10608;
196;782;784;12056;
192;779;783;13500;
189;778;786;14944;
183;781;786;16396;
178;780;784;17836;
174;780;785;19280;
169;782;785;20724;
164;782;784;22168;
159;781;787;23616;
152;779;783;25060;
148;781;786;26504;
143;783;786;27948;
137;780;785;29396;
131;777;788;30840;
125;782;785;32284;
119;779;785;33728;
115;779;788;35176;
109;782;789;36620;
103;783;789;38064;
98;783;795;39508;
92;783;793;40956;
86;786;793;42400;
82;785;794;43844;
77;787;796;45288;
72;790;798;46736;
68;793;801;48180;
62;795;804;49624;
59;796;806;51068;
54;797;806;52516;
51;801;807;53960;
47;803;809;55404;
43;805;812;56848;
40;807;812;58296;
38;814;815;59740;
35;813;820;61184;
33;815;819;62628;
31;816;822;64076;
29;817;826;65520;
27;816;823;1428;
26;817;823;2788;
26;820;831;4148;
24;820;831;5592;
25;821;832;7040;
25;824;835;8484;
24;820;837;9928;
26;822;837;11372;
27;821;839;12820;
28;821;841;14264;
30;821;841;15708;
31;819;843;17152;
34;821;846;18600;
36;821;847;20044;
40;822;847;21488;
43;820;848;22932;
46;822;847;24380;
49;820;847;25824;
54;819;851;27268;
57;819;852;28712;
61;819;849;30160;
66;817;852;31604;
70;817;853;33048;
76;818;851;34492;
80;815;852;35940;
86;819;853;37384;
91;816;854;38828;
97;817;854;40272;
102;813;852;41720;
107;812;851;43164;
113;811;851;44608;
119;809;853;46052;
123;809;852;47500;
130;806;853;48944;
135;806;848;50388;
140;803;850;51832;
147;803;850;53280;
152;797;847;54724;
157;794;847;56168;
163;793;843;57612;
169;794;842;59060;
173;792;841;60504;
179;792;841;61948;
184;794;840;63392;
187;789;837;64840;
192;787;835;748;
195;788;835;2108;
200;788;829;3468;
203;786;830;4828;
207;788;830;6272;
209;788;826;7716;
213;787;823;9164;
217;785;821;10608;
219;783;820;12052;
221;786;819;13496;
224;785;817;14944;
224;784;813;16392;
227;781;812;17832;
228;784;807;19276;
229;784;807;20724;
230;778;806;22168;
230;783;803;23612;
229;781;800;25056;
228;781;797;26504;
227;781;796;27948;
226;781;795;29392;
226;780;792;30836;
224;784;792;32284;
222;781;790;33728;
220;779;791;35172;
217;780;786;36616;
214;781;788;38064;
212;779;788;39508;
209;784;787;40952;
204;781;788;42396;
200;779;785;43844;
197;783;785;45288;
193;783;788;46732;
188;779;785;48176;
183;782;784;49624;
178;780;783;51068;
173;780;784;52512;
168;781;783;53956;
162;784;786;55404;
158;781;785;56848;
152;781;785;58292;
146;783;786;59736;
140;777;786;61184;
135;781;785;62628;
129;778;786;64072;
125;781;788;65516;
118;781;785;1428;
114;781;788;2788;
107;781;789;4148;
102;781;790;5592;
97;783;792;7036;
91;782;792;8480;
86;783;796;9928;
80;786;795;11372;
76;788;796;12816;
71;791;800;14260;
66;792;797;15708;
62;797;801;17152;
58;796;806;18596;
54;800;808;20040;
50;800;807;21488;
46;803;812;22932;
43;806;813;24376;
40;808;815;25820;
37;809;816;27268;
34;812;819;28712;
32;813;820;30156;
31;815;824;31600;
28;818;824;33048;
27;817;826;34492;
26;817;828;35936;
25;822;829;37380;
25;820;831;38828;
26;819;833;40272;
25;822;836;41716;
25;822;837;43160;
27;821;838;44608;
28;822;837;46052;
29;822;841;47496;
31;821;844;48940;
32;821;843;50388;
35;822;844;51832;
38;820;846;53280;
41;819;847;54720;
44;820;848;56168;
47;820;848;57612;
52;818;848;59056;
54;820;850;60500;
58;820;851;61948;
63;819;853;63392;
67;818;849;64836;
72;821;852;744;
77;818;851;2104;
81;815;850;3464;
86;817;853;4824;
91;815;850;6272;
96;815;850;7716;
102;813;852;9160;
108;813;849;10604;
114;812;850;12052;
119;809;852;13496;
125;810;848;14940;
130;808;852;16392;
136;804;851;17832;
141;804;847;19276;
147;801;846;20720;
153;796;847;22164;
158;797;846;23612;
163;793;844;25056;
169;792;844;26500;
174;795;842;27944;
178;792;840;29392;
183;789;841;30836;
189;789;838;32280;
192;788;836;33724;
197;788;834;35172;
201;787;833;36616;
203;788;830;38060;
209;789;828;39504;
212;789;827;40952;
215;789;824;42396;
218;785;821;43840;
220;785;821;45284;
222;784;817;46732;
224;783;815;48176;
226;784;814;49620;
227;782;811;51064;
227;781;808;52512;
229;782;803;53956;
228;783;805;55400;
230;780;802;56844;
229;782;799;58292;
229;782;799;59736;
227;779;797;61180;
226;780;793;62624;
225;782;794;64072;
223;780;795;65516;
221;781;791;1424;
219;779;789;2784;
215;780;787;4144;
213;780;788;5588;
210;782;785;7036;
207;782;782;8480;
204;781;786;9924;
200;779;785;11368;
196;781;787;12816;
191;780;784;14260;
186;781;785;15704;
181;780;782;17148;
177;781;784;18596;
172;785;787;20040;
166;780;782;21484;
162;780;787;22928;
155;784;786;24376;
150;781;787;25820;
145;781;785;27264;
139;780;785;28708;
132;780;785;30156;
127;778;786;31600;
122;781;787;33044;
116;781;785;34488;
111;784;790;35936;
104;782;789;37380;
99;783;789;38824;
94;785;792;40268;
87;785;793;41716;
83;786;795;43160;
78;789;796;44604;
73;790;799;46048;
68;792;800;47496;
63;793;804;48940;
60;794;802;50384;
54;796;803;51828;
51;799;805;53280;
47;802;810;54720;
44;805;811;56164;
40;805;812;57608;
37;811;813;59056;
35;811;815;60500;
33;811;821;61944;
31;818;824;63388;
28;815;823;64836;
28;817;826;744;
26;817;826;2104;
26;819;830;3464;
25;818;830;4824;
24;821;833;6268;
25;822;833;7712;
26;821;838;9160;
26;819;835;10604;
27;819;840;12048;
29;819;840;13492;
30;822;841;14940;
32;823;844;16388;
36;817;844;17828;
36;821;844;19272;
39;822;845;20720;
43;819;847;22164;
47;820;848;23608;
51;821;849;25052;
55;819;847;26500;
59;820;849;27944;
63;819;850;29388;
68;820;852;30832;
73;818;851;32280;
77;821;851;33724;
82;816;855;35168;
88;819;848;36612;
92;813;855;38060;
98;813;853;39504;
104;812;851;40948;
110;811;851;42392;
116;809;850;43840;
122;810;851;45284;
127;806;850;46728;
133;805;850;48172;
139;803;853;49620;
144;800;846;51064;
150;796;847;52508;
156;797;847;53952;
161;796;843;55400;
166;795;846;56844;
171;793;841;58288;
176;794;842;59732;
182;791;841;61180;
186;790;839;62624;
190;791;838;64068;
195;790;838;65512;
199;789;834;1424;
204;788;834;2784;
207;789;830;4144;
210;789;832;5588;
214;786;826;7032;
216;788;822;8476;
218;785;818;9924;
221;785;820;11368;
223;786;817;12812;
225;784;814;14256;
227;782;813;15704;
228;782;810;17148;
229;783;807;18592;
229;782;805;20036;
229;781;803;21484;
230;780;798;22928;
228;778;798;24372;
227;780;796;25816;
227;780;796;27264;
226;780;793;28708;
224;782;794;30152;
222;779;792;31596;
219;778;788;33044;
216;779;787;34488;
214;781;788;35932;
211;779;787;37376;
206;780;785;38824;
204;778;784;40268;
199;777;784;41712;
195;775;784;43156;
191;777;784;44604;
186;779;781;46048;
181;779;784;47492;
175;778;785;48936;
172;779;785;50384;
166;781;785;51828;
161;779;781;53280;
156;777;786;54716;
148;779;785;56164;
144;778;790;57608;
138;780;785;59052;
132;780;785;60496;
127;779;787;61944;
121;780;788;63388;
115;780;786;64832;
110;779;789;740;
103;780;790;2100;
100;783;791;3460;
94;781;793;4820;
88;784;791;6268;
83;787;795;7712;
78;787;795;9156;
73;790;799;10600;
68;791;801;12048;
64;793;803;13492;
59;795;805;14936;
55;797;806;16380;
51;801;806;17828;
47;804;808;19272;
44;805;811;20716;
41;809;810;22160;
37;810;814;23608;
35;812;817;25052;
33;813;820;26496;
30;817;821;27940;
29;818;826;29388;
28;818;823;30832;
26;818;827;32276;
25;822;827;33720;
25;820;834;35168;
24;822;831;36612;
25;821;835;38056;
26;821;838;39500;
25;822;837;40948;
27;820;840;42392;
29;819;840;43836;
30;822;840;45280;
32;822;842;46728;
35;821;843;48172;
38;821;846;49616;
40;818;846;51060;
44;821;847;52508;
48;818;847;53952;
51;821;846;55396;
55;819;852;56840;
59;819;848;58288;
63;821;851;59732;
69;820;853;61176;
73;819;849;62620;
78;817;849;64068;
84;816;852;65512;
88;816;852;1420;
93;815;851;2780;
98;814;852;4140;
104;811;853;5584;
110;810;852;7032;
115;810;855;8476;
121;807;851;9920;
127;807;849;11364;
132;805;849;12812;
139;804;849;14256;
144;802;845;15700;
150;800;847;17144;
156;797;846;18592;
160;794;845;20036;
166;796;845;21480;
172;793;841;22924;
177;794;840;24372;
182;792;841;25816;
187;789;837;27260;
191;791;836;28704;
195;790;835;30152;
200;786;832;31596;
203;788;832;33040;
207;790;829;34484;
209;784;828;35932;
214;790;825;37376;
217;789;824;38820;
219;785;820;40264;
221;786;820;41712;
224;788;817;43156;
225;784;815;44600;
227;782;813;46044;
228;783;809;47492;
229;781;809;48936;
229;779;803;50380;
230;779;803;51824;
228;779;802;53276;
230;778;798;54716;
227;780;798;56160;
226;778;796;57604;
225;777;795;59052;
223;780;791;60496;
222;778;790;61940;
218;780;792;63384;
217;779;788;64832;
213;782;788;740;
209;780;786;2100;
207;780;784;3460;
203;777;785;4820;
199;780;785;6264;
195;780;785;7708;
191;777;786;9156;
187;781;785;10600;
181;778;787;12044;
177;778;785;13488;
