d2f4;315;e700;
db;306;315;c84c;
dc;305;316;cdf0;
d9;306;317;d394;
da;30a;319;d93c;
da;307;317;dee0;
d9;306;314;e484;
d8;305;316;ea28;
d8;30a;315;efd0;
d8;308;316;f574;
d7;30b;318;fb18;
d6;307;313;bc;
d4;307;318;5b8;
d4;308;319;b08;
d3;308;317;1058;
d1;30b;316;15fc;
d1;309;316;1ba4;
d0;307;315;2148;
cf;309;316;26ec;
cf;306;317;2c90;
ce;307;311;3238;
cd;308;317;37dc;
cc;308;317;3d80;
cb;308;315;4324;
ca;308;315;48cc;
c9;305;315;4e70;
c7;307;316;541c;
c5;306;316;59b8;
c6;307;315;5f60;
c4;309;315;6504;
c2;308;315;6aa8;
c3;308;316;704c;
c1;308;315;75f4;
c0;307;317;7b98;
be;307;313;813c;
bc;305;316;86e4;
bc;308;317;8c88;
bb;308;316;922c;
ba;306;317;97d0;
b9;309;316;9d74;
b8;308;316;a31c;
b7;307;317;a8c0;
b5;308;317;ae64;
b3;309;315;b410;
b2;307;315;b9b0;
b2;307;317;bf54;
b1;306;316;c4f8;
ae;308;315;ca9c;
ad;305;315;d044;
ac;306;317;d5e8;
aa;309;317;db8c;
a9;307;315;e130;
a7;307;315;e6d8;
a7;306;315;ec7c;
a6;308;317;f220;
a3;306;316;f7c4;
a2;308;313;fd6c;
a0;307;314;310;
9f;307;314;860;
9f;308;316;db0;
9d;308;316;1300;
9b;305;318;18a4;
9a;306;316;1e48;
98;305;315;23f0;
97;305;315;2994;
96;308;315;2f38;
94;309;315;34dc;
93;306;315;3a84;
91;307;314;4028;
90;308;316;45cc;
8e;307;316;4b70;
8c;308;317;5118;
8b;305;319;56bc;
8b;307;315;5c60;
89;308;315;6204;
88;307;318;67ac;
86;308;318;6d50;
84;307;316;72f4;
83;309;31a;7898;
82;308;319;7e40;
7f;306;317;83e4;
7e;308;319;8988;
7d;307;319;8f2c;
7b;308;319;94d4;
79;305;321;9a78;
79;307;31b;a020;
76;306;31c;a5c0;
75;308;321;ab68;
75;303;31e;b10c;
73;309;31d;b6b0;
71;308;321;bc54;
70;305;31f;c1fc;
6e;307;321;c7a0;
6d;308;323;cd44;
6b;309;323;d2ec;
6a;309;323;d890;
69;307;326;de34;
66;305;324;e3d8;
65;307;325;e97c;
64;305;327;ef24;
63;306;326;f4c8;
60;306;327;fa6c;
5f;305;32a;18;
5f;305;32b;50c;
5c;308;32b;a5c;
5c;305;32e;fac;
5b;307;32f;14fc;
5a;308;32e;1aa0;
58;30b;330;2048;
56;308;334;25ec;
55;30b;32f;2b90;
53;30c;331;3134;
53;30a;334;36dc;
51;305;335;3c80;
4f;30a;337;4224;
4e;307;335;47c8;
4d;30a;336;4d70;
4a;30b;335;5314;
4a;30a;337;58b8;
4a;307;33b;5e60;
48;309;338;6408;
46;309;337;69a8;
46;30d;338;6f4c;
44;30d;339;74f0;
43;30d;33e;7a98;
42;30d;33d;803c;
40;30f;33c;85e0;
3f;311;33f;8b84;
3e;311;340;912c;
3d;314;33e;96d0;
3c;314;33f;9c74;
3a;315;342;a218;
39;319;342;a7c0;
39;319;344;ad64;
38;317;343;b308;
37;31e;343;b8ac;
36;31d;344;be54;
34;31e;346;c3f8;
34;322;345;c99c;
32;322;345;cf40;
32;321;348;d4e8;
30;322;349;da8c;
2f;321;347;e030;
30;322;34a;e5d4;
2d;326;34b;eb7c;
2c;321;349;f120;
2c;322;349;f6c4;
2b;322;34b;fc68;
2b;325;34c;210;
29;324;34b;760;
28;321;34e;cb0;
27;322;34e;1200;
28;321;34d;17a4;
26;323;34d;1d48;
26;322;350;22ec;
25;31f;34e;2894;
24;322;34f;2e38;
23;320;350;33dc;
23;325;350;3984;
22;324;34e;3f28;
21;324;350;44cc;
21;323;351;4a70;
20;324;350;501c;
20;323;351;55bc;
20;323;354;5b60;
1f;324;351;6104;
1e;324;352;66a8;
1e;326;354;6c50;
1d;326;351;71f4;
1c;326;353;7798;
1c;324;357;7d3c;
1d;326;355;82e4;
1c;328;355;8888;
1b;325;356;8e2c;
1b;327;354;93d0;
1b;329;356;9978;
1a;327;357;9f1c;
1a;326;356;a4c0;
1a;329;35b;aa64;
1a;327;358;b010;
19;32a;359;b5b0;
19;328;357;bb54;
1a;329;359;c0f8;
18;329;359;c6a0;
19;32c;359;cc44;
19;329;359;d1e8;
18;32b;357;d78c;
19;327;357;dd34;
18;329;35a;e2d8;
18;32a;358;e87c;
18;329;359;ee20;
19;329;35a;f3c8;
18;327;359;f96c;
18;329;359;ff10;
19;32a;35a;4b4;
18;32d;35b;a04;
19;32a;359;f54;
1a;32a;35a;14a4;
19;32a;35b;1a4c;
1a;329;35a;1ff0;
1a;32a;35a;2594;
1a;32a;358;2b38;
1a;32c;359;30e0;
1b;329;35a;3684;
1a;329;359;3c28;
1b;329;35b;41cc;
1c;32b;359;4774;
1c;32b;35b;4d18;
1d;32c;35a;52bc;
1d;32b;358;5864;
1d;32a;357;5e08;
1e;329;359;63ac;
1e;328;35a;6950;
1e;329;359;6ef4;
1f;329;35a;749c;
20;329;35c;7a40;
20;32d;359;7fe4;
21;329;35d;858c;
21;32a;35b;8b30;
23;32a;359;90d4;
22;32a;357;9678;
23;32b;358;9c20;
23;327;35b;a1c4;
24;32a;357;a768;
26;32a;35c;ad0c;
26;32a;358;b2b0;
27;328;35a;b858;
28;32a;35a;bdfc;
29;32b;359;c3a0;
29;32a;35c;c944;
2a;32a;35b;ceec;
2a;32a;359;d490;
2c;325;359;da34;
2d;32a;35a;dfd8;
2d;32a;35b;e580;
2f;32a;359;eb24;
30;32a;359;f0c8;
30;32b;35b;f66c;
32;32b;35a;fc18;
32;329;35b;1b8;
33;32b;35a;708;
33;329;35d;c58;
35;329;35c;11a8;
36;32a;359;174c;
37;32b;35b;1cf0;
39;32a;35b;2298;
39;32c;35b;283c;
3a;327;357;2de0;
3b;329;35c;3388;
3b;32a;35a;392c;
3d;32a;35d;3ed0;
40;32a;35c;4474;
40;329;35b;4a18;
41;329;35e;4fc0;
43;329;35c;5564;
44;32c;359;5b08;
44;327;35e;60ac;
46;329;359;6654;
48;32c;35c;6bf8;
48;328;35b;719c;
4a;328;35c;7740;
4b;32a;35d;7ce8;
4d;325;35d;828c;
4e;326;35a;8830;
4f;328;35b;8dd4;
50;325;35e;937c;
52;328;35b;9920;
52;326;35a;9ec4;
54;329;35b;a468;
56;329;35b;aa10;
57;328;357;afb4;
58;329;35b;b558;
5a;328;359;bafc;
5b;328;35b;c0a4;
5d;328;35f;c648;
5e;32b;35c;cbec;
5f;326;35a;d190;
61;327;35a;d738;
62;328;35c;dcdc;
63;325;35b;e280;
65;326;35a;e828;
67;327;35a;edcc;
67;327;35d;f370;
69;325;357;f914;
6b;324;359;feb8;
6d;325;359;460;
6e;326;35b;9b0;
6f;325;35b;f00;
71;325;35b;1450;
72;323;359;19f4;
73;321;35d;1f98;
75;324;359;253c;
77;31f;355;2ae4;
79;321;358;3088;
79;321;357;362c;
7a;320;356;3bd0;
7d;31e;354;4178;
7e;31d;354;471c;
7f;31d;355;4cc0;
80;31c;352;5264;
82;31b;351;5810;
84;31b;353;5db0;
85;31b;352;6354;
86;317;350;68fc;
88;319;34d;6ea0;
89;318;34c;7444;
8b;318;34c;79e8;
8c;315;34a;7f8c;
8e;31b;34c;8534;
90;316;349;8ad8;
90;317;347;907c;
92;317;349;9620;
93;317;348;9bc8;
96;318;34a;a16c;
97;313;347;a710;
99;315;344;acb4;
9a;315;345;b25c;
9b;317;342;b808;
9c;318;341;bda4;
9e;315;344;c348;
a0;313;33f;c8f0;
a0;316;33f;ce94;
a1;314;341;d438;
a3;315;33d;d9dc;
a4;312;33e;df84;
a7;314;33d;e528;
a7;312;340;eacc;
a8;30f;33b;f074;
ab;313;33c;f618;
ac;30d;33c;fbbc;
ad;30e;33a;160;
ae;30b;33a;6b0;
b0;30c;338;c08;
b0;30a;336;1150;
b2;30f;338;16f8;
b4;30c;335;1c9c;
b4;30a;334;2240;
b5;30b;335;27e4;
b8;309;334;2d88;
b8;307;333;3330;
b9;30a;334;38d4;
bb;309;333;3e78;
bb;30a;332;4420;
bd;30a;331;49c4;
be;309;330;4f68;
c0;30b;32f;550c;
c0;30b;335;5ab0;
c2;30a;32e;6058;
c2;30a;32c;65fc;
c4;309;330;6ba0;
c5;30a;32e;7144;
c6;309;329;76ec;
c8;30b;32b;7c90;
c8;309;329;8234;
c8;30a;32b;87dc;
cb;30a;32a;8d80;
cc;307;326;9324;
cd;309;328;98c8;
ce;30c;325;9e70;
cf;30c;322;a418;
d0;30b;324;a9b8;
d1;30b;323;af5c;
d1;309;322;b500;
d3;30a;31e;baa8;
d2;309;320;c04c;
d3;308;320;c5f0;
d5;30a;31e;cb94;
d5;309;321;d13c;
d7;309;31c;d6e0;
d7;30a;31c;dc84;
d7;305;31b;e22c;
d7;308;31b;e7d0;
d9;30a;31a;ed74;
da;30a;31c;f318;
da;308;319;f8c0;
da;30b;31b;fe64;
db;308;316;410;
dd;307;315;958;
dc;307;316;ea8;
dd;307;318;13f8;
de;307;317;199c;
dd;308;315;1f44;
de;308;316;24e8;
e0;30a;316;2a8c;
e0;309;317;3030;
e0;306;316;35d8;
e1;309;317;3b7c;
e1;309;315;4120;
e2;308;316;46c4;
e1;307;319;4c68;
e3;308;316;5210;
e4;307;313;57b4;
e4;305;315;5d58;
e4;308;313;62fc;
e4;306;317;68a4;
e4;308;316;6e48;
e4;309;318;73ec;
e5;307;317;7990;
e5;307;318;7f38;
e5;308;313;84dc;
e5;306;313;8a80;
e5;308;314;9024;
e5;308;315;95cc;
e5;30b;317;9b70;
e6;308;315;a114;
e5;309;315;a6b8;
e5;307;317;ac60;
e6;308;318;b204;
e6;309;318;b7a8;
e5;30a;315;bd4c;
e6;309;314;c2f4;
e6;309;312;c898;
e5;308;314;ce3c;
e5;307;315;d3e0;
e5;308;318;d988;
e4;307;316;df2c;
e4;308;316;e4d0;
e4;309;317;ea74;
e4;307;317;f020;
e3;306;315;f5c0;
e4;307;315;fb64;
e3;305;316;108;
e2;305;316;65c;
e3;309;317;bac;
e2;308;317;10f8;
e2;305;317;16a0;
e1;308;316;1c44;
e1;308;317;21e8;
e1;306;319;278c;
e0;30a;313;2d34;
e0;306;316;32d8;
e0;30b;315;387c;
de;308;316;3e20;
de;308;316;43c8;
dd;305;317;496c;
dd;30a;317;4f10;
dd;307;316;54b8;
db;308;318;5a5c;
db;308;315;6004;
d9;308;317;65a4;
da;308;318;6b48;
d9;309;313;70f0;
d9;309;316;7694;
d8;308;319;7c38;
d7;307;318;81dc;
d6;308;313;8784;
d5;307;317;8d28;
d4;307;314;92cc;
d4;306;317;9874;
d3;307;314;9e18;
d1;307;316;a3bc;
d0;308;319;a960;
d0;308;314;af04;
ce;309;315;b4ac;
ce;30a;313;ba50;
ce;305;317;bff4;
cc;306;314;c598;
cc;308;315;cb40;
ca;308;316;d0e4;
c9;306;316;d688;
c8;30a;316;dc30;
c7;30b;317;e1d4;
c6;308;314;e778;
c5;305;316;ed1c;
c4;308;316;f2c0;
c3;308;315;f868;
c2;308;317;fe0c;
c1;307;314;3b0;
c0;308;316;900;
be;30a;315;e50;
be;309;316;13a0;
bb;305;315;1948;
ba;304;317;1eec;
b9;307;317;2490;
b8;308;315;2a34;
b7;304;317;2fdc;
b6;304;318;3580;
b4;308;313;3b24;
b3;30c;317;40c8;
b2;306;317;4670;
b0;308;316;4c18;
af;308;315;51b8;
af;30a;315;575c;
ad;308;319;5d04;
ac;308;316;62a8;
aa;308;316;684c;
a9;309;317;6df0;
a7;308;317;7394;
a6;305;315;793c;
a5;308;315;7ee0;
a3;306;318;8484;
a1;305;316;8a28;
a1;309;315;8fd0;
9f;308;317;9574;
9d;309;317;9b18;
9c;30a;318;a0bc;
9b;307;318;a664;
9a;305;317;ac10;
98;307;314;b1ac;
96;307;313;b750;
95;309;316;bcf8;
93;306;316;c29c;
92;305;314;c840;
91;307;319;cde4;
8f;308;316;d38c;
8d;308;319;d930;
8c;306;318;ded4;
8b;308;316;e478;
89;308;318;ea20;
88;308;319;efc4;
86;307;313;f568;
85;308;31a;fb0c;
83;307;319;b4;
82;308;31a;5ac;
80;309;31b;b00;
7f;309;319;1050;
7d;304;31b;15f4;
7c;305;31b;1b98;
7a;306;31b;213c;
79;307;31d;26e0;
78;307;31d;2c88;
75;307;31d;322c;
74;306;31e;37d0;
73;308;320;3d74;
72;308;324;431c;
70;308;322;48c0;
6f;308;323;4e64;
6d;307;323;5410;
6c;308;326;59b0;
6a;307;324;5f54;
69;307;324;64f8;
67;306;325;6aa0;
66;306;325;7044;
63;308;328;75e8;
64;308;328;7b8c;
62;307;326;8134;
60;308;329;86d8;
5f;308;32b;8c7c;
5e;305;32a;9220;
5c;308;329;97c4;
5b;307;32e;9d6c;
5a;305;32c;a310;
57;307;32c;a8b4;
57;307;32e;ae58;
55;30b;32f;b404;
53;308;330;b9a4;
52;308;332;bf48;
51;308;334;c4ec;
4e;307;335;ca94;
4f;309;335;d038;
4d;309;338;d5dc;
4c;307;337;db80;
4a;309;33b;e128;
49;30b;338;e6cc;
49;30d;339;ec70;
47;30c;339;f218;
46;30a;33c;f7bc;
44;30f;33d;fd60;
43;30c;33e;304;
42;311;33c;854;
41;314;33d;da4;
40;314;33e;12f4;
3f;313;33e;1898;
3d;316;340;1e40;
3d;314;344;23e4;
3c;315;341;2988;
39;31a;340;2f2c;
39;31a;344;34d4;
38;31b;345;3a78;
37;31e;341;4020;
36;31e;343;45c0;
34;31e;346;4b68;
33;320;345;510c;
32;320;346;56b0;
32;31f;344;5c54;
30;320;34a;61fc;
2f;323;349;67a0;
2e;31f;349;6d44;
2e;321;348;72e8;
2d;321;34a;7890;
2c;31f;34c;7e34;
2b;323;34b;83d8;
2a;320;34e;897c;
2a;321;34d;8f24;
2a;322;34d;94c8;
28;31d;34d;9a6c;
28;322;34e;a018;
26;324;34a;a5b8;
26;321;34e;ab5c;
26;325;34e;b100;
25;322;34d;b6a4;
24;321;351;bc4c;
23;321;350;c1f0;
22;322;350;c794;
22;324;34f;cd38;
21;322;34f;d2e0;
20;322;351;d884;
20;324;351;de28;
1f;323;352;e3cc;
1f;324;350;e974;
1e;324;351;ef18;
1e;323;355;f4bc;
1d;326;356;fa60;
1d;325;353;c;
1c;325;355;4ac;
1c;323;356;9fc;
1c;326;355;f4c;
1b;325;355;149c;
1b;327;357;1a44;
1b;328;355;1fe8;
1c;326;356;258c;
1a;32a;358;2b30;
1a;328;359;30d8;
1a;327;358;367c;
19;32b;359;3c20;
19;328;358;41c4;
19;32a;358;476c;
19;32c;357;4d10;
19;329;359;52b4;
18;329;35a;5858;
19;32c;359;5dfc;
19;329;35a;63a4;
19;32d;359;6948;
19;32c;35a;6eec;
19;32c;359;7490;
18;32a;35b;7a38;
19;32b;355;7fdc;
18;32a;35a;8580;
19;32b;35a;8b24;
18;328;35b;90cc;
19;32a;359;9670;
1a;32c;359;9c1c;
19;32a;358;a1b8;
19;32c;357;a760;
1b;329;359;ad04;
1a;32a;357;b2a8;
1a;32d;35f;b84c;
1b;327;359;bdf4;
1b;32a;359;c398;
1b;328;35a;c93c;
1c;32b;357;cee0;
1c;329;359;d488;
1c;327;35a;da2c;
1c;328;35a;dfd0;
1c;32a;35b;e574;
1e;32c;359;eb1c;
1e;329;359;f0c0;
1e;32a;359;f664;
1f;32b;359;fc10;
20;329;35b;1b0;
20;32b;35a;700;
21;32c;359;c50;
22;32b;35a;11a0;
22;32a;35a;1744;
22;32b;35a;1ce8;
23;329;359;228c;
23;32b;359;2834;
25;328;357;2dd8;
25;32a;35a;337c;
25;329;35a;3924;
26;32c;359;3ec8;
28;32a;35c;446c;
29;32b;35b;4a10;
28;327;35b;4fb4;
2a;329;35c;555c;
2a;32a;359;5b00;
2b;326;35a;60a4;
2c;32b;358;664c;
2d;32c;359;6bf0;
2e;329;35a;7194;
2e;32b;35b;7738;
31;32a;359;7ce0;
31;32b;35c;8284;
32;329;35c;8828;
33;32c;35b;8dcc;
34;32c;359;9374;
34;32a;35c;9918;
36;328;35b;9ebc;
36;32a;357;a460;
39;32b;35d;aa04;
38;329;357;afac;
3a;32a;35a;b550;
3c;32b;35c;baf4;
3c;32a;35b;c09c;
3d;32a;35d;c640;
3f;32a;357;cbe4;
40;32a;35a;d188;
40;327;35a;d72c;
42;32a;35c;dcd4;
44;329;35d;e278;
45;32a;35b;e820;
46;329;35a;edc0;
47;32a;35b;f368;
48;325;35b;f90c;
4a;325;359;feb0;
4a;32a;35d;454;
4c;32b;35a;9a4;
4d;32c;359;ef4;
4f;32a;35b;1448;
50;325;35b;19ec;
51;32a;358;1f90;
52;328;35a;2534;
54;327;35a;2ad8;
55;326;35c;3080;
57;328;359;3624;
57;329;35a;3bc8;
5a;329;35c;416c;
5b;328;359;4714;
5c;32b;35f;4cb8;
5d;327;35b;525c;
5e;328;359;5808;
60;328;35e;5da8;
61;324;358;634c;
63;328;359;68f0;
65;327;359;6e94;
66;325;35b;743c;
67;328;35a;79e0;
69;325;35c;7f84;
6a;324;35a;8528;
6c;327;359;8ad0;
6d;325;35c;9074;
6f;323;35b;9618;
70;325;35d;9bc0;
72;31f;35b;a164;
73;321;35a;a708;
75;322;359;acac;
76;320;358;b254;
77;31e;35a;b7f8;
79;31f;355;bd9c;
7b;31f;356;c340;
7c;31e;356;c8e4;
7d;31d;353;ce8c;
7f;31c;355;d430;
81;31b;354;d9d4;
82;31a;352;df78;
83;319;353;e520;
85;31b;34f;eac4;
86;31b;350;f068;
88;31a;34f;f610;
8a;31b;34d;fbb4;
8b;318;34a;158;
8c;318;34b;6a8;
8d;317;34c;bf8;
8f;317;348;1148;
90;318;34b;16ec;
92;318;349;1c90;
93;318;346;2238;
95;318;347;27dc;
96;315;345;2d80;
98;317;345;3324;
99;316;345;38cc;
9b;316;346;3e70;
9c;317;341;441c;
9d;316;33f;49b8;
9f;317;33f;4f60;
a0;318;33f;5504;
a2;316;341;5aa8;
a3;315;33e;604c;
a4;313;33d;65f4;
a6;313;33b;6b98;
a7;312;33c;713c;
a8;311;33d;76e0;
aa;30e;33c;7c88;
ac;30f;33a;822c;
ad;30e;33a;87d0;
ae;30c;337;8d78;
af;309;339;931c;
b1;30a;335;98c0;
b2;30c;338;9e64;
b3;309;337;a410;
b4;30b;335;a9b0;
b5;30a;336;af54;
b7;309;336;b4f8;
b9;309;334;ba9c;
ba;30c;335;c044;
b9;30b;333;c5e8;
bc;30c;333;cb8c;
bc;308;333;d130;
be;30a;331;d6d8;
bf;30b;32f;dc7c;
c0;30e;331;e220;
c1;30a;32e;e7c8;
c3;30c;32b;ed6c;
c4;308;32d;f310;
c5;30a;329;f8b4;
c5;308;32c;fe58;
c6;30b;327;404;
c8;30b;328;950;
c8;30d;32a;ea0;
ca;30c;328;13f0;
cb;30a;327;1994;
cb;30a;326;1f38;
cc;30b;322;24dc;
cd;30d;328;2a84;
ce;30b;321;3028;
cf;30d;320;35cc;
d1;30b;321;3b74;
d2;307;31f;4118;
d3;30b;323;46bc;
d3;309;320;4c60;
d4;30a;31d;5204;
d4;309;31d;57ac;
d5;307;31c;5d50;
d6;309;31d;62f4;
d6;30b;31d;6898;
d8;30a;31b;6e40;
d8;307;31b;73e4;
da;309;31b;7988;
d9;307;317;7f2c;
d9;30b;319;84d4;
db;307;31a;8a78;
dd;306;31a;9020;
dc;308;318;95c0;
de;307;319;9b68;
dd;308;316;a10c;
de;309;315;a6b0;
df;309;317;ac54;
e0;309;315;b1fc;
e0;30a;313;b7a0;
e0;308;315;bd44;
e0;307;318;c2e8;
e1;308;315;c890;
e2;309;316;ce34;
e2;307;316;d3d8;
e3;307;315;d97c;
e2;308;316;df24;
e2;308;317;e4c8;
e3;307;318;ea6c;
e3;308;317;f018;
e5;307;316;f5b8;
e5;309;313;fb5c;
e4;308;317;100;
e5;309;314;650;
e5;308;317;ba0;
e5;307;317;10f0;
e5;308;317;1698;
e4;308;316;1c3c;
e5;308;317;21e0;
e4;308;315;2784;
e4;307;317;2d28;
e6;30a;318;32d0;
e6;308;316;3874;
e6;30a;317;3e18;
e4;308;316;43bc;
e6;307;317;4964;
e6;307;317;4f08;
e6;309;316;54ac;
e4;308;31a;5a50;
e5;308;317;5ff8;
e3;306;316;659c;
e5;308;318;6b40;
e4;308;311;70e4;
e4;309;315;768c;
e4;305;317;7c30;
e3;309;316;81d4;
e3;308;316;877c;
e3;308;315;8d20;
e2;308;317;92c4;
e1;306;316;9868;
e1;306;314;9e0c;
e0;307;313;a3b4;
e1;307;317;a958;
e1;30a;318;aefc;
e0;307;315;b4a0;
e0;305;31a;ba48;
df;307;318;bfec;
de;308;31a;c590;
de;308;316;cb38;
dd;307;317;d0dc;
dc;306;314;d680;
dd;308;315;dc24;
da;308;317;e1c8;
dc;307;314;e770;
db;309;316;ed14;
d9;305;315;f2b8;
d8;307;314;f860;
d9;308;314;fe04;
d7;307;318;3a8;
d7;307;317;8f8;
d6;308;315;e48;
d5;307;318;1398;
d4;308;315;193c;
d3;305;316;1ee0;
d3;308;317;2488;
d1;308;316;2a2c;
d0;308;31a;2fd0;
d0;308;316;3574;
ce;308;316;3b1c;
cf;308;318;40c0;
ce;308;315;4664;
cc;305;318;4c10;
cb;307;315;51b0;
ca;307;316;5754;
c9;307;314;5cf8;
c9;309;315;629c;
c7;30c;317;6844;
c7;308;315;6de8;
c4;306;315;738c;
c3;307;315;7934;
c4;30b;315;7ed8;
c3;30a;315;847c;
c1;307;317;8a20;
bf;307;315;8fc8;
be;305;316;956c;
be;308;317;9b10;
bc;307;318;a0b4;
bb;306;315;a658;
ba;309;316;ac04;
b8;306;315;b1a4;
b7;306;316;b748;
b6;306;317;bcf0;
b5;308;316;c294;
b4;308;318;c838;
b1;307;316;cddc;
b0;308;316;d380;
b0;309;317;d928;
af;309;317;decc;
ad;308;315;e470;
ac;307;31a;ea14;
aa;307;317;efbc;
a9;306;314;f560;
a7;306;317;fb04;
a7;30a;318;ac;
a5;308;315;5a4;
a4;309;313;af4;
a2;307;315;1044;
a1;308;314;15e8;
a0;308;316;1b90;
9e;306;316;2134;
9d;307;319;26d8;
9b;305;316;2c7c;
9a;306;314;3224;
98;308;317;37c8;
98;307;316;3d6c;
95;308;318;4310;
94;308;317;48b8;
93;307;317;4e5c;
91;30a;316;5408;
8f;306;316;59a8;
8e;307;318;5f4c;
8d;308;316;64f0;
8c;308;317;6a94;
8a;305;317;7038;
88;307;316;75e0;
87;305;316;7b84;
86;307;319;8128;
84;305;318;86cc;
83;305;319;8c74;
81;307;319;9218;
7f;307;319;97bc;
7e;308;319;9d64;
7d;307;31a;a308;
7b;307;31a;a8ac;
7a;307;31b;ae50;
78;307;31e;b3f4;
76;306;319;b99c;
75;308;320;bf40;
74;306;320;c4e4;
72;308;31e;ca8c;
71;308;31f;d030;
6f;306;320;d5d4;
6e;308;321;db78;
6d;308;323;e11c;
6b;306;324;e6c4;
6a;309;325;ec68;
68;306;325;f20c;
66;309;328;f7b0;
65;308;327;fd58;
63;306;327;2fc;
61;307;327;84c;
60;307;32b;d9c;
5f;304;327;12ec;
5e;305;32c;1890;
5c;309;329;1e38;
5c;307;32c;23dc;
5a;307;32d;2980;
58;308;32d;2f24;
57;306;32f;34cc;
55;308;332;3a70;
55;308;333;4018;
53;309;331;45b8;
51;309;337;4b5c;
51;30c;334;5104;
4f;30a;332;56a8;
4d;30a;337;5c4c;
4c;30b;333;61f0;
4b;30b;339;6798;
4a;307;339;6d3c;
48;30b;338;72e0;
48;309;33d;7888;
47;30e;33b;7e2c;
45;30e;33b;83d0;
44;30b;33c;8974;
43;30d;33e;8f18;
41;30f;33e;94c0;
3f;311;33e;9a64;
3f;312;33f;a010;
3d;314;33f;a5ac;
3d;317;341;ab54;
3b;317;342;b0f8;
3b;318;33f;b69c;
3a;319;340;bc44;
38;319;344;c1e8;
37;31c;343;c78c;
36;31c;343;cd30;
35;31f;346;d2d8;
35;31d;346;d87c;
33;31d;345;de20;
32;31d;346;e3c4;
31;320;346;e968;
30;320;347;ef10;
30;322;34c;f4b4;
2e;31f;34b;fa58;
2e;321;34c;fffc;
2d;322;34c;5a4;
2b;320;34f;af4;
2b;321;34a;1044;
2a;321;34b;15e8;
29;323;34f;1b8c;
28;322;34e;2130;
28;321;34d;26d8;
26;322;34d;2c7c;
27;324;34e;3220;
25;322;350;37c4;
25;321;34f;3d6c;
24;323;350;4310;
23;320;351;48b4;
23;31e;352;4e58;
22;323;351;5404;
21;321;351;59a4;
21;322;351;5f48;
1f;324;353;64ec;
20;324;353;6a94;
1f;325;354;7038;
1f;325;355;75dc;
1e;324;351;7b80;
1e;326;353;8128;
1d;326;355;86cc;
1c;328;357;8c70;
1c;327;358;9214;
1c;326;355;97bc;
1b;326;357;9d60;
1c;327;357;a304;
1b;328;357;a8a8;
1b;32a;357;ae50;
1a;329;355;b3f4;
1a;329;355;b998;
1a;328;359;bf3c;
1a;326;356;c4e4;
19;32a;358;ca88;
1a;327;359;d02c;
19;329;358;d5d0;
19;32c;358;db78;
19;328;35a;e11c;
19;32b;35a;e6c0;
19;32c;359;ec68;
18;328;35d;f20c;
19;329;359;f7b0;
18;32a;359;fd54;
18;329;358;2f8;
18;32a;359;848;
19;329;359;d98;
18;32a;357;12e8;
19;328;35a;1890;
19;32a;35a;1e34;
19;32b;35a;23d8;
19;32a;35a;297c;
19;32c;35a;2f24;
1a;32a;35a;34c8;
19;32a;359;3a6c;
1a;32b;35b;4018;
1a;32a;35d;45b8;
1a;327;35a;4b5c;
1c;32a;359;5100;
1b;329;359;56a4;
1c;327;357;5c4c;
1b;329;35b;61f0;
1c;328;35b;6794;
1e;32b;35a;6d38;
1d;32b;357;72e0;
1e;32a;35a;7884;
1e;328;35a;7e28;
1f;32a;359;83cc;
1f;32a;35c;8974;
20;32d;35a;8f18;
20;32a;359;94bc;
21;328;35a;9a60;
22;32a;359;a00c;
22;329;359;a5ac;
23;329;359;ab50;
24;32a;35c;b0f4;
25;32c;359;b69c;
24;32c;359;bc40;
26;32b;359;c1e4;
26;329;35b;c788;
28;32b;35b;cd30;
29;326;35c;d2d4;
29;32b;35c;d878;
2a;329;35b;de1c;
2a;329;35a;e3c4;
2b;32b;359;e968;
2c;324;35d;ef0c;
2d;329;35c;f4b0;
2e;32a;35c;fa58;
2f;329;35a;fffc;
2f;329;35b;5a0;
31;32a;35b;af0;
31;32d;35b;1040;
33;32c;35f;15e4;
34;32b;357;1b8c;
34;32a;359;2130;
36;32a;35b;26d4;
36;32a;359;2c78;
38;32b;35b;3220;
39;328;35a;37c4;
3a;328;35a;3d68;
3b;32a;359;4310;
3c;329;35d;48b4;
3d;329;35a;4e58;
3e;32c;357;53fc;
40;327;35c;59a0;
41;329;35a;5f48;
41;329;35b;64ec;
42;329;35c;6a90;
45;329;35b;7034;
45;32a;35b;75dc;
46;32a;359;7b80;
48;328;35c;8124;
49;329;35b;86cc;
4a;328;35b;8c70;
4c;32a;35b;9214;
4d;32b;359;97b8;
4d;329;35b;9d5c;
50;325;35c;a304;
51;32c;35b;a8a8;
53;329;35c;ae4c;
54;328;35a;b3f0;
55;327;35d;b998;
56;328;35a;bf3c;
58;329;35a;c4e0;
59;329;35a;ca84;
5b;328;35c;d02c;
5d;328;35e;d5d0;
5c;328;357;db74;
5f;328;35b;e118;
5f;326;35b;e6c0;
62;327;35a;ec64;
63;326;35a;f208;
64;323;35a;f7b0;
65;326;35a;fd54;
68;326;35f;2f8;
69;325;35b;848;
6a;323;35a;d98;
6b;325;35f;12e8;
6d;326;35d;188c;
6e;326;35a;1e34;
70;323;35a;23d8;
72;322;35a;297c;
72;326;35a;2f20;
74;321;359;34c8;
76;321;358;3a6c;
76;321;359;4014;
