d2f4;315;e700;
e1;300;312;7aac;
e0;2ff;314;8050;
e0;300;30e;85f8;
e0;300;313;8b9c;
df;2ff;312;9140;
e0;2ff;315;96e4;
df;300;314;9c8c;
df;2ff;313;a230;
de;301;310;a7d4;
dd;2fc;311;ad7c;
dd;300;312;b320;
db;300;312;b8c4;
db;300;316;be68;
db;301;315;c414;
da;2ff;311;c9b4;
d8;300;312;cf58;
d9;2ff;314;d4fc;
d8;301;311;daa0;
d7;301;313;e048;
d5;301;313;e5ec;
d5;2ff;314;eb90;
d4;2ff;314;f134;
d3;301;312;f6dc;
d4;302;314;fc80;
d1;303;313;224;
d1;2ff;311;774;
d1;301;314;cc4;
d0;2ff;315;1214;
d0;303;311;17bc;
cd;301;311;1d60;
cd;300;312;2304;
cd;2ff;313;28a8;
cc;2ff;313;2e4c;
cb;2ff;314;33f4;
ca;302;314;3998;
c9;303;312;3f3c;
c7;2ff;313;44e0;
c7;2ff;314;4a88;
c5;300;313;502c;
c3;300;312;55d0;
c3;2ff;312;5b74;
c2;301;311;611c;
c1;302;314;66c0;
c0;302;314;6c64;
be;302;314;7208;
bd;2ff;314;77b0;
bc;302;314;7d54;
ba;303;311;82f8;
b9;301;314;88a0;
b9;2fd;314;8e44;
b6;2fe;312;93e8;
b6;300;314;998c;
b5;303;311;9f30;
b3;300;312;a4d8;
b1;2ff;313;aa7c;
b0;2fd;312;b020;
ae;2fe;310;b5c4;
ae;2ff;314;bb6c;
ad;2fe;314;c110;
ab;301;313;c6b4;
a9;300;311;cc5c;
a9;2fe;314;d200;
a7;2fe;313;d7a4;
a5;2ff;312;dd48;
a4;2ff;314;e2ec;
a2;302;313;e894;
a2;300;314;ee38;
a0;2ff;314;f3dc;
9f;300;314;f980;
9d;2ff;313;ff28;
9c;302;316;4cc;
9b;2fc;314;a1c;
99;2ff;313;f6c;
97;2fc;314;14bc;
97;302;313;1a60;
95;302;314;200c;
94;300;314;25ac;
92;2ff;314;2b50;
90;300;312;30f4;
8f;2ff;313;369c;
8e;2ff;313;3c40;
8c;2fd;316;41e4;
8b;2fd;314;4788;
89;301;316;4d30;
88;2fd;315;52d4;
86;2ff;318;5878;
84;2ff;314;5e1c;
84;300;315;63c0;
82;2ff;317;6968;
81;2fe;318;6f0c;
7f;300;317;74b0;
7e;301;31a;7a54;
7c;300;31b;7ffc;
7b;2fe;31b;85a0;
79;2ff;31c;8b44;
77;300;31c;90e8;
76;300;31f;9690;
75;301;31d;9c34;
74;2ff;320;a1d8;
71;2fe;31e;a77c;
71;300;320;ad24;
6f;2ff;322;b2c8;
6d;300;322;b86c;
6c;303;321;be10;
6a;300;323;c3b8;
69;2fd;324;c95c;
68;2fe;324;cf00;
66;300;323;d4a4;
65;2ff;325;da4c;
64;302;326;dff0;
61;302;328;e594;
60;302;328;eb38;
5f;2ff;329;f0e0;
5d;305;32b;f684;
5c;304;32b;fc28;
5b;300;32c;1d0;
59;302;32d;71c;
57;304;32e;c6c;
57;304;32f;11bc;
56;306;330;1764;
54;308;330;1d08;
52;307;334;22ac;
52;309;335;2854;
50;30c;335;2df8;
4f;309;336;339c;
4d;30b;334;3940;
4d;30f;337;3ee4;
4b;30d;338;448c;
49;30e;337;4a30;
49;30d;339;4fd4;
47;30d;337;5578;
46;310;33a;5b20;
45;311;33c;60c4;
44;313;33c;6668;
42;314;33f;6c14;
41;313;33e;71b4;
40;314;33e;7758;
3f;316;33f;7cfc;
3e;316;340;82a0;
3c;317;342;8848;
3b;31a;340;8dec;
3a;319;340;9390;
39;319;343;9934;
38;31a;345;9edc;
37;31d;343;a480;
36;31c;344;aa24;
35;31d;346;afc8;
34;31d;343;b570;
33;31d;345;bb14;
32;31f;347;c0b8;
31;31d;349;c65c;
30;31f;348;cc08;
2f;320;349;d1a8;
2f;31d;34a;d74c;
2e;31d;34a;dcf0;
2d;322;349;e298;
2c;320;34c;e83c;
2b;320;34c;ede0;
29;31f;34b;f384;
29;320;34e;f92c;
28;31d;34c;fed0;
27;321;351;474;
27;320;34d;9c4;
26;31e;350;f14;
25;324;34f;1464;
24;321;351;1a0c;
24;31f;351;1fb0;
22;322;351;2554;
22;322;353;2af8;
23;322;353;30a0;
21;322;352;3644;
21;324;353;3be8;
20;323;354;418c;
1f;324;354;4734;
1f;325;356;4cd8;
1e;323;354;527c;
1e;324;354;5820;
1e;324;359;5dc4;
1d;326;355;636c;
1d;327;357;6910;
1b;326;357;6eb4;
1c;326;355;745c;
1b;326;356;7a00;
1b;326;359;7fa4;
1b;327;357;8548;
1b;326;355;8af0;
1a;329;358;9094;
1a;328;357;9638;
1a;32a;357;9bdc;
1a;328;35a;a184;
1a;326;35b;a728;
19;32a;359;accc;
19;329;35a;b270;
19;32a;357;b81c;
18;32e;359;bdbc;
18;32c;35b;c360;
19;329;35a;c904;
19;32b;35b;cea8;
18;32a;35b;d450;
19;329;359;d9f4;
18;329;357;df98;
19;32a;35e;e540;
19;327;359;eae4;
19;32a;359;f088;
19;329;359;f62c;
19;329;358;fbd4;
19;329;35a;178;
19;329;359;6c8;
1a;328;35c;c1c;
19;32a;359;1168;
1a;328;35a;170c;
1a;329;35c;1cb0;
1a;32a;359;2258;
1b;32b;35a;27fc;
1c;329;359;2da0;
1b;32c;359;3344;
1b;32a;35a;38e8;
1d;32a;35c;3e90;
1d;32a;35a;4434;
1d;32c;35a;49d8;
1e;32a;359;4f7c;
1d;32a;358;5524;
1e;32a;35b;5ac8;
1f;329;35a;606c;
1f;327;35a;6614;
20;32a;359;6bb8;
21;32a;35b;715c;
21;32b;35d;7700;
22;32a;360;7ca8;
22;327;357;824c;
23;32a;35a;87f0;
23;328;35b;8d94;
25;32a;359;9338;
25;32a;359;98e0;
26;32c;35b;9e84;
27;329;35b;a428;
27;32a;35b;a9cc;
29;32a;35c;af74;
29;329;35e;b518;
29;32a;35a;babc;
2a;328;357;c060;
2b;328;35a;c608;
2c;329;35b;cbac;
2d;329;35a;d150;
2e;32a;35b;d6f4;
2e;32a;35b;dc9c;
30;32b;357;e240;
30;328;35c;e7e4;
32;328;355;ed88;
32;32a;360;f330;
34;329;35c;f8d4;
35;32a;359;fe78;
36;329;35b;420;
37;32a;357;96c;
38;32b;35c;ebc;
39;328;35c;1414;
3b;32a;35d;19b4;
3b;32a;35b;1f58;
3c;329;35b;24fc;
3d;32a;35a;2aa4;
