;345;2700;
9e;34c;d0;
cb;335;32a;61b8;
cc;337;329;675c;
cd;335;329;6d04;
ce;336;328;72a8;
d0;337;324;784c;
d0;338;325;7df0;
d2;338;324;8398;
d3;33a;324;893c;
d4;337;328;8ee0;
d6;337;323;9484;
d6;335;325;9a2c;
d7;335;327;9fd0;
d7;335;324;a574;
d9;337;322;ab18;
da;335;324;b0c0;
da;336;322;b664;
da;338;323;bc10;
dc;336;322;c1ac;
dc;335;31e;c754;
de;338;31a;ccf8;
de;337;31c;d29c;
df;33a;31c;d840;
e0;337;31c;dde4;
e0;333;318;e38c;
e1;335;319;e930;
e1;336;317;eed4;
e1;335;318;f478;
e1;334;319;fa20;
e3;336;316;ffc4;
e3;336;318;568;
e3;336;315;ab8;
e3;337;313;1010;
e4;337;315;15b0;
e4;338;314;1b54;
e5;337;313;20f8;
e4;337;310;269c;
e5;338;313;2c44;
e5;336;313;31e8;
e5;338;313;378c;
e5;337;313;3d30;
e5;337;311;42d4;
e5;338;310;487c;
e6;336;30d;4e20;
e6;338;310;53c4;
e5;33a;311;596c;
e5;336;312;5f10;
e4;335;311;64b4;
e3;339;311;6a58;
e5;337;311;7000;
e3;33a;312;75a4;
e3;336;312;7b48;
e4;338;312;80ec;
e3;336;30f;8690;
e2;337;313;8c38;
e2;335;311;91dc;
e1;335;311;9780;
e1;337;314;9d28;
e0;335;312;a2cc;
df;335;311;a870;
df;336;311;ae14;
df;339;310;b3bc;
df;335;311;b960;
dc;337;312;bf04;
dc;337;313;c4a8;
db;334;312;ca50;
db;338;310;cff4;
da;337;312;d598;
da;336;311;db3c;
d8;33a;312;e0e4;
d8;336;312;e688;
d6;336;310;ec2c;
d5;337;312;f1d0;
d4;338;313;f778;
d4;338;312;fd1c;
d3;337;311;2c0;
d1;335;311;818;
d0;336;313;d60;
d0;337;311;12b0;
cf;336;313;1854;
ce;338;310;1dfc;
cc;338;310;23a0;
ca;337;311;2944;
ca;335;311;2ee8;
c7;337;310;3490;
c7;336;30f;3a34;
c6;336;312;3fd8;
c4;335;311;457c;
c2;337;312;4b24;
c2;339;310;50c8;
c1;335;311;566c;
bf;335;311;5c18;
bd;337;312;61b4;
bb;336;311;675c;
b9;336;313;6d00;
b9;336;312;72a4;
b7;337;311;784c;
b6;33b;30f;7df0;
b4;335;311;8394;
b2;337;312;8938;
b0;338;310;8edc;
b0;337;311;9484;
ae;336;312;9a28;
ac;338;312;9fcc;
ab;339;310;a570;
a8;338;311;ab18;
a7;335;311;b0bc;
a6;335;313;b660;
a4;335;310;bc0c;
a2;335;30f;c1ac;
a0;336;313;c750;
9f;336;310;ccf4;
9d;338;314;d298;
9a;335;313;d840;
99;33a;313;dde4;
97;338;313;e388;
96;333;313;e930;
93;336;314;eed4;
91;335;313;f478;
90;334;314;fa1c;
8e;336;314;ffc4;
8b;338;319;568;
8a;337;314;ab8;
89;337;314;100c;
87;335;315;15ac;
84;336;317;1b50;
83;334;316;20f8;
81;339;315;269c;
7f;335;318;2c40;
7e;336;317;31e4;
7c;337;31a;378c;
7a;336;319;3d30;
78;336;31a;42d4;
77;337;31a;4878;
74;335;31b;4e20;
73;335;31c;53c4;
71;336;31b;5968;
6f;339;31d;5f0c;
6d;335;31c;64b4;
6b;335;321;6a58;
69;334;320;6ffc;
68;336;322;75a0;
66;336;320;7b48;
64;337;323;80ec;
62;332;324;8690;
60;337;324;8c34;
5f;335;324;91dc;
5e;337;324;9780;
5a;337;328;9d24;
58;336;328;a2c8;
57;335;327;a870;
55;336;32b;ae14;
54;336;32e;b3b8;
53;335;32d;b95c;
51;337;32e;bf04;
4f;336;330;c4a8;
4d;339;333;ca4c;
4c;33b;334;cff0;
4a;334;333;d598;
49;336;333;db3c;
48;336;335;e0e0;
45;338;335;e684;
44;337;337;ec2c;
42;337;33a;f1d0;
41;336;33a;f774;
40;335;33c;fd18;
3e;336;33b;2bc;
3c;337;338;814;
3c;338;33d;d5c;
3b;335;33c;12b0;
39;333;33d;1854;
37;335;33d;1df8;
36;335;33f;239c;
35;334;341;2944;
34;333;342;2ee8;
33;337;341;348c;
31;336;342;3a30;
30;335;344;3fd8;
2e;336;343;457c;
2d;337;344;4b20;
2c;336;345;50c4;
2b;336;347;566c;
2b;335;344;5c14;
29;334;346;61b4;
29;333;344;6758;
27;335;347;6d00;
26;333;349;72a4;
26;337;348;7848;
25;335;34a;7dec;
24;335;34a;8394;
23;335;348;8938;
23;337;34c;8edc;
22;335;34a;9480;
20;336;34b;9a28;
1f;336;34f;9fcc;
1f;335;34e;a570;
1e;336;34d;ab14;
1e;336;34f;b0bc;
1e;335;350;b660;
1c;335;353;bc0c;
1b;334;350;c1a8;
1c;338;352;c750;
1c;336;351;ccf4;
1a;337;353;d298;
1b;335;356;d83c;
1a;338;354;dde4;
1a;338;354;e388;
19;336;356;e92c;
19;339;354;eed0;
19;336;357;f474;
19;337;357;fa1c;
19;335;357;ffc0;
18;337;35b;564;
18;336;358;ab4;
19;337;358;100c;
19;336;35b;15a8;
18;335;359;1b50;
19;335;35a;20f4;
18;337;357;2698;
19;337;35c;2c40;
19;335;35c;31e4;
19;337;359;3788;
19;335;35a;3d2c;
1a;336;359;42d4;
19;337;35c;4878;
1a;338;35b;4e1c;
1b;337;35e;53c0;
1b;337;35c;5968;
1b;334;35e;5f0c;
1c;335;35c;64b0;
1c;336;35d;6a54;
1d;336;35c;6ffc;
1e;335;35c;75a0;
1e;336;35a;7b44;
1f;339;35f;80e8;
1f;335;35a;868c;
20;336;35b;8c34;
21;336;35b;91d8;
22;336;35e;977c;
22;336;35b;9d24;
23;336;35c;a2c8;
25;333;35e;a86c;
26;339;35e;ae10;
26;338;35b;b3b4;
26;338;35c;b95c;
28;337;359;bf00;
29;335;35d;c4a4;
29;333;35a;ca4c;
2b;337;35a;cff0;
2b;334;35f;d594;
2d;336;35c;db38;
2e;336;35c;e0e0;
2f;337;35b;e684;
2f;335;35e;ec28;
31;336;35b;f1cc;
33;335;35c;f770;
34;339;35f;fd18;
35;337;35a;2bc;
36;336;35b;814;
38;339;35f;d5c;
39;335;35b;12ac;
3a;336;35c;1850;
3c;335;35b;1df4;
3d;336;359;239c;
3e;336;35c;2940;
40;338;360;2ee4;
40;335;35d;348c;
43;336;35b;3a30;
45;335;35e;3fd4;
45;337;35b;4578;
48;338;35c;4b20;
49;333;35c;50c4;
4a;337;35f;5668;
4c;339;35c;5c14;
4e;337;35c;61b4;
4f;336;358;6758;
50;336;35b;6cfc;
53;333;35e;72a0;
54;336;35c;7844;
56;337;35c;7dec;
58;335;35c;8390;
5a;335;35c;8934;
5b;338;360;8edc;
5d;334;35e;9480;
5e;33a;35b;9a24;
61;338;35a;9fc8;
63;336;35c;a56c;
64;337;359;ab14;
66;337;35c;b0b8;
68;335;35d;b65c;
6a;336;35a;bc08;
6c;338;35b;c1a8;
6d;336;35a;c74c;
6f;336;35a;ccf0;
71;338;35d;d298;
73;335;359;d83c;
74;337;358;dde0;
77;336;357;e384;
78;336;355;e92c;
7a;339;355;eed0;
7d;338;358;f474;
7e;337;353;fa18;
80;338;351;ffbc;
81;336;352;564;
83;337;351;ab4;
85;338;351;1008;
87;336;34f;15a8;
89;338;34f;1b4c;
8b;335;34b;20f4;
8c;336;34e;2698;
8e;337;34d;2c3c;
90;335;34e;31e0;
92;33a;34b;3788;
94;337;34b;3d2c;
95;333;34b;42d0;
97;335;345;4874;
99;337;348;4e18;
9b;336;346;53c0;
9d;33a;349;5964;
9e;33a;341;5f08;
a1;335;346;64b0;
a3;335;343;6a54;
a3;338;343;6ff8;
a5;337;342;759c;
a7;336;340;7b44;
a9;336;340;80e8;
aa;337;33f;868c;
ac;335;33f;8c30;
ae;336;33d;91d8;
af;335;33c;977c;
b1;336;33a;9d20;
b3;335;339;a2c4;
b4;338;337;a86c;
b6;336;339;ae10;
b7;33b;336;b3b4;
b9;335;336;b958;
ba;337;337;bf00;
bc;337;333;c4a4;
bc;338;333;ca48;
c0;338;330;cfec;
c1;336;332;d594;
c2;337;332;db38;
c4;337;32d;e0dc;
c4;336;32e;e680;
c6;338;330;ec28;
c7;338;32d;f1cc;
c8;337;32b;f770;
cb;336;32d;fd14;
cc;338;32b;2bc;
cc;339;32a;810;
cd;337;32a;d5c;
ce;33a;32a;12ac;
d0;335;327;1850;
d1;336;32a;1df4;
d2;337;32a;2398;
d3;338;327;2940;
d4;338;327;2ee4;
d5;338;327;3488;
d7;337;328;3a2c;
d8;336;324;3fd4;
d7;337;323;4578;
d8;337;325;4b1c;
da;336;324;50c0;
db;337;321;5668;
dc;337;323;5c10;
dc;336;320;61b0;
dd;337;31d;6754;
dd;335;31e;6cfc;
df;336;31c;72a0;
df;338;317;7844;
e0;338;31a;7de8;
e0;337;317;8390;
e1;337;315;8934;
e2;338;318;8ed8;
e2;339;317;947c;
e2;337;315;9a24;
e3;33a;316;9fc8;
e4;336;316;a56c;
e4;337;317;ab10;
e3;338;315;b0b8;
e4;333;314;b65c;
e4;336;316;bc08;
e5;336;312;c1a4;
e4;336;313;c748;
e4;337;311;ccf0;
e5;33a;310;d294;
e4;337;311;d838;
e5;337;311;dde0;
e5;338;311;e384;
e5;335;310;e928;
e4;337;310;eecc;
e5;337;312;f474;
e6;336;312;fa18;
e6;336;310;ffbc;
e4;335;313;560;
e4;337;311;ab0;
e5;338;310;1008;
e4;337;310;15a8;
e4;334;311;1b4c;
e4;336;311;20f0;
e4;335;30d;2694;
e3;336;310;2c3c;
e3;33a;310;31e0;
e2;336;310;3784;
e1;338;311;3d28;
e1;336;310;42cc;
df;337;30d;4874;
e0;337;30f;4e18;
df;337;311;53bc;
dd;337;310;5964;
dd;338;30e;5f08;
dc;336;310;64ac;
dd;337;311;6a50;
db;338;311;6ff8;
d9;335;30f;759c;
d9;336;311;7b40;
d8;337;30f;80e4;
d7;338;30f;868c;
d7;339;30f;8c30;
d6;337;311;91d4;
d4;336;310;9778;
d4;335;30d;9d20;
d3;338;312;a2c4;
d2;337;310;a868;
d1;337;310;ae0c;
d0;335;30e;b3b0;
ce;337;310;b958;
ce;337;30c;befc;
cc;336;310;c4a0;
cc;337;30f;ca48;
c9;336;30f;cfec;
c7;336;312;d590;
c7;335;30f;db34;
c5;336;30f;e0d8;
c4;338;313;e680;
c2;333;30f;ec24;
c0;334;30f;f1c8;
bf;337;310;f76c;
be;336;311;fd14;
bd;337;311;2b8;
bb;33b;30e;810;
b9;334;313;d58;
b8;337;310;12a8;
b6;339;311;184c;
b5;335;30d;1df4;
b5;335;30d;2398;
b2;335;30f;293c;
b1;336;310;2ee0;
af;337;310;3484;
ad;335;311;3a2c;
ac;336;30d;3fd0;
aa;336;30b;4574;
a8;338;30d;4b1c;
a7;334;30e;50c0;
a5;33a;310;5664;
a4;335;313;5c10;
a3;335;310;61ac;
a0;333;30f;6754;
9f;338;313;6cf8;
9d;335;312;729c;
9b;336;311;7844;
99;336;312;7de8;
97;337;314;838c;
95;335;310;8930;
93;33a;312;8ed8;
92;335;310;947c;
90;336;311;9a20;
8e;335;313;9fc4;
8d;336;311;a568;
8a;335;310;ab10;
89;336;310;b0b4;
87;335;312;b658;
84;336;311;bc00;
83;334;311;c1a4;
82;335;313;c748;
7f;335;317;ccec;
7d;335;318;d290;
7b;335;316;d838;
7a;337;317;dddc;
78;337;315;e380;
76;335;319;e924;
74;336;31b;eecc;
71;335;317;f470;
71;335;31b;fa14;
6f;337;31c;ffbc;
6d;338;31b;560;
6c;339;31d;ab0;
6a;333;31e;1004;
67;33a;321;15a4;
66;337;31f;1b48;
64;336;324;20f0;
62;337;321;2694;
60;335;326;2c38;
5f;335;325;31dc;
5d;336;323;3780;
5b;337;328;3d28;
5a;338;328;42cc;
57;339;32c;4870;
56;336;32b;4e14;
53;333;32b;53bc;
53;339;32f;5960;
51;335;32f;5f04;
4f;333;330;64ac;
4e;337;32f;6a50;
4c;336;333;6ff4;
4a;333;336;7598;
49;335;331;7b40;
47;332;335;80e4;
46;334;337;8688;
44;336;335;8c2c;
42;335;339;91d4;
41;334;338;9778;
40;334;339;9d1c;
3e;337;33a;a2c0;
3e;336;33c;a868;
3b;336;33e;ae0c;
39;339;33f;b3b0;
39;337;342;b954;
37;338;341;befc;
35;336;341;c4a0;
35;337;340;ca44;
34;334;342;cfe8;
32;336;343;d590;
31;333;341;db34;
30;336;341;e0d8;
2f;339;343;e67c;
2e;333;343;ec20;
2c;334;345;f1c8;
2b;335;348;f76c;
2b;335;348;fd10;
2a;334;346;2b8;
28;338;346;80c;
27;334;348;d54;
27;336;349;12a4;
25;334;34b;184c;
26;337;34b;1df0;
24;337;34a;2394;
23;335;34c;293c;
22;338;34e;2ee0;
21;336;34b;3484;
21;337;34d;3a28;
20;337;34c;3fd0;
1f;334;34c;4574;
1e;335;34f;4b18;
1f;335;34e;50bc;
1d;336;34d;5664;
1d;336;34f;5c0c;
1c;336;350;61ac;
1c;337;34f;6750;
1b;338;353;6cf8;
1b;337;350;729c;
1b;335;352;7840;
1a;336;352;7de4;
1a;335;351;838c;
19;337;356;8930;
1a;338;358;8ed4;
1a;335;35b;9478;
19;339;355;9a20;
19;335;359;9fc4;
19;336;35a;a568;
19;337;359;ab0c;
19;337;35a;b0b0;
19;335;35a;b658;
19;338;357;bbfc;
19;335;35a;c1a0;
18;338;35b;c748;
19;336;35b;ccec;
19;338;35b;d290;
1a;335;35e;d834;
19;336;35b;dddc;
19;335;35c;e380;
1a;335;35c;e924;
1b;339;35c;eec8;
1b;338;35c;f470;
1c;337;35d;fa14;
1b;337;35a;ffb8;
1d;335;357;55c;
1c;336;35d;aac;
1d;33a;35d;ffc;
1e;336;35b;154c;
1e;339;35b;1af0;
1f;337;35c;2098;
1f;338;361;263c;
20;339;35e;2be0;
21;337;35b;3184;
21;334;35d;372c;
22;335;35f;3cd0;
23;335;35b;4274;
23;334;35c;4820;
25;337;35d;4dc0;
25;336;35c;5364;
27;336;35b;5908;
28;335;35c;5eb0;
27;334;35d;6454;
29;335;35b;69f8;
2b;335;35f;6f9c;
2b;334;35f;7544;
2c;336;35d;7ae8;
2e;335;35b;808c;
2f;337;35b;8630;
30;336;35c;8bd4;
32;336;35c;917c;
33;337;35d;9720;
34;335;35c;9cc4;
35;335;35b;a268;
36;336;35c;a814;
37;336;35e;adb4;
39;333;35e;b358;
3a;337;35d;b900;
3c;335;35e;bea4;
3d;335;35b;c448;
3e;336;35c;c9ec;
40;335;35a;cf94;
42;335;35b;d538;
43;337;35b;dadc;
45;334;35c;e080;
46;338;35b;e628;
47;336;35b;ebcc;
49;338;35a;f170;
4b;335;35d;f714;
4b;335;35e;fcbc;
4c;338;35c;260;
4e;336;35a;7b0;
51;337;35d;d00;
53;336;35e;1250;
54;336;35c;17f4;
56;336;35d;1d98;
57;336;35d;233c;
59;336;35b;28e4;
5b;336;35d;2e88;
5d;338;35e;342c;
5f;336;35b;39d4;
60;337;35c;3f78;
63;336;35c;451c;
64;337;360;4ac0;
66;338;358;5068;
68;338;35c;560c;
6a;332;35c;5bb0;
6c;338;359;6154;
6e;336;35a;66fc;
6f;334;357;6ca0;
71;336;359;7244;
73;337;356;77e8;
75;336;357;7d90;
76;337;355;8334;
77;337;352;88d8;
7a;336;358;8e7c;
7b;337;356;9424;
7e;337;353;99c8;
80;338;353;9f6c;
81;337;352;a510;
83;338;354;aab8;
85;338;355;b05c;
86;337;350;b600;
88;334;351;bba4;
89;333;34e;c148;
8c;337;34f;c6f0;
8e;338;34e;cc94;
90;335;34d;d238;
92;337;349;d7dc;
93;338;34b;dd84;
95;336;34a;e328;
98;337;348;e8cc;
99;336;348;ee70;
9b;337;346;f41c;
9c;337;345;f9bc;
9f;337;345;ff60;
a0;336;346;508;
a2;336;344;a54;
a4;339;344;fa4;
a5;336;345;14f8;
a6;337;343;1a9c;
a8;336;340;2040;
ab;336;340;25e4;
ab;338;33e;2b8c;
ad;336;33b;3130;
b0;337;33a;36d4;
b1;337;33c;3c78;
b2;334;33c;4220;
b4;335;33a;47c4;
b6;338;33b;4d68;
b7;336;337;530c;
b8;338;335;58b0;
ba;337;335;5e58;
bb;335;335;63fc;
bd;335;334;69a0;
bf;336;335;6f48;
c0;337;331;74ec;
c1;336;330;7a90;
c3;336;332;8034;
c4;338;32f;85dc;
c5;337;32e;8b80;
c7;336;329;9124;
c8;337;32c;96c8;
ca;337;32a;9c70;
c9;336;32a;a214;
cb;337;32d;a7b8;
cd;338;329;ad5c;
cd;336;328;b304;
cf;336;32a;b8a8;
d1;335;328;be4c;
d1;335;328;c3f0;
d2;336;326;c998;
d5;339;326;cf3c;
d4;337;327;d4e0;
d5;338;327;da84;
d7;337;324;e028;
d7;336;323;e5d0;
d9;335;321;eb74;
d9;337;323;f118;
db;33a;321;f6c0;
dc;335;31f;fc64;
dc;337;323;208;
dd;338;31f;758;
dd;337;31d;ca8;
de;336;31d;11f8;
de;337;31b;179c;
df;338;31a;1d40;
df;335;31c;22e8;
e1;335;318;288c;
e0;337;31b;2e30;
e1;335;317;33d4;
e1;336;315;397c;
e3;338;316;3f20;
e2;336;316;44c4;
e2;338;312;4a6c;
e3;335;315;5014;
e3;336;314;55b4;
e5;338;314;5b58;
e5;336;311;6100;
e5;337;314;66a4;
e5;335;310;6c48;
e4;337;311;71ec;
e4;337;30f;7794;
e4;338;311;7d38;
e5;337;312;82dc;
e5;337;311;8880;
e5;338;312;8e28;
e4;337;311;93cc;
e4;335;310;9970;
e6;337;310;9f14;
e5;335;311;a4bc;
e4;337;314;aa60;
e5;335;311;b00c;
e4;338;313;b5a8;
e4;337;310;bb50;
e4;338;30e;c0f4;
e2;338;311;c698;
e1;336;30f;cc3c;
e1;336;310;d1e0;
e1;335;313;d788;
e2;335;30f;dd2c;
e1;338;311;e2d0;
df;336;311;e878;
df;339;311;ee1c;
de;337;30f;f3c0;
de;338;30f;f964;
de;335;310;ff08;
dd;336;311;4b0;
dc;336;310;a00;
dc;338;310;f50;
da;336;310;14a0;
d9;336;30f;1a44;
da;336;313;1fe8;
d7;337;30e;2590;
d7;336;311;2b34;
d6;335;311;30d8;
d6;336;30e;367c;
d3;336;30f;3c24;
d3;335;311;41c8;
d1;339;30d;476c;
cf;336;313;4d10;
cf;336;310;52b8;
cf;337;310;585c;
ce;339;313;5e00;
cc;336;312;63a4;
cb;336;30e;6948;
ca;336;311;6ef0;
c9;336;30d;7494;
c8;336;310;7a38;
c5;336;30f;7fe0;
c4;333;313;8584;
c3;336;310;8b28;
c3;336;310;90cc;
c1;336;30e;9674;
be;338;30f;9c1c;
be;338;313;a1bc;
bd;335;30f;a760;
bb;337;310;ad08;
b8;337;30f;b2ac;
b7;335;312;b850;
b6;337;311;bdf4;
b4;336;30f;c39c;
b3;336;310;c940;
b1;338;30f;cee4;
b0;338;311;d488;
ae;333;310;da30;
ac;336;30d;dfd4;
ab;337;310;e578;
a9;338;310;eb1c;
a6;335;310;f0c4;
a5;336;310;f668;
a3;336;30f;fc14;
a2;336;311;1b0;
a1;335;310;700;
9e;336;30f;c50;
9d;338;30f;11a0;
9c;336;311;1748;
9a;335;310;1cec;
98;336;30f;2290;
96;337;312;2834;
95;338;310;2ddc;
93;337;310;3380;
90;336;311;3924;
8f;337;312;3ec8;
8d;335;312;446c;
8a;338;313;4a14;
89;335;312;4fb8;
87;337;311;555c;
85;333;314;5b00;
84;334;314;60a8;
82;336;313;664c;
80;336;313;6bf0;
7e;335;315;7198;
7c;335;315;773c;
7a;335;316;7ce0;
79;335;318;8284;
76;335;318;882c;
74;338;31b;8dd0;
73;334;31a;9374;
71;337;31b;9918;
6f;338;31b;9ec0;
6d;337;31d;a464;
6c;336;31c;aa08;
6a;335;31d;afac;
68;336;31f;b554;
66;335;321;baf8;
65;336;323;c09c;
62;335;324;c640;
61;337;324;cbe8;
5f;337;326;d18c;
5e;335;326;d730;
5c;336;328;dcd4;
5a;337;32a;e27c;
59;334;32d;e820;
56;336;32b;edc4;
55;336;32e;f368;
53;337;32d;f910;
51;336;32d;feb4;
50;33a;330;458;
4e;335;32f;9a8;
4c;339;332;ef8;
4b;336;332;1448;
4a;336;334;19ec;
47;336;332;1f90;
46;338;335;2538;
45;335;338;2adc;
43;339;338;3080;
41;338;338;3628;
40;336;337;3bcc;
3f;335;338;4170;
3c;334;33f;4714;
3c;336;33c;4cbc;
3b;337;33d;5260;
3a;335;33e;580c;
38;335;340;5da8;
37;338;33f;6350;
35;333;342;68f4;
34;335;342;6e98;
33;33a;341;743c;
31;334;342;79e4;
31;336;344;7f88;
30;336;343;852c;
2e;336;345;8ad0;
2d;335;343;9078;
2b;335;343;961c;
2a;335;34a;9bc0;
2a;333;346;a164;
28;336;347;a70c;
27;338;348;acb0;
27;337;34a;b254;
26;337;347;b7f8;
25;334;347;bda0;
25;333;34b;c344;
23;335;34a;c8e8;
22;336;34a;ce8c;
22;336;34c;d434;
21;338;34f;d9d8;
20;335;34d;df7c;
20;332;34e;e520;
20;337;351;eac8;
1e;333;351;f06c;
1e;333;34e;f610;
1d;336;350;fbb4;
1c;335;350;15c;
1c;338;352;6ac;
1c;339;351;bfc;
1b;335;353;114c;
1b;335;352;16f0;
1b;33a;352;1c94;
1a;335;355;2238;
1a;335;355;27e0;
19;337;355;2d84;
19;336;355;3328;
19;336;357;38cc;
19;336;356;3e74;
18;335;358;441c;
19;336;358;49bc;
1a;339;359;4f60;
19;335;357;5508;
18;338;359;5aac;
19;336;35a;6050;
19;337;359;65f4;
19;337;359;6b9c;
19;337;35c;7140;
19;335;35d;76e4;
1a;335;35c;7c88;
19;334;35b;8230;
1a;334;35e;87d4;
1a;335;35b;8d78;
1a;336;35b;931c;
1b;335;35b;98c4;
1c;337;35e;9e68;
1c;338;35e;a414;
1d;33a;35b;a9b0;
1d;337;35c;af54;
1d;334;35f;b4fc;
1f;338;35d;baa0;
1f;336;35a;c044;
1f;339;35b;c5ec;
20;335;35b;cb90;
21;337;35e;d134;
21;338;35c;d6d8;
22;336;35c;dc7c;
23;337;35a;e224;
24;338;35b;e7c8;
25;337;35b;ed6c;
25;333;35d;f310;
26;335;35d;f8b8;
27;338;35e;fe5c;
28;335;35b;408;
29;335;35d;950;
2b;339;35c;ea0;
2b;335;35c;13f0;
2d;337;35f;1998;
2d;338;35e;1f3c;
2e;337;360;24e0;
30;337;35c;2a84;
31;335;35d;3028;
32;337;35c;35d0;
33;33a;35b;3b74;
33;338;360;4118;
36;335;35c;46c0;
37;339;35f;4c64;
39;336;35d;5208;
3a;335;35c;57ac;
3a;334;361;5d50;
3c;339;35b;62f8;
3e;336;35b;689c;
40;337;35d;6e40;
41;337;35c;73e8;
42;336;35c;798c;
44;337;35d;7f30;
45;337;360;84d4;
47;336;35c;8a78;
49;337;35b;9020;
4a;335;35d;95c4;
4c;335;35b;9b68;
4d;339;35d;a110;
4f;335;35c;a6b4;
51;334;35d;ac58;
52;337;35d;b1fc;
54;338;35e;b7a4;
56;335;35b;bd48;
58;337;35c;c2ec;
59;338;35b;c890;
5b;337;35d;ce38;
5c;335;35b;d3dc;
5d;338;35b;d980;
61;336;35c;df24;
61;336;35c;e4c8;
63;335;359;ea70;
66;336;358;f01c;
67;337;35f;f5b8;
69;335;35f;fb60;
6b;338;35c;104;
6d;337;35c;654;
6e;335;358;ba4;
70;336;358;10f4;
72;337;358;1698;
73;338;357;1c3c;
76;339;356;21e4;
77;337;355;2788;
79;338;355;2d2c;
7b;337;356;32d0;
7d;338;352;3878;
7f;338;354;3e1c;
80;336;352;43c0;
82;335;353;4964;
84;338;352;4f0c;
86;336;350;54b0;
88;336;350;5a54;
89;336;34e;5ff8;
8c;337;34e;65a0;
8e;338;34d;6b44;
8f;338;349;70e8;
92;339;34a;768c;
93;335;34a;7c34;
95;336;34c;81d8;
96;337;348;877c;
98;337;347;8d20;
9a;336;349;92c8;
9c;337;345;986c;
9e;338;347;9e10;
9f;338;343;a3b4;
a1;337;341;a95c;
a3;337;342;af00;
a4;336;343;b4a4;
a6;336;341;ba48;
a9;335;33e;bfec;
a9;336;33f;c594;
ab;337;33e;cb38;
ad;337;33c;d0dc;
ae;335;33c;d684;
b1;336;33c;dc28;
b2;337;339;e1cc;
b3;337;33a;e770;
b5;336;339;ed18;
b7;337;335;f2bc;
b8;337;339;f860;
b9;337;336;fe04;
bb;338;338;3ac;
bc;336;334;8fc;
be;338;331;e4c;
bf;338;330;139c;
c1;337;331;1940;
c3;337;331;1ee4;
c4;338;331;2488;
c5;338;330;2a30;
c7;337;32f;2fd4;
c8;337;32b;3578;
c9;337;32e;3b1c;
c9;335;32a;40c4;
cb;337;32a;4668;
cd;335;32a;4c14;
cd;332;327;51b0;
cf;335;327;5758;
d0;337;328;5cfc;
d2;336;326;62a0;
d2;336;327;6844;
d3;337;328;6dec;
d4;337;327;7390;
d6;336;325;7934;
d7;338;324;7ed8;
d7;337;326;847c;
d8;336;322;8a24;
da;335;324;8fc8;
da;337;324;956c;
da;336;322;9b14;
db;336;322;a0b8;
db;334;31f;a65c;
dd;337;31f;ac08;
dd;335;31d;b1a8;
de;337;31d;b74c;
e0;338;31c;bcf0;
e0;335;31d;c294;
e0;337;31b;c83c;
e1;337;31a;cde0;
e1;338;319;d384;
e2;338;319;d928;
e3;337;317;ded0;
e4;338;317;e474;
e3;337;317;ea18;
e4;336;311;efbc;
e5;337;316;f564;
e4;335;316;fb08;
e5;338;30f;ac;
e4;338;313;5a8;
e4;336;312;af8;
e5;335;313;1048;
e5;336;311;15ec;
e6;33a;311;1b90;
e6;338;312;2134;
e5;336;311;26dc;
e5;337;311;2c80;
e5;337;311;3224;
e5;335;310;37cc;
e5;336;30f;3d70;
e4;335;30e;4314;
e4;335;311;48b8;
e5;337;311;4e5c;
e4;338;311;5408;
e4;335;312;59a8;
e4;335;30f;5f4c;
e4;338;30e;64f0;
e4;337;310;6a98;
e3;338;30e;703c;
e1;336;310;75e0;
e0;336;310;7b88;
e1;33a;310;812c;
e0;337;313;86d0;
e0;335;310;8c74;
df;337;311;921c;
dd;336;311;97c0;
de;337;30e;9d64;
dd;336;30e;a308;
dc;337;311;a8b0;
dc;338;310;ae54;
d9;336;30d;b3f8;
da;337;310;b99c;
d9;338;310;bf44;
d9;337;310;c4e8;
d6;335;313;ca8c;
d7;337;30e;d030;
d5;335;310;d5d4;
d4;338;310;db7c;
d3;336;311;e120;
d2;337;30f;e6c4;
d1;338;311;ec6c;
d0;337;314;f210;
d0;337;30d;f7b4;
cd;337;312;fd58;
cd;335;310;300;
cb;338;30f;84c;
ca;339;30f;da0;
c9;336;310;12ec;
c7;337;30f;1894;
c6;338;310;1e38;
c5;336;30e;23dc;
c4;335;30e;2984;
c2;338;311;2f28;
c1;335;30f;34cc;
bf;337;310;3a70;
bf;335;30f;401c;
bd;336;310;45bc;
bb;335;30d;4b60;
b9;336;312;5104;
b8;336;30d;56a8;
b7;337;30f;5c50;
b5;336;310;61f4;
b3;335;310;6798;
b1;336;311;6d40;
af;335;30e;72e4;
ae;336;310;7888;
ad;339;30e;7e2c;
ab;338;30f;83d0;
aa;334;30f;8978;
a8;338;30e;8f1c;
a6;338;30f;94c0;
a5;335;30f;9a68;
a3;336;310;a010;
a1;337;310;a5b0;
9f;335;30e;ab54;
9e;337;312;b0f8;
9b;335;30f;b6a0;
9a;334;312;bc44;
98;336;312;c1e8;
96;335;312;c790;
94;337;312;cd34;
93;337;311;d2d8;
91;338;315;d87c;
8f;335;30d;de24;
8d;337;310;e3c8;
8b;334;312;e96c;
8a;335;311;ef10;
87;337;311;f4b8;
85;337;311;fa5c;
84;334;311;8;
83;337;310;4a4;
81;333;313;9f8;
7f;338;315;f44;
7d;336;312;1498;
7b;336;315;1a3c;
79;335;317;1fe0;
77;337;316;2584;
76;332;318;2b2c;
