;345;2700;
9e;34c;d0;
39;338;35d;8b90;
3b;335;35f;9134;
3c;334;35c;96d8;
3e;335;35b;9c80;
3f;335;35e;a224;
41;335;35d;a7c8;
42;336;35f;ad6c;
44;332;35c;b314;
45;333;35d;b8b8;
46;334;35c;be5c;
49;335;35e;c408;
4a;335;35e;c9a8;
4a;338;35b;cf4c;
4d;336;35b;d4f0;
4f;334;35e;da94;
4f;335;35e;e038;
51;334;35f;e5e0;
54;335;35e;eb84;
55;336;35e;f128;
57;335;35c;f6d0;
59;335;35e;fc74;
5a;333;35b;218;
5c;335;35d;768;
5d;336;35b;cb8;
60;335;35c;1208;
60;333;35b;17ac;
63;333;35b;1d54;
65;337;35b;22f8;
67;335;35b;289c;
68;334;35c;2e40;
6a;335;35a;33e8;
6c;333;35a;398c;
6d;333;359;3f30;
70;336;358;44d4;
71;335;356;4a7c;
73;333;356;5020;
75;335;355;55c4;
77;338;353;5b68;
79;333;355;6110;
7b;336;353;66b4;
7d;334;353;6c58;
7e;333;353;71fc;
80;334;353;77a0;
81;336;351;7d48;
84;335;352;82ec;
86;336;34f;8890;
87;336;351;8e38;
8a;332;352;93dc;
8c;337;351;9980;
8d;336;350;9f24;
8f;336;34d;a4cc;
91;336;34a;aa70;
93;333;34a;b01c;
95;335;34e;b5b8;
97;336;347;bb60;
98;337;34a;c104;
9a;334;349;c6a8;
9c;339;345;cc4c;
9e;338;348;d1f4;
a0;335;345;d798;
a1;336;343;dd3c;
a2;335;341;e2e0;
a5;335;347;e888;
a6;336;342;ee2c;
a8;339;340;f3d0;
aa;332;341;f974;
ab;335;33f;ff18;
ad;337;33f;4c0;
ae;335;33e;a10;
b1;335;33c;f60;
b2;338;33d;14b0;
b4;333;33a;1a54;
b4;336;339;1ff8;
b7;336;339;25a0;
b8;333;336;2b44;
ba;335;337;30e8;
bb;336;334;368c;
bd;335;331;3c30;
be;337;331;41d8;
bf;334;333;477c;
c1;335;332;4d20;
c2;336;32f;52c8;
c4;334;32f;586c;
c6;334;32e;5e10;
c6;335;329;63b4;
c8;337;32e;695c;
c9;335;328;6f00;
cb;335;327;74a4;
cb;337;328;7a48;
cd;335;328;7fec;
ce;337;328;8594;
cf;335;323;8b38;
d1;336;324;90dc;
d0;335;324;9684;
d3;338;326;9c28;
d3;334;323;a1cc;
d5;336;31f;a770;
d6;337;31f;ad18;
d7;336;31d;b2bc;
d7;337;322;b860;
d8;338;31f;be04;
d9;337;31d;c3a8;
da;337;31c;c950;
db;336;31f;cef4;
dc;334;31c;d498;
dd;335;31c;da40;
dd;336;31d;dfe4;
de;337;31b;e588;
df;336;319;eb2c;
e0;335;31c;f0d4;
e0;336;31b;f678;
e0;336;319;fc20;
e1;334;319;1c0;
e2;337;317;710;
e3;336;316;c60;
e3;335;31a;11b0;
e3;335;318;1758;
e3;337;315;1cfc;
e3;336;318;22a0;
e4;332;316;2844;
e3;335;313;2dec;
e4;338;316;3390;
e5;336;315;3934;
e5;336;317;3ed8;
e5;336;318;447c;
e5;334;317;4a24;
e6;335;318;4fc8;
e5;336;317;556c;
e6;336;318;5b14;
e6;337;317;60b8;
e6;337;314;665c;
e6;338;315;6c08;
e6;337;315;71a8;
e5;337;316;774c;
e4;335;316;7cf0;
e5;334;313;8294;
e4;335;315;8838;
e5;336;318;8de0;
e4;336;314;9384;
e4;337;317;9928;
e3;336;316;9ed0;
e3;336;314;a474;
e2;334;318;aa18;
e1;338;316;afbc;
e1;336;316;b564;
e1;337;317;bb08;
e0;332;316;c0ac;
e0;339;315;c650;
df;335;314;cbf8;
de;336;317;d19c;
dd;335;314;d740;
dd;336;315;dce4;
dc;336;316;e288;
db;337;316;e830;
d9;334;317;edd4;
da;336;312;f378;
d8;338;312;f91c;
d8;335;314;fec4;
d7;337;316;468;
d6;335;315;9b8;
d5;337;315;f08;
d4;335;313;1458;
d2;337;315;19fc;
d2;335;315;1fa0;
d0;335;316;2548;
d0;337;312;2aec;
ce;334;313;3090;
cc;336;316;3638;
cc;335;313;3bdc;
cb;337;317;4180;
c9;335;316;4724;
c8;337;314;4ccc;
c6;336;316;5270;
c6;337;315;581c;
c4;338;317;5db8;
c3;336;317;6360;
c2;336;316;6904;
c1;337;316;6ea8;
be;335;316;744c;
bd;334;315;79f4;
bc;337;314;7f98;
ba;335;317;853c;
b9;335;314;8ae0;
b8;337;315;9088;
b5;336;316;962c;
b4;335;316;9bd0;
b2;335;315;a174;
b1;335;315;a718;
af;334;316;acc0;
ad;336;314;b264;
ac;334;314;b810;
aa;335;315;bdb0;
a8;336;315;c354;
a6;336;314;c8f8;
a4;334;314;ce9c;
a3;338;315;d444;
a1;337;317;d9e8;
a0;334;316;df8c;
9e;337;317;e530;
9c;334;316;ead4;
9a;338;317;f07c;
99;336;315;f620;
97;336;316;fbc4;
94;334;314;168;
93;331;316;6b8;
91;335;316;c10;
8f;336;315;115c;
8e;336;317;1700;
8c;335;315;1ca4;
8a;335;315;2248;
88;336;315;27f0;
86;336;316;2d94;
84;333;316;3338;
83;335;317;38dc;
80;334;318;3e80;
7f;336;318;4428;
7c;339;318;49cc;
7c;335;31a;4f70;
7a;335;31a;5514;
77;334;317;5abc;
75;335;31a;6060;
74;333;317;6604;
72;336;31c;6bac;
70;337;31d;7150;
6f;335;31f;76f4;
6c;337;31f;7c98;
6a;335;320;823c;
69;335;321;87e4;
67;337;31e;8d88;
65;336;325;932c;
64;336;321;98d4;
62;336;324;9e78;
5f;337;328;a420;
5f;333;325;a9c0;
5c;335;327;af64;
5b;339;327;b50c;
59;333;32c;bab0;
57;336;329;c054;
56;334;32b;c5fc;
54;334;32c;cba0;
52;336;32d;d144;
50;336;32e;d6e8;
4f;335;32f;dc90;
4d;339;333;e234;
4b;336;332;e7d8;
4a;335;334;ed7c;
48;336;336;f320;
47;335;336;f8c8;
45;334;339;fe6c;
43;336;339;418;
42;333;33a;960;
41;334;33a;eb0;
3f;339;33d;1408;
3e;335;33e;19a8;
3c;333;33d;1f4c;
3a;335;33d;24f0;
3a;335;33f;2a94;
39;333;33b;303c;
37;335;340;35e0;
36;336;343;3b84;
35;333;342;4128;
33;336;343;46d0;
32;334;345;4c74;
30;333;344;5218;
30;337;345;57bc;
2e;332;345;5d60;
2d;335;345;6308;
2c;335;345;68ac;
2b;334;347;6e50;
29;335;34a;73f8;
29;334;349;799c;
28;336;34c;7f40;
28;334;34a;84e4;
26;336;34a;8a8c;
25;334;34b;9030;
25;337;34b;95d4;
24;333;34b;9b78;
23;334;34e;a120;
22;332;34f;a6c4;
21;333;34e;ac68;
1f;333;34d;b20c;
20;334;350;b7b0;
1e;335;351;bd58;
1f;338;353;c2fc;
1e;333;350;c8a0;
1d;335;353;ce48;
1d;332;353;d3ec;
1d;333;355;d990;
1b;333;358;df34;
1b;334;353;e4dc;
1b;333;356;ea80;
1a;336;354;f024;
1a;335;357;f5c8;
1a;335;358;fb6c;
1a;335;359;114;
1a;334;358;664;
19;333;35b;bb4;
19;334;359;1104;
18;334;359;16a8;
19;335;35a;1c4c;
18;334;35a;21f4;
18;332;35b;2798;
19;333;359;2d3c;
19;336;35c;32e0;
18;334;35b;3888;
19;334;35c;3e2c;
19;336;35a;43d0;
1a;335;35b;4974;
18;338;35a;4f1c;
19;333;35c;54c0;
1a;334;35e;5a64;
1a;336;35b;6010;
1a;334;35c;65ac;
1b;332;35f;6b54;
1b;333;357;70f8;
1c;334;35b;769c;
1c;334;35b;7c40;
1e;335;35f;81e8;
1d;335;35b;878c;
1d;336;35a;8d30;
1f;334;35d;92d8;
1f;335;35b;987c;
1f;334;35c;9e20;
20;331;35e;a3c4;
20;334;35b;a968;
21;335;35e;af10;
22;336;35c;b4b4;
22;339;35c;ba58;
24;331;35d;c000;
25;332;35d;c5a4;
27;333;35c;cb48;
27;335;35a;d0ec;
28;334;35d;d694;
28;336;359;dc38;
2a;335;35e;e1dc;
2b;336;35d;e780;
2c;335;35d;ed28;
2d;336;35e;f2cc;
2f;335;35e;f870;
2f;335;35b;fe14;
30;335;35e;3b8;
31;336;362;90c;
33;336;35d;e5c;
34;330;35e;13ac;
35;335;35e;1950;
36;335;35b;1ef4;
38;336;35b;2498;
39;334;35c;2a40;
39;336;35d;2fe4;
3c;336;35d;3588;
3d;334;35d;3b2c;
3e;334;35f;40d4;
40;336;35d;4678;
42;334;35c;4c20;
43;336;35b;51c0;
44;333;35f;5768;
46;335;35b;5d0c;
47;333;35b;62b0;
49;334;360;6854;
4a;332;35c;6df8;
4d;336;35a;73a0;
4e;335;35b;7944;
50;335;35d;7ee8;
51;336;35d;8490;
53;337;35c;8a34;
54;334;35e;8fd8;
56;337;35d;957c;
58;335;35c;9b24;
5a;334;35c;a0c8;
5b;333;35b;a66c;
5d;333;35d;ac18;
5f;334;35c;b1b8;
60;335;357;b75c;
62;335;359;bd00;
65;333;35e;c2a4;
66;336;35a;c84c;
68;334;359;cdf0;
6a;335;35b;d394;
6c;335;359;d938;
6d;336;35c;dee0;
70;336;357;e484;
72;333;357;ea28;
73;334;357;efcc;
75;334;354;f574;
76;336;356;fb18;
78;335;357;bc;
7a;336;356;5b8;
7c;334;353;b08;
7e;333;352;1058;
7f;335;351;15fc;
80;338;352;1ba0;
83;335;351;2144;
85;336;352;26ec;
86;336;352;2c90;
89;333;34d;3234;
8b;336;350;37dc;
8c;334;354;3d80;
8e;338;34d;4324;
90;338;34d;48c8;
92;336;34d;4e70;
94;334;34e;5418;
95;336;34b;59b8;
97;335;349;5f5c;
9a;336;34b;6504;
9b;336;347;6aa8;
9c;336;347;704c;
9f;334;346;75f0;
a0;335;344;7b98;
a2;335;345;813c;
a3;333;345;86e0;
a6;334;33e;8c84;
a7;336;341;9228;
a8;334;342;97d0;
aa;333;33b;9d74;
ac;334;33d;a318;
ad;337;33f;a8c0;
af;336;33b;ae64;
b2;334;33a;b410;
b3;335;33a;b9ac;
b4;335;33a;bf54;
b6;335;338;c4f8;
b8;335;337;ca9c;
b9;337;333;d040;
bb;335;335;d5e8;
bb;335;331;db8c;
be;335;333;e130;
c0;336;332;e6d4;
c1;336;32e;ec7c;
c2;337;332;f220;
c4;337;32d;f7c4;
c5;334;32f;fd68;
c5;336;32d;310;
c7;336;32a;860;
c9;336;32d;db0;
cb;337;328;1300;
cb;337;329;18a4;
cb;334;327;1e48;
ce;337;325;23ec;
ce;339;324;2994;
cf;336;323;2f38;
d1;337;323;34dc;
d2;336;320;3a80;
d3;334;320;4028;
d4;335;31f;45cc;
d4;336;320;4b70;
d6;335;31e;5114;
d7;337;31e;56bc;
d8;336;31f;5c60;
d9;334;31c;6204;
da;337;31b;67a8;
da;33a;31b;6d50;
db;335;318;72f4;
dc;336;319;7898;
dc;336;317;7e3c;
dd;335;318;83e4;
de;335;318;8988;
de;337;317;8f2c;
df;337;317;94d0;
e1;337;317;9a78;
e1;338;316;a020;
e2;334;316;a5c0;
e2;337;314;ab64;
e3;335;313;b10c;
e3;335;314;b6b0;
e2;333;311;bc54;
e3;335;314;c1f8;
e3;332;312;c7a0;
e4;335;311;cd44;
e4;337;313;d2e8;
e5;334;310;d88c;
e4;336;313;de34;
e5;339;314;e3d8;
e5;335;313;e97c;
e4;339;312;ef20;
e5;336;313;f4c4;
e4;333;315;fa6c;
e4;334;311;18;
e5;336;311;50c;
e4;336;315;a5c;
e6;335;316;fac;
e5;337;311;14fc;
e4;335;313;1aa0;
e5;335;312;2044;
e4;337;312;25ec;
e3;333;312;2b90;
e3;334;312;3134;
e2;338;313;36d8;
e2;336;314;3c80;
e3;337;315;4224;
e2;335;311;47c8;
e1;336;314;4d6c;
e1;334;312;5310;
e1;334;313;58b8;
e1;337;311;5e5c;
df;33b;312;6408;
df;337;313;69a8;
df;336;312;6f4c;
de;335;314;74f0;
dd;335;311;7a94;
dc;337;315;8038;
dc;333;313;85e0;
da;336;312;8b84;
d9;338;313;9128;
d9;336;314;96d0;
d8;336;312;9c74;
d7;338;311;a218;
d5;336;315;a7bc;
d4;335;313;ad60;
d4;334;311;b308;
d3;333;313;b8ac;
d2;336;311;be50;
d1;339;316;c3f8;
d0;335;311;c99c;
cf;337;313;cf40;
ce;337;312;d4e4;
cc;336;315;da8c;
ca;336;313;e030;
ca;336;311;e5d4;
c8;334;312;eb78;
c7;336;311;f120;
c6;336;314;f6c4;
c4;338;313;fc68;
c4;335;312;20c;
c2;335;314;75c;
c1;337;313;cac;
c0;335;313;11fc;
be;335;314;17a4;
bd;335;314;1d48;
bb;336;311;22ec;
b8;336;312;2890;
b8;334;312;2e38;
b6;336;311;33dc;
b4;335;314;3980;
b4;335;313;3f24;
b1;335;313;44cc;
af;335;313;4a70;
ae;336;312;501c;
ad;338;312;55b8;
ab;336;314;5b60;
a8;337;311;6104;
a8;337;313;66a8;
a6;335;314;6c4c;
a4;336;311;71f0;
a2;335;311;7798;
a0;336;312;7d3c;
9f;335;314;82e0;
9d;336;314;8888;
9b;333;316;8e2c;
99;337;316;93d0;
98;335;30f;9974;
96;334;313;9f18;
94;333;316;a4c0;
93;336;313;aa64;
90;335;314;b010;
8f;334;314;b5b0;
8d;337;311;bb54;
8a;337;316;c0f8;
89;336;316;c69c;
87;335;317;cc44;
85;336;316;d1e8;
84;335;315;d78c;
81;335;318;dd30;
80;336;318;e2d8;
7d;338;318;e87c;
7c;336;315;ee20;
7a;336;319;f3c4;
78;335;319;f96c;
76;336;31a;ff10;
75;334;31c;4b4;
72;336;319;a04;
71;333;31e;f54;
6f;335;31f;14a4;
6e;335;321;1a48;
6c;337;31c;1ff0;
6a;335;320;2594;
67;333;322;2b38;
66;336;31f;30dc;
65;335;324;3680;
63;335;324;3c28;
60;336;323;41cc;
5f;335;326;4770;
5e;334;327;4d14;
5b;334;327;52bc;
59;336;32b;5860;
58;338;32a;5e04;
56;336;32d;63ac;
55;338;32f;6950;
53;334;32f;6ef4;
51;338;330;7498;
4f;335;331;7a40;
4e;335;333;7fe4;
4d;334;333;8588;
4b;334;333;8b2c;
49;336;334;90d4;
48;336;335;9678;
46;334;336;9c20;
45;335;338;a1c0;
43;336;336;a764;
42;334;33b;ad0c;
40;334;33c;b2b0;
3e;337;33b;b854;
3d;333;33c;bdfc;
3c;335;33e;c3a0;
3a;336;33d;c944;
39;337;33f;cee8;
38;334;340;d490;
36;335;341;da34;
34;338;343;dfd8;
34;332;341;e57c;
