217;782;867;52052;
220;783;873;53496;
222;783;872;54940;
224;783;876;56388;
225;782;873;57832;
226;781;873;59276;
228;783;870;60720;
229;783;876;62164;
229;781;873;63612;
230;781;873;65056;
230;786;872;964;
229;782;869;2324;
227;782;869;3684;
227;782;871;5044;
225;784;872;6492;
223;783;872;7936;
219;781;872;9380;
217;780;873;10824;
215;782;870;12272;
212;787;873;13716;
209;781;872;15160;
205;782;871;16604;
201;783;872;18052;
198;782;870;19496;
193;783;871;20940;
188;784;871;22384;
183;783;874;23832;
179;783;869;25276;
173;783;873;26720;
168;782;873;28164;
162;783;871;29608;
157;780;872;31056;
152;782;875;32500;
146;782;870;33944;
140;781;871;35392;
134;783;874;36836;
129;783;872;38280;
123;783;875;39724;
117;780;872;41172;
110;785;871;42616;
105;782;871;44064;
100;781;871;45504;
94;784;872;46948;
88;781;873;48396;
83;782;871;49840;
78;783;872;51284;
73;780;873;52728;
67;783;872;54176;
63;783;873;55620;
58;784;873;57064;
55;786;871;58512;
50;786;872;59956;
47;788;872;61400;
44;789;872;62844;
39;791;874;64292;
37;793;872;200;
35;791;871;1472;
32;794;872;2836;
31;798;873;4196;
28;798;873;5640;
28;802;873;7084;
26;802;870;8528;
25;806;872;9976;
25;806;871;11420;
24;809;874;12864;
25;807;868;14308;
25;813;870;15756;
26;811;872;17200;
27;815;870;18644;
29;814;869;20088;
31;817;872;21536;
32;817;872;22980;
35;818;871;24424;
39;817;871;25868;
41;818;873;27316;
45;818;875;28760;
48;818;872;30204;
52;819;872;31648;
56;817;871;33092;
61;818;872;34540;
65;818;873;35984;
70;814;874;37428;
75;816;871;38876;
79;815;870;40320;
84;816;871;41764;
91;816;870;43208;
96;814;876;44656;
102;812;871;46104;
108;810;871;47544;
113;811;870;48988;
119;806;872;50436;
125;806;871;51880;
131;807;872;53324;
136;804;871;54768;
142;801;872;56216;
148;803;869;57660;
154;800;872;59104;
160;798;875;60548;
165;796;871;61996;
170;794;874;63440;
176;791;873;64884;
180;790;872;792;
186;783;872;2152;
189;783;873;3512;
194;784;872;4872;
198;784;873;6320;
202;782;872;7764;
206;783;870;9208;
210;785;870;10652;
213;781;870;12096;
215;780;871;13544;
219;782;873;14988;
220;779;872;16432;
223;780;871;17876;
225;781;873;19324;
226;776;873;20768;
228;780;872;22212;
229;781;867;23660;
229;778;866;25104;
230;779;861;26548;
228;780;863;27992;
228;778;858;29440;
227;779;854;30884;
226;782;854;32328;
225;779;849;33772;
223;778;847;35216;
221;775;845;36664;
219;777;844;38108;
217;779;841;39552;
212;778;837;41000;
210;777;838;42444;
207;778;835;43888;
203;778;838;45332;
199;781;834;46780;
194;777;833;48224;
190;778;831;49668;
184;779;826;51112;
179;778;827;52556;
175;778;823;54004;
170;775;821;55448;
164;778;817;56892;
159;777;816;58340;
153;779;816;59784;
147;777;811;61228;
140;776;815;62672;
136;776;812;64120;
130;780;811;32;
125;777;809;1304;
119;775;810;2660;
114;774;810;4024;
108;777;809;5384;
103;777;810;6828;
97;775;809;8272;
91;778;808;9716;
86;777;811;11164;
81;775;810;12608;
75;780;811;14052;
71;777;811;15496;
66;778;815;16944;
61;779;815;18388;
57;779;813;19832;
53;776;816;21276;
48;781;817;22724;
45;782;818;24168;
42;786;820;25620;
38;787;822;27056;
35;790;821;28504;
34;792;825;29948;
31;797;825;31392;
29;798;827;32836;
28;797;827;34284;
26;802;829;35728;
26;805;832;37172;
26;806;836;38616;
24;810;834;40064;
25;808;841;41508;
25;813;844;42952;
25;815;841;44396;
27;814;845;45844;
29;817;846;47288;
30;820;845;48732;
32;818;847;50184;
34;816;848;51624;
37;822;849;53068;
40;819;851;54512;
44;816;855;55956;
47;821;855;57404;
51;817;855;58848;
55;814;858;60292;
59;822;857;61736;
63;821;858;63184;
68;816;856;64628;
73;815;860;536;
78;813;858;1896;
83;814;860;3256;
87;815;859;4616;
93;812;860;6060;
98;811;856;7508;
105;812;857;8952;
110;809;863;10396;
116;808;860;11840;
122;807;859;13288;
127;809;859;14732;
134;802;862;16176;
140;802;858;17620;
145;800;858;19064;
151;797;857;20512;
157;798;856;21956;
162;797;857;23400;
168;793;858;24848;
173;792;856;26292;
178;789;856;27736;
183;787;854;29180;
188;785;850;30624;
191;782;852;32072;
198;781;847;33516;
201;782;847;34960;
204;782;845;36404;
209;779;844;37852;
212;782;843;39296;
214;781;841;40740;
218;783;834;42188;
220;782;837;43632;
223;778;834;45084;
224;778;833;46520;
225;782;830;47968;
227;783;829;49412;
229;779;825;50856;
229;777;821;52300;
229;781;820;53748;
229;778;819;55192;
229;779;816;56636;
226;776;813;58080;
227;778;810;59528;
225;780;810;60972;
224;776;807;62416;
222;777;806;63860;
220;777;804;65304;
217;777;801;1216;
213;777;803;2576;
212;777;798;3936;
208;778;798;5296;
205;777;793;6740;
201;777;795;8184;
196;776;796;9632;
192;776;794;11076;
187;775;791;12520;
181;774;792;13964;
178;776;792;15408;
173;780;794;16856;
167;776;796;18300;
162;777;793;19744;
156;777;793;21192;
150;776;794;22636;
144;773;794;24080;
139;777;793;25524;
133;773;795;26972;
126;776;793;28416;
121;778;794;29860;
115;776;794;31304;
110;775;796;32752;
104;776;793;34196;
97;778;795;35640;
93;776;799;37084;
86;774;798;38532;
82;778;799;39976;
76;774;798;41420;
71;778;800;42864;
66;777;800;44312;
