352;2e3;314;3b48;
328;2e6;317;3f7c;
31a;2e3;315;43b0;
321;2e6;318;47e4;
34b;2e4;318;4c20;
37c;2e4;318;5054;
3b4;2e7;317;5488;
3de;2e7;317;58bc;
3f4;2e4;318;5cf0;
3de;2e6;317;6124;
3b4;2e4;316;6558;
37c;2e6;316;698c;
34b;2e1;316;6dbc;
321;2e7;318;71f8;
313;2e7;317;7628;
328;2e3;317;7a58;
359;2e7;317;7e8c;
392;2e6;315;82b8;
3ca;2e3;316;86ec;
3ed;2e4;315;8b1c;
3ed;2e7;317;8f50;
3d8;2e4;31c;9380;
3a0;2e4;318;97b4;
367;2e4;318;9be8;
336;2e3;318;a024;
31a;2e4;317;a45c;
31a;2e4;318;a890;
33d;2e3;318;acc4;
36e;2e4;319;b0f8;
3ae;2e6;314;b52c;
3d0;2e7;316;b964;
3ed;2e3;317;bd98;
3e6;2e7;316;c1cc;
3c2;2e4;315;c600;
38a;2e5;318;ca2c;
352;2e3;318;ce64;
328;2e3;318;d29c;
31a;2e6;316;d6d0;
321;2e3;316;db08;
34b;2e7;317;df40;
384;2e3;318;e374;
3c2;2e4;315;e7a4;
3e6;2e4;317;ebdc;
3ed;2e6;317;f018;
3de;2e4;317;f454;
3ae;2e4;316;f888;
36e;2e7;316;fcbc;
344;2e5;314;f4;
321;2e4;316;528;
31a;2e3;318;95c;
32f;2e3;314;d90;
367;2e7;314;11cc;
3a0;2e5;316;1600;
3d8;2e4;318;1a34;
3ed;2e6;316;1e68;
3e6;2e4;316;22a0;
3c2;2e3;316;26d4;
398;2e3;318;2b08;
360;2e3;316;2f38;
32f;2e1;317;3374;
313;2e4;316;37a8;
31a;2e4;318;3bd4;
34b;2e4;317;4014;
37c;2e6;318;4450;
3b4;2e4;318;4888;
3e6;2e6;318;4cbc;
3ed;2e6;317;50f0;
3de;2e9;316;5524;
3b4;2e4;318;595c;
37c;2e5;317;5d90;
34b;2e4;318;61c4;
31a;2e4;314;65fc;
313;2e5;313;6a34;
328;2e1;314;6e68;
360;2e3;317;72a0;
392;2e3;318;76d4;
3c2;2e5;316;7b08;
3e6;2e6;318;7f40;
3ed;2e5;314;8378;
3d8;2e3;315;87ac;
3a0;2e4;318;8be4;
367;2e6;316;9020;
32f;2e3;317;9454;
31a;2e4;318;9888;
31a;2e6;314;9cbc;
344;2e4;318;a0f0;
375;2e6;318;a528;
3ae;2e4;317;a960;
3d8;2e4;315;ad98;
3ed;2e2;317;b1cc;
3e6;2e6;318;b600;
3c2;2e3;318;ba34;
38a;2e4;317;be68;
34b;2e3;314;c29c;
328;2e4;314;c6c8;
313;2e3;316;cafc;
321;2e4;316;cf30;
34b;2e6;316;d360;
38a;2e6;317;d794;
3c2;2e6;317;dbc0;
3e6;2e4;315;dff0;
3ed;2e5;316;e42c;
3d8;2e6;318;e860;
3ae;2e6;315;ec98;
375;2e6;318;f0cc;
344;2e4;318;f500;
321;2e3;317;f934;
31a;2e4;318;fd6c;
336;2e3;318;1a4;
367;2e3;315;5dc;
3a0;2e6;313;a14;
3d0;2e7;314;e48;
3ed;2e7;317;127c;
3ed;2e3;316;16b0;
3c2;2e7;316;1ae4;
392;2e6;316;1f1c;
360;2e3;317;2354;
32f;2e3;311;2780;
31a;2e3;317;2bb4;
321;2e3;318;2fe8;
344;2e7;317;3428;
37c;2e6;317;385c;
3b4;2e3;316;3c94;
3e6;2e4;317;40cc;
3ed;2e5;316;4500;
3d8;2e4;316;4938;
3b4;2e6;317;4d6c;
37c;2e3;317;51a0;
344;2e3;316;55d4;
31a;2e4;316;5a08;
313;2e6;316;5e40;
328;2e6;316;6274;
360;2e4;317;66ac;
392;2e3;318;6ae0;
3c2;2e4;316;6f14;
3e6;2e7;316;7340;
3ed;2e3;316;7778;
3d8;2e4;316;7ba4;
398;2e4;318;7fe4;
367;2e6;317;8420;
32f;2e5;315;8858;
313;2e6;317;8c8c;
321;2e3;318;90c0;
33d;2e5;318;94f4;
