3bc;2e3;317;338;
3e6;2e6;314;76c;
3ed;2e7;318;ba0;
3d8;2e7;317;fd8;
3a6;2e3;318;1414;
367;2e6;315;1850;
33d;2e3;317;1c88;
31a;2e4;316;20c0;
313;2e3;316;24f8;
336;2e4;313;292c;
367;2e7;314;2d64;
3a6;2e5;317;3198;
3d0;2e3;317;35cc;
3ed;2e6;317;3a00;
3e6;2e3;317;3e34;
3c2;2e7;318;4268;
392;2e3;318;46a0;
352;2e4;317;4ad0;
328;2e7;318;4f04;
31a;2e6;318;5338;
321;2e2;316;576c;
34b;2e6;318;5ba4;
37c;2e5;318;5fd8;
3bc;2e3;319;6414;
3de;2e3;318;6850;
3ed;2e4;315;6c84;
3e6;2e4;319;70bc;
3b4;2e7;318;74f4;
375;2e4;316;792c;
33d;2e4;318;7d58;
31a;2e6;317;818c;
31a;2e4;317;85c0;
32f;2e3;319;89f4;
359;2e3;315;8e28;
392;2e6;317;925c;
3d0;2e6;317;9688;
3e6;2e6;318;9ab8;
3e6;2e4;316;9ee8;
3d0;2e4;313;a324;
398;2e3;316;a758;
367;2e6;318;ab94;
336;2e7;318;afc8;
31a;2e6;316;b404;
31a;2e4;318;b840;
33d;2e6;315;bc74;
375;2e5;316;c0a8;
3a6;2e6;317;c4d8;
3d8;2e6;314;c904;
3e6;2e6;318;cd3c;
3ed;2e3;318;d170;
3bc;2e3;318;d5a4;
384;2e5;315;d9dc;
34b;2e6;313;de14;
328;2e6;317;e248;
313;2e3;318;e67c;
328;2e3;314;eab0;
352;2e6;316;eee4;
38a;2e7;317;f318;
3bc;2e6;315;f748;
3e6;2e3;316;fb7c;
3e6;2e4;318;ffb0;
3de;2e6;317;3e4;
3ae;2e6;318;81c;
36e;2e6;317;c5c;
33d;2e6;316;1090;
31a;2e3;316;14c4;
31a;2e7;315;18f8;
32f;2e4;316;1d30;
367;2e4;315;2164;
3a0;2e4;317;259c;
3d0;2e3;318;29d0;
3ed;2e4;318;2e04;
3ed;2e6;317;3238;
3ca;2e7;318;366c;
392;2e4;318;3aa4;
352;2e5;315;3ed8;
328;2e6;313;4310;
31a;2e7;313;4748;
321;2e7;317;4b80;
344;2e3;318;4fb4;
37c;2e4;317;53ec;
3b4;2e4;314;5828;
3e6;2e3;317;5c54;
3ed;2e4;316;6088;
3de;2e2;318;64bc;
3ae;2e4;317;68f0;
375;2e3;316;6d24;
344;2e3;318;7158;
321;2e5;316;7590;
313;2e3;316;79c4;
32f;2e6;318;7df0;
360;2e3;317;8224;
392;2e5;316;8650;
3c2;2e6;317;8a84;
3ed;2e6;317;8eb8;
3ed;2e5;317;92f0;
3d0;2e7;318;9724;
3a0;2e7;316;9b58;
360;2e4;315;9f90;
32f;2e6;317;a3c4;
31a;2e3;318;a7f8;
31a;2e4;318;ac30;
33d;2e4;317;b064;
375;2e5;316;b498;
3ae;2e3;313;b8cc;
3de;2e5;315;bd00;
3ed;2e5;318;c134;
3e6;2e6;317;c56c;
3c2;2e7;316;c9a0;
38a;2e6;318;cdd4;
34b;2e3;318;d204;
321;2e3;318;d638;
313;2e4;317;da68;
328;2e4;318;de9c;
34b;2e6;316;e2d0;
384;2e5;316;e704;
3c2;2e4;318;eb38;
3e6;2e3;318;ef6c;
3ed;2e4;316;f3a0;
3d8;2e7;314;f7d8;
3ae;2e6;315;fc14;
375;2e6;316;50;
33d;2e6;316;488;
31a;2e3;318;8bc;
31a;2e4;318;cf0;
32f;2e3;316;1128;
360;2e5;318;155c;
3a0;2e3;316;1990;
3d0;2e4;318;1dc8;
3ed;2e4;317;21fc;
3e6;2e6;316;2630;
3c2;2e5;316;2a64;
392;2e6;317;2e98;
359;2e4;318;32c4;
328;2e3;317;36f8;
31a;2e3;317;3b28;
321;2e7;315;3f5c;
344;2e3;315;4394;
375;2e5;318;47c8;
3b4;2e6;316;4bf4;
3de;2e3;315;5030;
3ed;2e3;317;5468;
3de;2e6;315;589c;
3b4;2e7;318;5cd0;
37c;2e6;317;6104;
