9328;348;9b60;
7e;2fc;301;2600;
7b;2f9;302;2ba4;
7a;2fb;304;3148;
78;2fa;304;36ec;
76;2fb;306;3c94;
76;2fe;306;4238;
73;2fd;30a;47dc;
72;2fd;30a;4d80;
6f;2fe;30c;5328;
6e;300;30b;58cc;
6c;2fe;30e;5e70;
6a;2fd;30c;641c;
68;2fe;30f;69bc;
67;2ff;313;6f60;
65;2ff;311;7504;
63;301;312;7aa8;
61;2ff;314;8050;
5f;304;314;85f4;
5d;304;316;8b98;
5d;307;318;913c;
5a;307;319;96e4;
58;308;31a;9c88;
57;308;31e;a22c;
55;309;320;a7d0;
53;30c;31d;ad78;
52;30b;320;b31c;
50;30e;320;b8c0;
4e;30d;323;be64;
4c;30e;323;c410;
4c;311;325;c9b0;
4a;310;324;cf54;
48;311;325;d4f8;
46;314;328;daa0;
45;313;32b;e044;
43;313;32a;e5e8;
42;317;32b;eb8c;
41;318;331;f134;
40;316;32d;f6d8;
3d;31b;333;fc7c;
3c;317;330;220;
3b;319;331;770;
3a;31b;332;cc0;
37;31a;333;1210;
37;319;334;17b8;
35;31d;333;1d5c;
33;31e;337;2300;
33;31b;337;28a4;
31;31e;339;2e4c;
31;31d;339;33f0;
30;31c;337;3994;
2d;31c;33b;3f38;
2d;31d;33b;44e0;
2d;31d;33e;4a84;
2b;31d;33d;5028;
2a;321;33d;55cc;
29;31b;340;5b74;
28;320;340;6118;
27;320;340;66bc;
26;31e;341;6c60;
25;321;342;7208;
24;321;342;77ac;
24;31f;346;7d50;
22;322;342;82f4;
22;321;344;889c;
22;328;345;8e40;
20;326;345;93e4;
1f;326;347;9988;
1f;325;348;9f30;
1e;32a;348;a4d4;
1d;32a;348;aa78;
1e;329;346;b020;
1d;32e;34b;b5c4;
1b;328;34b;bb68;
1c;32b;34b;c10c;
1c;32b;34c;c6b0;
1b;32b;34a;cc58;
1b;329;350;d1fc;
1a;32b;34e;d7a0;
1b;32a;34c;dd44;
1a;32b;34b;e2ec;
19;327;34c;e890;
19;32c;350;ee34;
19;32e;34f;f3d8;
19;32a;34e;f980;
19;328;351;ff24;
19;32b;34f;4c8;
18;32c;352;a18;
19;32c;34f;f68;
19;32b;354;14b8;
18;32b;351;1a5c;
19;32b;356;2008;
1a;329;354;25a8;
19;32c;353;2b4c;
18;32c;353;30f0;
1b;32a;353;3698;
19;32c;353;3c3c;
1a;32d;353;41e0;
1b;329;353;4784;
1b;32c;356;4d2c;
1b;32a;357;52d0;
1b;329;356;5874;
1d;32c;357;5e18;
1d;32c;357;63c0;
1e;32b;358;6964;
1e;32a;356;6f08;
1e;32c;357;74ac;
20;32b;358;7a54;
20;331;354;7ff8;
21;32f;359;859c;
22;32d;357;8b40;
22;32a;356;90e8;
23;32b;357;968c;
24;32b;357;9c30;
25;32d;358;a1d4;
25;32c;359;a77c;
26;329;358;ad20;
27;32c;358;b2c4;
29;32c;359;b868;
2a;32a;356;be10;
2a;32c;355;c3b4;
2a;32f;358;c958;
2d;32d;35a;cefc;
2d;32c;358;d4a4;
2f;32b;356;da48;
2f;32b;355;dfec;
31;329;355;e590;
32;32c;357;eb38;
34;32b;358;f0dc;
35;32a;358;f680;
36;32d;357;fc24;
37;32d;358;1cc;
38;32c;356;71c;
39;32e;355;c6c;
3c;32a;358;11bc;
3c;32d;356;1760;
3e;32c;356;1d04;
3f;32a;358;22a8;
41;32e;356;2850;
43;32b;359;2df4;
44;32b;358;3398;
46;32d;357;393c;
46;32d;356;3ee4;
49;32a;357;4488;
4b;32b;356;4a2c;
4b;32c;355;4fd0;
4d;32a;354;5578;
4e;32c;356;5b1c;
50;32c;353;60c0;
52;32b;356;6664;
53;32c;355;6c10;
55;32b;355;71b0;
57;32b;356;7754;
59;32a;355;7cf8;
5b;32e;352;82a0;
5d;328;351;8844;
