9328;348;9b60;
b3;317;32b;22f8;
b5;313;32c;289c;
b6;311;328;2e40;
b8;314;32b;33e4;
b9;312;32b;398c;
bb;30d;328;3f30;
bc;311;325;44d4;
be;311;326;4a78;
bf;312;325;5020;
c0;311;322;55c4;
c2;313;326;5b68;
c4;312;322;610c;
c5;311;322;66b4;
c6;311;321;6c58;
c8;310;320;71fc;
c8;310;31d;77a0;
c8;313;323;7d48;
cb;310;31e;82ec;
cd;312;31f;8890;
ce;311;31e;8e34;
ce;30d;31d;93dc;
d0;30f;31a;9980;
d0;311;319;9f24;
d1;30f;31b;a4c8;
d3;30f;319;aa70;
d3;312;317;b018;
d6;30e;315;b5b8;
d6;310;316;bb5c;
d7;30d;317;c104;
d7;30c;316;c6a8;
d9;30d;314;cc4c;
da;30c;316;d1f0;
da;30b;317;d798;
db;30e;316;dd3c;
dc;309;313;e2e0;
de;309;314;e884;
de;30b;310;ee2c;
de;30b;311;f3d0;
de;309;312;f974;
df;30b;312;ff18;
e0;30a;311;4c0;
e1;309;311;a10;
e1;30a;311;f60;
e1;30a;310;14b0;
e2;309;312;1a54;
e3;30a;30f;1ff8;
e3;309;30f;259c;
e4;304;30f;2b44;
e4;309;30d;30e8;
e3;308;30d;368c;
e4;308;30c;3c30;
e4;308;30d;41d8;
e4;307;30a;477c;
e4;307;30d;4d20;
e6;30a;30b;52c4;
e5;308;309;586c;
e4;308;30b;5e10;
e6;308;309;63b4;
e5;30a;309;6958;
e5;308;309;6f00;
e4;307;30a;74a4;
e5;308;309;7a48;
e4;308;309;7fec;
e5;308;306;8594;
e4;309;30b;8b38;
e3;307;309;90dc;
e3;307;309;9680;
e3;304;309;9c28;
e3;307;309;a1cc;
e3;30c;30a;a770;
e3;305;30b;ad14;
e2;309;309;b2bc;
e2;30b;307;b860;
e0;307;307;be04;
e0;305;309;c3a8;
e0;307;30a;c950;
df;308;30b;cef4;
df;308;307;d498;
de;305;308;da3c;
dd;309;30d;dfe4;
dd;30a;309;e588;
dc;308;30c;eb2c;
db;307;307;f0d0;
da;305;30a;f678;
da;306;305;fc20;
d8;308;308;1c0;
d8;309;30e;710;
d7;308;309;c60;
d5;308;309;11b0;
d4;307;309;1754;
d4;308;30a;1cfc;
d2;306;309;22a0;
d2;308;30a;2844;
d1;30b;30a;2de8;
cf;308;30b;3390;
ce;308;30a;3934;
ce;308;309;3ed8;
cb;307;30a;447c;
ca;308;30b;4a24;
c9;309;30a;4fc8;
c8;308;30b;556c;
c7;307;309;5b10;
c6;307;30d;60b8;
c5;30b;308;665c;
c3;309;309;6c08;
c2;30a;308;71a4;
bf;309;30a;774c;
bf;309;306;7cf0;
bd;306;30a;8294;
bb;306;30a;8838;
ba;307;309;8de0;
b9;308;308;9384;
b7;307;306;9928;
b6;308;30b;9ecc;
b4;30a;306;a474;
b2;308;308;aa18;
b1;307;308;afbc;
b0;308;30b;b560;
ad;309;30c;bb08;
ac;307;30a;c0ac;
aa;30a;30b;c650;
a8;308;309;cbf4;
a7;305;309;d19c;
a5;309;30b;d740;
a3;308;307;dce4;
a1;308;30a;e288;
a0;307;309;e830;
9e;308;30b;edd4;
9c;307;30a;f378;
9a;307;30a;f91c;
98;306;30b;fec4;
97;308;30b;468;
95;308;309;9b8;
93;307;308;f08;
92;308;30a;1458;
90;309;308;19fc;
8d;306;30a;1fa0;
8c;309;30b;2548;
8a;308;308;2aec;
89;306;30d;3090;
86;303;30a;3634;
85;308;309;3bdc;
83;308;30b;4180;
82;308;30e;4724;
7f;307;309;4cc8;
7e;308;309;5270;
7c;30a;30d;581c;
79;307;30c;5db8;
78;308;30b;635c;
77;30a;30c;6904;
75;309;30a;6ea8;
73;308;30d;744c;
71;30b;30d;79f0;
6f;306;30c;7f98;
6d;308;30d;853c;
6b;308;30e;8ae0;
69;30a;30f;9084;
67;308;30e;962c;
67;308;312;9bd0;
64;307;310;a174;
62;308;310;a718;
60;308;312;acc0;
5e;30a;313;b264;
5d;306;314;b810;
5c;30a;316;bdac;
59;30c;313;c354;
58;30c;318;c8f8;
56;309;31c;ce9c;
54;30c;31b;d440;
52;30d;31b;d9e8;
52;30f;31c;df8c;
4f;311;31d;e530;
4d;311;31f;ead4;
4c;312;322;f07c;
4a;310;321;f620;
49;313;323;fbc4;
47;312;324;168;
45;315;325;6b8;
44;317;325;c10;
43;315;328;1158;
41;319;32b;1700;
40;319;32d;1ca4;
3f;315;32c;2248;
3e;31b;32c;27ec;
3b;31a;32c;2d94;
3b;319;32e;3338;
39;31a;32f;38dc;
38;318;332;3e80;
37;31b;332;4428;
35;31c;335;49cc;
33;31c;331;4f70;
32;317;336;5514;
31;31c;336;5abc;
30;31e;337;6060;
2f;31d;337;6604;
2e;31b;33c;6ba8;
2d;31e;33e;7150;
2c;31f;33e;76f4;
2b;31f;33c;7c98;
29;324;33b;823c;
29;31f;340;87e4;
28;323;33c;8d88;
27;325;33f;932c;
26;324;340;98d0;
25;327;344;9e78;
24;325;342;a420;
24;327;344;a9c0;
22;326;344;af64;
21;326;349;b50c;
21;32b;346;bab0;
20;32a;344;c054;
20;327;345;c5f8;
1f;32b;348;cba0;
1f;32a;349;d144;
1d;32a;348;d6e8;
1e;329;34b;dc8c;
1c;32c;347;e234;
1b;32c;34e;e7d8;
1d;32c;34b;ed7c;
1c;32b;34e;f320;
1b;32a;34f;f8c8;
1b;32c;34e;fe6c;
1a;329;34b;418;
1b;32b;34e;960;
19;32e;34f;eb0;
19;32e;34f;1408;
1a;32d;350;19a4;
1a;32c;351;1f4c;
18;330;350;24f0;
19;330;34e;2a94;
18;32b;351;3038;
19;32e;351;35e0;
19;331;353;3b84;
19;32c;354;4128;
18;32e;352;46cc;
19;32e;357;4c74;
1a;32f;354;5218;
1a;32d;354;57bc;
1a;32b;353;5d60;
1a;32d;354;6308;
1a;32e;354;68ac;
1a;32d;356;6e50;
1b;32d;356;73f4;
1a;330;353;799c;
1b;330;357;7f40;
1c;32e;357;84e4;
1c;32f;356;8a88;
1d;32e;353;9030;
1e;330;356;95d4;
1e;32e;356;9b78;
1f;32e;357;a11c;
20;32e;359;a6c4;
21;331;353;ac68;
21;32f;356;b20c;
22;32d;359;b7b0;
23;330;355;bd58;
22;32d;357;c2fc;
24;32e;357;c8a0;
25;330;359;ce44;
26;32e;359;d3ec;
26;330;359;d990;
28;32e;355;df34;
28;32c;358;e4d8;
2a;32d;359;ea80;
2a;32e;355;f024;
2c;32f;358;f5c8;
2d;32b;357;fb6c;
2d;330;358;114;
2f;32d;358;664;
31;32d;35b;bb4;
31;32e;354;1104;
32;32d;358;16a8;
34;32d;356;1c4c;
35;32e;357;21f0;
37;32f;357;2798;
37;32c;354;2d3c;
39;330;356;32e0;
3a;32d;357;3884;
3c;32f;358;3e2c;
3d;330;358;43d0;
3f;332;356;4974;
3f;32f;35a;4f18;
42;32f;353;54c0;
43;32c;357;5a64;
45;330;355;6010;
46;32e;356;65ac;
47;32f;355;6b54;
49;32d;355;70f8;
4a;32e;353;769c;
4b;330;355;7c40;
4e;32a;354;81e8;
4f;32d;353;878c;
51;32e;353;8d30;
53;32d;354;92d4;
55;32c;353;987c;
56;32c;351;9e20;
58;32a;350;a3c4;
5a;32f;350;a968;
5b;32c;34e;af10;
5d;329;354;b4b4;
5f;32e;350;ba58;
61;32c;350;bffc;
63;32e;34e;c5a4;
65;32d;34d;cb48;
65;32e;34d;d0ec;
68;329;34e;d690;
6a;32c;34d;dc38;
6b;329;34d;e1dc;
6d;32a;34b;e780;
6f;327;349;ed24;
71;32a;34a;f2cc;
73;328;34b;f870;
74;325;349;fe14;
76;32a;347;3b8;
78;327;346;908;
7a;324;346;e58;
7a;323;347;13a8;
7e;323;346;1950;
7f;321;345;1ef4;
80;320;344;2498;
83;31d;344;2a3c;
85;320;343;2fe4;
86;31e;346;3588;
89;31d;341;3b2c;
8b;320;341;40d0;
8c;31d;33f;4678;
8e;31e;33f;4c20;
8f;31d;33d;51c0;
91;31c;33c;5764;
94;31a;33d;5d0c;
96;31c;33c;62b0;
96;317;337;6854;
99;318;33a;6df8;
9a;31c;33b;73a0;
9d;319;338;7944;
9e;319;337;7ee8;
a1;31d;335;848c;
a2;319;336;8a34;
a3;318;336;8fd8;
a5;31a;331;957c;
a7;31a;334;9b20;
a8;318;333;a0c8;
aa;319;330;a66c;
ac;317;333;ac18;
ae;313;32d;b1b4;
af;316;32c;b75c;
b0;317;32b;bd00;
b3;314;32b;c2a4;
b4;319;32a;c848;
b5;313;32b;cdf0;
b7;313;32a;d394;
b9;314;32c;d938;
ba;316;32a;dedc;
bb;311;326;e484;
bd;312;327;ea28;
be;313;327;efcc;
c0;313;325;f570;
c2;312;326;fb18;
c4;312;322;bc;
c4;314;326;5b8;
c6;30f;322;b08;
c7;311;324;1058;
c8;313;31f;15fc;
c9;311;320;1ba0;
ca;30d;31f;2144;
cb;310;31c;26ec;
cc;312;31d;2c90;
ce;311;31c;3234;
cf;30d;31b;37d8;
d0;30d;31f;3d80;
d1;30f;31b;4324;
d3;30e;319;48c8;
d3;30e;31a;4e6c;
d5;30f;318;5418;
d6;30e;319;59b8;
d7;30f;317;5f5c;
d7;30e;316;6500;
d9;30f;318;6aa8;
d9;30e;319;704c;
da;30e;315;75f0;
db;310;313;7b94;
dc;30d;317;813c;
dd;309;312;86e0;
dd;30d;313;8c84;
df;30c;310;9228;
de;30b;311;97d0;
e0;30d;311;9d74;
de;30a;30d;a318;
e1;30a;310;a8bc;
e0;30c;30f;ae64;
e1;309;30f;b40c;
e2;30b;310;b9ac;
e2;308;30f;bf50;
e2;30b;30d;c4f8;
e3;309;30c;ca9c;
e3;306;30c;d040;
e4;306;30d;d5e4;
e4;308;30c;db8c;
e4;306;30e;e130;
e4;306;307;e6d4;
e4;304;30b;ec78;
e4;308;30c;f220;
e5;30a;30b;f7c4;
e5;307;30c;fd68;
e5;306;30c;30c;
e5;307;30a;85c;
e4;307;30d;dac;
e4;307;309;12fc;
e4;30a;30a;18a4;
e5;305;309;1e48;
e4;307;30b;23ec;
e4;30b;30a;2990;
e4;306;309;2f38;
e4;307;307;34dc;
e3;307;308;3a80;
e3;306;30a;4024;
e2;306;308;45cc;
e2;30a;30a;4b70;
e3;308;30c;5114;
e2;308;30a;56b8;
e1;305;307;5c60;
e0;305;30a;6204;
e0;308;30a;67a8;
e0;307;30c;6d4c;
e0;306;309;72f4;
de;307;309;7898;
dd;307;30a;7e3c;
dd;305;309;83e0;
dc;307;30b;8988;
dc;309;30a;8f2c;
d9;306;30a;94d0;
da;309;309;9a74;
d8;308;309;a020;
d8;308;309;a5c0;
d7;307;309;ab64;
d5;305;30a;b108;
d5;308;309;b6b0;
d4;308;307;bc54;
d3;308;30a;c1f8;
d2;306;30a;c79c;
d1;308;309;cd44;
cf;30a;30a;d2e8;
cd;303;309;d88c;
ce;308;30d;de30;
cc;308;30a;e3d8;
cb;306;309;e97c;
ca;308;309;ef20;
c8;308;30d;f4c4;
c7;307;308;fa6c;
c6;308;307;14;
c4;306;308;50c;
c4;309;30b;a5c;
c2;309;30a;fac;
c1;307;309;14fc;
c0;308;30a;1aa0;
be;306;30a;2044;
bc;306;30a;25e8;
bb;301;30a;2b90;
b9;306;30a;3134;
b8;307;308;36d8;
b5;308;307;3c7c;
b4;304;30a;4224;
b4;30b;30d;47c8;
b2;305;309;4d6c;
b1;308;309;5310;
af;306;30d;58b8;
ac;308;30a;5e5c;
ac;307;308;6408;
aa;306;307;69a4;
a7;307;309;6f4c;
a6;304;30a;74f0;
a4;307;308;7a94;
a3;308;30c;8038;
a1;303;30a;85e0;
9f;30a;308;8b84;
9d;308;309;9128;
9b;305;309;96cc;
99;306;308;9c74;
97;308;30a;a218;
96;306;30b;a7bc;
94;305;308;ad60;
92;306;30a;b308;
90;306;308;b8ac;
8f;30c;30c;be50;
8d;309;309;c3f4;
8b;305;308;c99c;
8a;307;309;cf40;
88;306;309;d4e4;
85;307;30c;da88;
84;309;309;e030;
82;307;309;e5d4;
80;307;30a;eb78;
7e;307;309;f11c;
7c;308;309;f6c4;
7b;305;30c;fc68;
78;30b;309;20c;
77;307;30b;75c;
75;304;30a;cac;
74;308;30b;11fc;
72;308;30c;17a0;
70;306;30d;1d48;
6e;306;30a;22ec;
6c;306;30c;2890;
6b;309;310;2e34;
68;306;30e;33dc;
67;308;311;3980;
65;308;311;3f24;
64;308;312;44c8;
61;309;313;4a70;
60;308;311;5018;
5e;308;313;55b8;
5c;308;315;5b5c;
5b;30b;317;6104;
59;30d;316;66a8;
56;30b;317;6c4c;
55;30b;31b;71f0;
53;30e;31a;7798;
51;30d;320;7d3c;
50;30d;322;82e0;
4f;30d;31d;8884;
4d;30e;323;8e2c;
4b;311;324;93d0;
4a;313;31f;9974;
48;314;321;9f18;
46;315;326;a4c0;
45;318;325;aa64;
44;317;327;b010;
42;315;328;b5ac;
3f;31a;329;bb54;
3f;31c;32b;c0f8;
3e;318;32e;c69c;
3c;319;32f;cc40;
3b;31c;32d;d1e8;
39;31b;331;d78c;
39;31b;334;dd30;
36;31c;332;e2d4;
36;31a;334;e87c;
34;31b;334;ee20;
33;31a;333;f3c4;
32;31b;337;f968;
31;31d;339;ff10;
2f;320;339;4b4;
2d;320;336;a04;
2d;320;33c;f54;
2b;31f;33b;14a4;
2c;31d;33c;1a48;
2a;321;33a;1fec;
29;31e;33d;2594;
29;323;33f;2b38;
27;325;340;30dc;
26;324;340;3680;
26;323;340;3c28;
23;325;33f;41cc;
23;325;341;4770;
22;324;343;4d14;
21;326;343;52bc;
21;32a;344;5860;
21;328;346;5e04;
20;327;348;63a8;
1e;32a;347;6950;
1f;32a;34a;6ef4;
1e;327;349;7498;
1e;329;349;7a3c;
1c;32a;34c;7fe4;
1d;32b;349;8588;
1c;329;34b;8b2c;
1b;329;34c;90d0;
1b;32b;34c;9678;
1a;32c;34c;9c20;
1a;32b;34f;a1c0;
1b;32d;34e;a764;
1a;32c;34d;ad0c;
1a;32c;350;b2b0;
19;32e;34e;b854;
19;32e;351;bdf8;
1a;32f;34f;c3a0;
19;330;351;c944;
18;32c;351;cee8;
19;32b;352;d48c;
19;32f;351;da34;
19;32f;352;dfd8;
19;32d;354;e57c;
19;32e;351;eb20;
19;32d;355;f0c8;
1a;32f;354;f66c;
19;32e;353;fc18;
1a;32f;355;1b4;
1a;32f;355;704;
1a;32b;358;c54;
1b;331;356;11a4;
1b;32c;355;174c;
1c;333;352;1cf0;
1b;32c;354;2294;
1d;330;357;2838;
1d;32f;355;2de0;
1d;32d;356;3384;
1e;32b;359;3928;
1e;32e;356;3ecc;
1f;32f;357;4474;
20;32e;358;4a18;
21;330;357;4fbc;
20;32e;355;5560;
22;32d;358;5b08;
23;32f;359;60ac;
23;32f;358;6650;
24;32d;358;6bf4;
25;32e;358;719c;
26;32e;358;7740;
28;32d;35a;7ce4;
28;32f;358;8288;
29;332;356;8830;
2a;330;358;8dd4;
2c;331;35c;9378;
2b;32d;356;991c;
2d;331;359;9ec4;
2f;330;358;a468;
2f;32e;359;aa0c;
31;32e;35a;afb0;
33;32f;358;b558;
33;32f;357;bafc;
35;331;356;c0a0;
36;330;355;c644;
37;32f;357;cbec;
38;32b;358;d190;
3a;332;356;d734;
3b;32f;357;dcd8;
3d;32e;359;e280;
3e;32e;355;e824;
3e;32d;358;edc8;
40;32a;357;f36c;
43;32c;353;f914;
43;32e;359;feb8;
46;32d;359;45c;
46;32e;355;9ac;
48;332;358;efc;
4a;32d;356;144c;
4b;32f;357;19f0;
4d;32e;352;1f98;
4f;32e;356;253c;
51;32f;355;2ae0;
52;32e;353;3084;
54;32d;354;362c;
55;330;353;3bd0;
56;32c;353;4174;
59;32d;351;4718;
5b;32f;34c;4cc0;
5b;32d;351;5264;
5e;32b;34e;5810;
60;32f;34e;5dac;
61;32d;350;6354;
63;32e;34d;68f8;
65;32d;350;6e9c;
66;32d;34b;7440;
69;329;34d;79e8;
6b;32c;34d;7f8c;
6c;32c;34a;8530;
6e;329;34c;8ad4;
70;32a;34b;907c;
71;328;349;9620;
73;325;349;9bc4;
75;326;34b;a168;
77;326;348;a710;
79;324;346;acb4;
7b;322;348;b258;
7d;321;346;b7fc;
7e;322;347;bda4;
80;321;345;c348;
82;31e;343;c8ec;
84;31b;343;ce90;
86;320;341;d438;
88;31c;341;d9dc;
8a;31c;341;df80;
8c;31e;33f;e524;
8e;31d;341;eacc;
90;31c;33e;f070;
91;31b;339;f614;
92;31c;33c;fbb8;
95;319;33f;160;
95;31b;33b;6b0;
98;31b;33a;c00;
9a;31d;339;1150;
9c;31d;337;16f4;
9d;31c;337;1c98;
a0;319;338;223c;
a0;31c;335;27e4;
a3;31d;333;2d88;
a4;31a;335;332c;
a6;31c;332;38d0;
a7;31a;332;3e78;
a9;316;332;4420;
ac;319;331;49c0;
ac;31a;330;4f64;
ae;316;32f;550c;
af;317;330;5ab0;
b2;315;32d;6054;
b3;314;32d;65f8;
b4;315;32c;6ba0;
b6;312;32a;7144;
b8;311;329;76e8;
ba;313;328;7c8c;
bb;315;329;8234;
bd;311;328;87d8;
be;312;323;8d7c;
bf;311;325;9320;
c0;311;323;98c8;
c2;314;322;9e6c;
c4;311;324;a418;
c5;311;323;a9b4;
c7;311;321;af5c;
c7;312;320;b500;
c9;30f;31f;baa4;
ca;313;321;c048;
cb;311;31f;c5f0;
cd;310;31b;cb94;
ce;311;31e;d138;
cf;30e;320;d6dc;
d1;30e;31b;dc84;
d2;30d;31e;e228;
d3;310;318;e7cc;
d4;30e;31c;ed70;
d4;310;317;f318;
d4;310;318;f8bc;
d5;30f;316;fe60;
d7;30f;316;40c;
d8;30b;316;954;
d8;30e;316;ea4;
d9;30b;315;13f4;
db;30e;317;199c;
dc;30a;313;1f40;
dc;30b;310;24e4;
de;310;312;2a88;
de;30e;310;3030;
de;30c;311;35d4;
df;30b;311;3b78;
e0;30b;310;411c;
df;30a;310;46c4;
e1;30b;310;4c68;
e2;307;30f;520c;
e2;30b;30e;57b0;
e2;309;30e;5d58;
e2;308;30d;62fc;
e3;309;30d;68a0;
e4;30b;30d;6e44;
e4;309;30d;73ec;
e4;30c;30b;7990;
e4;30b;307;7f34;
e4;309;30a;84d8;
e5;309;308;8a80;
e5;308;30b;9024;
e5;308;307;95c8;
e5;30a;308;9b6c;
e5;308;30b;a114;
e5;308;30c;a6b8;
e4;307;309;ac5c;
e5;308;309;b200;
e4;307;309;b7a8;
e4;306;307;bd4c;
e4;309;308;c2f0;
e4;309;30b;c894;
e4;308;308;ce3c;
e3;30c;308;d3e0;
e4;307;309;d984;
e4;309;309;df28;
e3;309;309;e4d0;
e3;307;30a;ea74;
e2;306;309;f020;
e1;307;309;f5bc;
e1;306;30a;fb64;
e0;307;307;108;
df;306;30a;658;
e0;309;30a;ba8;
e0;307;30a;10f8;
de;308;307;169c;
de;307;30a;1c40;
dc;30b;30d;21e8;
dd;306;309;278c;
dc;307;30d;2d30;
db;309;30c;32d4;
da;309;309;387c;
d9;309;30b;3e20;
d9;307;309;43c4;
d7;308;30a;4968;
d7;306;309;4f10;
d4;30c;308;54b4;
d5;309;30b;5a58;
d3;308;308;5ffc;
d2;309;309;65a4;
d1;308;30a;6b48;
d1;307;30b;70ec;
cf;308;309;7690;
ce;307;308;7c38;
cc;308;30b;81dc;
cc;30b;307;8780;
ca;308;309;8d24;
ca;307;30a;92cc;
c8;309;30a;9870;
c6;307;309;9e14;
c5;307;30b;a3b8;
c4;308;30b;a960;
c2;308;30b;af04;
c2;304;30b;b4a8;
c0;307;307;ba4c;
be;309;30b;bff4;
bc;304;30a;c598;
bc;307;309;cb3c;
b9;308;309;d0e0;
b8;307;30a;d688;
b7;308;307;dc2c;
b4;308;309;e1d0;
b3;304;30d;e774;
b1;306;308;ed1c;
b0;309;309;f2c0;
ae;305;30a;f864;
ae;307;30b;fe08;
ab;306;308;3b0;
a9;307;30c;900;
a8;306;309;e50;
a5;306;307;13a0;
a5;308;30a;1944;
a3;308;308;1ee8;
a1;309;30b;248c;
a0;306;30a;2a34;
9e;309;309;2fd8;
9c;308;309;357c;
9b;306;30a;3b20;
98;307;307;40c8;
96;307;30a;466c;
95;309;308;4c18;
93;307;309;51b4;
91;307;306;575c;
90;307;30a;5d00;
8d;30b;30a;62a4;
8c;30a;30a;6848;
8a;306;30b;6df0;
88;308;309;7394;
86;307;30a;7938;
84;305;30b;7edc;
82;308;309;8484;
80;309;30b;8a28;
7f;307;30a;8fcc;
7d;307;30a;9570;
7b;309;308;9b18;
7a;308;30b;a0bc;
78;309;30b;a660;
75;307;30b;ac0c;
74;308;30c;b1ac;
72;30a;30d;b750;
70;308;310;bcf4;
6f;309;30f;c298;
6d;30a;30f;c840;
6a;308;30d;cde4;
68;306;30e;d388;
67;307;310;d92c;
65;309;312;ded4;
63;308;311;e478;
61;30c;311;ea1c;
60;307;314;efc0;
5f;309;315;f568;
5c;30a;313;fb0c;
5a;30a;316;b0;
58;30e;316;5ac;
58;30d;317;afc;
56;30b;319;104c;
54;30b;31a;15f0;
53;30e;31c;1b94;
51;30c;320;213c;
4f;313;31e;26e0;
4e;310;31e;2c84;
4c;310;322;3228;
4b;313;322;37d0;
49;315;325;3d74;
48;316;327;4318;
46;315;326;48bc;
44;317;325;4e64;
43;317;329;540c;
42;319;329;59ac;
3f;316;329;5f50;
3e;319;32c;64f8;
3c;31a;329;6a9c;
3b;319;32d;7040;
3b;31a;32d;75e4;
39;31d;32e;7b8c;
37;31b;332;8130;
36;31b;332;86d4;
35;31b;333;8c78;
33;31e;337;9220;
33;31d;337;97c4;
30;31d;335;9d68;
30;31d;337;a30c;
2e;31d;33a;a8b4;
2e;31e;338;ae58;
2d;31f;33c;b3fc;
2d;322;33c;b9a0;
2b;323;33b;bf48;
29;322;33d;c4ec;
28;321;33d;ca90;
28;323;33f;d034;
26;322;33f;d5dc;
26;323;341;db80;
25;325;341;e124;
24;326;33f;e6c8;
24;325;341;ec70;
22;328;340;f214;
21;327;345;f7b8;
21;326;346;fd5c;
20;32a;344;304;
20;328;347;854;
1f;328;347;da4;
1e;32a;348;12f4;
1d;32a;34b;1898;
1e;32a;34a;1e3c;
1d;327;348;23e0;
1b;32c;349;2988;
1c;32a;34c;2f2c;
1c;32d;34e;34d0;
1b;32c;34d;3a74;
1a;32a;350;4020;
19;32c;34c;45c0;
1a;32c;34d;4b64;
1a;32c;34e;5108;
19;32f;351;56b0;
18;32e;351;5c54;
19;32d;352;61f8;
19;32f;352;679c;
19;32c;352;6d44;
19;32d;354;72e8;
19;330;351;788c;
18;32d;350;7e30;
18;32d;354;83d8;
18;32e;351;897c;
19;32e;354;8f20;
19;32f;355;94c4;
19;32f;355;9a6c;
1a;32d;354;a014;
1a;330;356;a5b4;
1a;32f;354;ab58;
1b;32f;355;b100;
1a;32e;355;b6a4;
1b;32b;356;bc48;
1c;32e;353;c1ec;
1c;32e;358;c794;
1d;331;354;cd38;
1d;32f;357;d2dc;
1e;32e;355;d880;
1f;32e;356;de28;
1f;32f;357;e3cc;
1f;32e;356;e970;
21;330;356;ef14;
21;331;357;f4bc;
22;32d;357;fa60;
23;330;356;c;
23;32e;357;4ac;
24;32e;355;9fc;
25;32d;359;f4c;
26;32e;357;149c;
27;330;35a;1a40;
27;32f;355;1fe4;
28;32f;358;2588;
29;32f;356;2b30;
2a;32f;358;30d4;
2b;32d;357;3678;
2d;330;357;3c20;
2e;32f;359;41c4;
2e;32e;357;4768;
31;32d;356;4d0c;
31;32d;358;52b0;
33;32e;358;5858;
34;32e;357;5dfc;
35;32e;358;63a0;
36;32c;353;6944;
38;330;359;6eec;
39;32d;355;7490;
3a;32e;356;7a34;
3c;32e;358;7fd8;
3d;32f;356;8580;
3f;32f;35b;8b24;
40;32e;356;90c8;
41;32e;357;966c;
43;32e;356;9c18;
45;32b;35a;a1b8;
46;32f;359;a75c;
47;32d;357;ad00;
49;32c;358;b2a8;
4a;32e;355;b84c;
4c;32f;355;bdf0;
4e;32d;357;c394;
4f;32e;353;c93c;
51;32e;353;cee0;
53;32d;353;d484;
54;32d;351;da28;
56;32e;352;dfd0;
58;32f;352;e574;
59;32f;353;eb18;
5b;32e;350;f0bc;
5d;32e;352;f664;
5f;32e;350;fc10;
61;32d;351;1ac;
62;32d;34d;6fc;
64;32a;34e;c4c;
65;32d;34f;119c;
67;32d;351;1740;
69;32b;34d;1ce8;
6b;32b;34d;228c;
6d;329;34d;2830;
6f;327;346;2dd4;
71;329;34e;337c;
72;325;34c;3920;
74;326;349;3ec4;
75;324;346;4468;
77;325;346;4a10;
7a;322;345;4fb4;
7b;322;347;5558;
7e;321;346;5afc;
7e;320;347;60a4;
81;320;343;6648;
83;31f;342;6bec;
84;31f;342;7190;
86;320;33e;7738;
88;320;340;7cdc;
8b;321;341;8280;
8c;31c;342;8824;
8e;31b;33f;8dcc;
8f;31e;33d;9370;
92;31e;33f;9914;
94;31a;33c;9eb8;
96;31e;33d;a460;
97;31c;33a;aa04;
98;31d;33a;afa8;
9b;31d;338;b54c;
9c;31d;338;baf4;
9e;319;335;c098;
a0;31c;335;c63c;
a2;31c;333;cbe0;
a3;318;336;d188;
a5;319;333;d72c;
a6;31a;331;dcd0;
a8;317;334;e274;
ab;319;330;e820;
ac;319;332;edc0;
ae;313;331;f364;
b0;318;32d;f908;
b1;315;32d;feb0;
b3;315;32d;454;
b4;315;32d;9a4;
b6;312;32a;ef4;
b7;311;32a;1444;
b9;314;329;19e8;
ba;30f;329;1f8c;
bc;30f;328;2534;
bd;312;326;2ad8;
bf;312;326;307c;
c0;30f;326;3620;
c1;314;325;3bc8;
c2;311;325;416c;
c3;310;323;4710;
c5;311;321;4cb4;
c7;313;322;525c;
c8;314;323;5808;
c9;310;31c;5da4;
ca;312;321;6348;
cc;311;31f;68f0;
cd;310;31c;6e94;
cd;314;31b;7438;
d0;30d;31c;79dc;
d0;314;319;7f84;
d1;30f;31a;8528;
d3;30f;31c;8acc;
d3;30f;318;9070;
d3;312;319;9618;
d6;30d;318;9bbc;
d7;30d;314;a160;
d8;30d;318;a704;
d9;30c;315;acac;
d9;30e;316;b250;
db;30c;316;b7f4;
da;30e;316;bd98;
dc;30d;313;c340;
dd;30d;313;c8e4;
dd;30b;311;ce88;
df;309;311;d42c;
df;30c;311;d9d4;
df;30b;30e;df78;
e0;30c;30f;e51c;
df;30b;310;eac0;
e1;30c;310;f068;
e2;309;30d;f60c;
e1;308;30b;fbb0;
e2;308;30f;154;
e3;309;30c;6a4;
e4;30a;30e;bf4;
e3;309;30d;1144;
e3;30a;30c;16ec;
e4;309;30b;1c90;
e3;308;30c;2234;
e4;308;30b;27d8;
e3;306;30b;2d80;
e5;307;30c;3324;
e4;308;30e;38c8;
e5;305;30b;3e6c;
e6;306;30b;4418;
e5;304;309;49b8;
e6;305;30b;4f5c;
e5;306;30b;5500;
e6;305;30b;5aa8;
e4;309;30b;604c;
e5;305;30c;65f0;
e4;306;309;6b94;
e4;305;30a;713c;
e4;306;30b;76e0;
e4;303;307;7c84;
e3;307;308;8228;
e3;305;30a;87d0;
e3;307;30a;8d74;
e2;304;309;9318;
e1;306;30b;98bc;
e0;304;307;9e64;
e1;305;309;a410;
e0;306;30a;a9ac;
df;305;30b;af50;
df;305;30a;b4f8;
de;305;30b;ba9c;
de;306;308;c040;
dd;306;30d;c5e4;
dd;309;309;cb8c;
db;306;308;d130;
da;308;30a;d6d4;
d9;302;308;dc78;
d9;304;30a;e220;
d8;304;30a;e7c4;
d7;303;309;ed68;
d6;305;309;f30c;
d5;305;308;f8b4;
d4;301;30a;fe58;
d2;305;308;3fc;
d2;307;30c;94c;
d1;304;309;e9c;
d0;305;30a;13ec;
cf;308;30b;1990;
cc;301;307;1f38;
cc;303;308;24dc;
