x-axis,1,2,3
second,Volt,Volt,Volt
-2.112500E+00,+4.341709E+00,+3.683417E+00,+9.020101E+00
-2.110000E+00,+4.326633E+00,+3.804020E+00,+8.567839E+00
-2.107500E+00,+4.326633E+00,+3.826633E+00,+7.688442E+00
-2.105000E+00,+4.268844E+00,+3.899497E+00,+8.366834E+00
-2.102500E+00,+4.221106E+00,+4.005025E+00,+8.856784E+00
-2.100000E+00,+4.148241E+00,+3.939698E+00,+6.482412E+00
-2.097500E+00,+4.085427E+00,+4.005025E+00,+3.442211E+00
-2.095000E+00,+3.987437E+00,+3.924623E+00,+1.708543E+00
-2.092500E+00,+3.899497E+00,+4.005025E+00,-25.126E-03
-2.090000E+00,+3.804020E+00,+3.964824E+00,-1.432161E+00
-2.087500E+00,+3.683417E+00,+4.020100E+00,-2.638191E+00
-2.085000E+00,+3.562814E+00,+4.012563E+00,-4.560302E+00
-2.082500E+00,+3.424623E+00,+4.005025E+00,-4.685930E+00
-2.080000E+00,+3.296482E+00,+4.027638E+00,-2.952261E+00
-2.077500E+00,+3.160804E+00,+3.859296E+00,+1.143216E+00
-2.075000E+00,+3.022613E+00,+3.844221E+00,+2.386935E+00
-2.072500E+00,+2.864322E+00,+3.577889E+00,+1.545226E+00
-2.070000E+00,+2.743719E+00,+3.537688E+00,+3.479899E+00
-2.067500E+00,+2.557789E+00,+3.241206E+00,+3.844221E+00
-2.065000E+00,+2.396985E+00,+3.190955E+00,+1.670854E+00
-2.062500E+00,+2.253769E+00,+2.929648E+00,+829.146E-03
-2.060000E+00,+2.115578E+00,+2.896985E+00,+665.829E-03
-2.057500E+00,+1.954774E+00,+2.703518E+00,-3.115578E+00
-2.055000E+00,+1.793970E+00,+2.638191E+00,-3.994975E+00
-2.052500E+00,+1.673367E+00,+2.582915E+00,-4.447236E+00
-2.050000E+00,+1.512563E+00,+2.396985E+00,-7.738694E+00
-2.047500E+00,+1.391960E+00,+2.462312E+00,-7.977387E+00
-2.045000E+00,+1.256281E+00,+2.236181E+00,-8.341709E+00
-2.042500E+00,+1.110553E+00,+2.316583E+00,-7.173367E+00
-2.040000E+00,+989.950E-03,+2.075377E+00,-6.771357E+00
-2.037500E+00,+909.548E-03,+2.092965E+00,-3.555276E+00
-2.035000E+00,+814.070E-03,+1.834171E+00,-3.278895E+00
-2.032500E+00,+708.543E-03,+1.753769E+00,-2.914573E+00
-2.030000E+00,+628.141E-03,+1.577889E+00,-2.550251E+00
-2.027500E+00,+547.739E-03,+1.424623E+00,-1.746231E+00
-2.025000E+00,+507.538E-03,+1.376884E+00,-1.507538E+00
-2.022500E+00,+467.337E-03,+1.150754E+00,-2.349246E+00
-2.020000E+00,+427.136E-03,+1.175879E+00,-1.997487E+00
-2.017500E+00,+427.136E-03,+1.015075E+00,-665.829E-03
-2.015000E+00,+412.060E-03,+1.015075E+00,+339.196E-03
-2.012500E+00,+412.060E-03,+894.472E-03,+301.508E-03
-2.010000E+00,+452.261E-03,+869.347E-03,+703.518E-03
-2.007500E+00,+452.261E-03,+788.945E-03,+4.195980E+00
-2.005000E+00,+507.538E-03,+701.005E-03,+4.685930E+00
-2.002500E+00,+547.739E-03,+668.342E-03,+5.402010E+00
-2.000000E+00,+628.141E-03,+587.940E-03,+7.412060E+00
-1.997500E+00,+708.543E-03,+605.528E-03,+7.889447E+00
-1.995000E+00,+788.945E-03,+547.739E-03,+10.427136E+00
-1.992500E+00,+869.347E-03,+572.864E-03,+11.231156E+00
-1.990000E+00,+989.950E-03,+532.663E-03,+11.344221E+00
-1.987500E+00,+1.070352E+00,+580.402E-03,+11.633166E+00
-1.985000E+00,+1.190955E+00,+587.940E-03,+12.110553E+00
-1.982500E+00,+1.336683E+00,+605.528E-03,+12.437186E+00
-1.980000E+00,+1.472362E+00,+708.543E-03,+15.163317E+00
-1.977500E+00,+1.610553E+00,+708.543E-03,+13.919598E+00
-1.975000E+00,+1.753769E+00,+829.146E-03,+13.756281E+00
-1.972500E+00,+1.914573E+00,+869.347E-03,+13.957287E+00
-1.970000E+00,+2.075377E+00,+1.062814E+00,+13.442211E+00
-1.967500E+00,+2.221106E+00,+1.110553E+00,+13.555276E+00
-1.965000E+00,+2.356784E+00,+1.231156E+00,+12.952261E+00
-1.962500E+00,+2.517588E+00,+1.432161E+00,+13.756281E+00
-1.960000E+00,+2.678392E+00,+1.409548E+00,+13.844221E+00
-1.957500E+00,+2.816583E+00,+1.731156E+00,+12.148241E+00
-1.955000E+00,+2.959799E+00,+1.738693E+00,+12.839196E+00
-1.952500E+00,+3.120603E+00,+1.972362E+00,+13.241206E+00
-1.950000E+00,+3.256281E+00,+2.100503E+00,+12.952261E+00
-1.947500E+00,+3.402010E+00,+2.213568E+00,+11.030151E+00
-1.945000E+00,+3.522613E+00,+2.487437E+00,+10.628141E+00
-1.942500E+00,+3.643216E+00,+2.477387E+00,+10.100503E+00
-1.940000E+00,+3.763819E+00,+2.751256E+00,+10.263819E+00
-1.937500E+00,+3.884422E+00,+2.783920E+00,+10.226131E+00
-1.935000E+00,+3.964824E+00,+3.015075E+00,+10.665829E+00
-1.932500E+00,+4.060301E+00,+3.153266E+00,+11.633166E+00
-1.930000E+00,+4.148241E+00,+3.201005E+00,+11.834171E+00
-1.927500E+00,+4.180905E+00,+3.417085E+00,+11.143216E+00
-1.925000E+00,+4.246231E+00,+3.402010E+00,+12.386935E+00
-1.922500E+00,+4.309045E+00,+3.562814E+00,+12.839196E+00
-1.920000E+00,+4.326633E+00,+3.537688E+00,+12.788945E+00
-1.917500E+00,+4.341709E+00,+3.683417E+00,+13.643216E+00
-1.915000E+00,+4.366834E+00,+3.690955E+00,+13.756281E+00
-1.912500E+00,+4.366834E+00,+3.738693E+00,+12.952261E+00
-1.910000E+00,+4.326633E+00,+3.804020E+00,+11.834171E+00
-1.907500E+00,+4.326633E+00,+3.763819E+00,+11.306533E+00
-1.905000E+00,+4.286432E+00,+3.884422E+00,+9.736181E+00
-1.902500E+00,+4.206030E+00,+3.778894E+00,+8.379397E+00
-1.900000E+00,+4.165829E+00,+3.899497E+00,+7.487437E+00
-1.897500E+00,+4.085427E+00,+3.826633E+00,+5.201005E+00
-1.895000E+00,+4.005025E+00,+3.899497E+00,+3.592965E+00
-1.892500E+00,+3.924623E+00,+3.947236E+00,+2.273869E+00
-1.890000E+00,+3.804020E+00,+3.884422E+00,+904.523E-03
-1.887500E+00,+3.665829E+00,+3.987437E+00,-452.261E-03
-1.885000E+00,+3.562814E+00,+3.884422E+00,-2.550251E+00
-1.882500E+00,+3.442211E+00,+3.939698E+00,-5.728643E+00
-1.880000E+00,+3.321608E+00,+3.826633E+00,-6.130653E+00
-1.877500E+00,+3.175879E+00,+3.899497E+00,-2.148241E+00
-1.875000E+00,+3.040201E+00,+3.746231E+00,-1.834171E+00
-1.872500E+00,+2.856784E+00,+3.683417E+00,-1.708543E+00
-1.870000E+00,+2.718593E+00,+3.570352E+00,+703.518E-03
-1.867500E+00,+2.557789E+00,+3.442211E+00,+1.105528E+00
-1.865000E+00,+2.396985E+00,+3.304020E+00,+1.507538E+00
-1.862500E+00,+2.236181E+00,+3.055276E+00,+1.708543E+00
-1.860000E+00,+2.115578E+00,+3.022613E+00,-100.503E-03
-1.857500E+00,+1.954774E+00,+2.718593E+00,-1.030151E+00
-1.855000E+00,+1.793970E+00,+2.798995E+00,-1.633166E+00
-1.852500E+00,+1.673367E+00,+2.502513E+00,-2.185930E+00
-1.850000E+00,+1.512563E+00,+2.510050E+00,-3.354271E+00
-1.847500E+00,+1.351759E+00,+2.286432E+00,-5.251256E+00
-1.845000E+00,+1.231156E+00,+2.293970E+00,-5.690955E+00
-1.842500E+00,+1.110553E+00,+2.125628E+00,-5.326633E+00
-1.840000E+00,+989.950E-03,+1.987437E+00,-6.055276E+00
-1.837500E+00,+909.548E-03,+1.939699E+00,-5.967337E+00
-1.835000E+00,+829.146E-03,+1.753769E+00,-5.653266E+00
-1.832500E+00,+708.543E-03,+1.738693E+00,-5.125628E+00
-1.830000E+00,+628.141E-03,+1.552764E+00,-4.798995E+00
-1.827500E+00,+572.864E-03,+1.552764E+00,-2.474874E+00
-1.825000E+00,+507.538E-03,+1.376884E+00,-2.437186E+00
-1.822500E+00,+492.462E-03,+1.351759E+00,-3.354271E+00
-1.820000E+00,+427.136E-03,+1.150754E+00,-2.349246E+00
-1.817500E+00,+427.136E-03,+1.128141E+00,-2.399498E+00
-1.815000E+00,+404.523E-03,+1.015075E+00,-100.503E-03
-1.812500E+00,+404.523E-03,+927.136E-03,+778.894E-03
-1.810000E+00,+452.261E-03,+894.472E-03,+904.523E-03
-1.807500E+00,+467.337E-03,+773.869E-03,+2.713568E+00
-1.805000E+00,+507.538E-03,+788.945E-03,+4.798995E+00
-1.802500E+00,+547.739E-03,+693.467E-03,+4.886935E+00
-1.800000E+00,+628.141E-03,+708.543E-03,+7.927136E+00
-1.797500E+00,+668.342E-03,+628.141E-03,+7.814070E+00
-1.795000E+00,+788.945E-03,+605.528E-03,+7.814070E+00
-1.792500E+00,+869.347E-03,+587.940E-03,+10.427136E+00
-1.790000E+00,+989.950E-03,+547.739E-03,+13.643216E+00
