x-axis,1,2,3
second,Volt,Volt,Volt
-2.335000E+00,+2.904523E+00,+2.816583E+00,+8.329146E+00
-2.332500E+00,+2.919598E+00,+2.615578E+00,+7.889447E+00
-2.330000E+00,+2.919598E+00,+2.758794E+00,+7.889447E+00
-2.327500E+00,+2.904523E+00,+2.678392E+00,+8.366834E+00
-2.325000E+00,+2.919598E+00,+2.670854E+00,+8.731156E+00
-2.322500E+00,+2.879397E+00,+2.703518E+00,+8.618090E+00
-2.320000E+00,+2.896985E+00,+2.630653E+00,+8.932161E+00
-2.317500E+00,+2.896985E+00,+2.743719E+00,+8.932161E+00
-2.315000E+00,+2.919598E+00,+2.575377E+00,+8.618090E+00
-2.312500E+00,+2.879397E+00,+2.751256E+00,+8.128141E+00
-2.310000E+00,+2.904523E+00,+2.608040E+00,+7.010050E+00
-2.307500E+00,+2.919598E+00,+2.736181E+00,+7.688442E+00
-2.305000E+00,+2.904523E+00,+2.703518E+00,+8.530151E+00
-2.302500E+00,+2.919598E+00,+2.695980E+00,+7.286432E+00
-2.300000E+00,+2.919598E+00,+2.768844E+00,+7.525126E+00
-2.297500E+00,+2.904523E+00,+2.655779E+00,+7.688442E+00
-2.295000E+00,+2.879397E+00,+2.816583E+00,+7.851759E+00
-2.292500E+00,+2.904523E+00,+2.638191E+00,+9.296482E+00
-2.290000E+00,+2.904523E+00,+2.776382E+00,+9.824121E+00
-2.287500E+00,+2.919598E+00,+2.623116E+00,+8.291457E+00
-2.285000E+00,+2.919598E+00,+2.655779E+00,+8.090452E+00
-2.282500E+00,+2.919598E+00,+2.648241E+00,+8.530151E+00
-2.280000E+00,+2.919598E+00,+2.655779E+00,+7.613065E+00
-2.277500E+00,+2.896985E+00,+2.743719E+00,+8.329146E+00
-2.275000E+00,+2.879397E+00,+2.630653E+00,+8.366834E+00
-2.272500E+00,+2.904523E+00,+2.783920E+00,+7.613065E+00
-2.270000E+00,+2.919598E+00,+2.590452E+00,+7.286432E+00
-2.267500E+00,+2.896985E+00,+2.751256E+00,+7.211055E+00
-2.265000E+00,+2.919598E+00,+2.688442E+00,+8.216080E+00
-2.262500E+00,+2.919598E+00,+2.751256E+00,+8.216080E+00
-2.260000E+00,+2.919598E+00,+2.718593E+00,+8.417085E+00
-2.257500E+00,+2.919598E+00,+2.695980E+00,+7.613065E+00
-2.255000E+00,+2.879397E+00,+2.809045E+00,+6.922111E+00
-2.252500E+00,+2.904523E+00,+2.655779E+00,+6.884422E+00
-2.250000E+00,+2.919598E+00,+2.816583E+00,+7.085427E+00
-2.247500E+00,+2.919598E+00,+2.663317E+00,+8.567839E+00
-2.245000E+00,+2.919598E+00,+2.776382E+00,+8.819096E+00
-2.242500E+00,+2.919598E+00,+2.703518E+00,+6.809045E+00
-2.240000E+00,+2.919598E+00,+2.743719E+00,+8.128141E+00
-2.237500E+00,+2.919598E+00,+2.783920E+00,+8.329146E+00
-2.235000E+00,+2.896985E+00,+2.695980E+00,+8.454774E+00
-2.232500E+00,+2.904523E+00,+2.783920E+00,+7.412060E+00
-2.230000E+00,+2.919598E+00,+2.623116E+00,+6.884422E+00
-2.227500E+00,+2.896985E+00,+2.798995E+00,+6.809045E+00
-2.225000E+00,+2.919598E+00,+2.673367E+00,+7.412060E+00
-2.222500E+00,+2.904523E+00,+2.776382E+00,+7.726131E+00
-2.220000E+00,+2.919598E+00,+2.728643E+00,+7.763819E+00
-2.217500E+00,+2.896985E+00,+2.695980E+00,+7.613065E+00
-2.215000E+00,+2.919598E+00,+2.768844E+00,+7.889447E+00
-2.212500E+00,+2.919598E+00,+2.655779E+00,+9.334171E+00
-2.210000E+00,+2.919598E+00,+2.783920E+00,+7.851759E+00
-2.207500E+00,+2.904523E+00,+2.557789E+00,+7.613065E+00
-2.205000E+00,+2.896985E+00,+2.776382E+00,+7.412060E+00
-2.202500E+00,+2.904523E+00,+2.638191E+00,+7.726131E+00
-2.200000E+00,+2.896985E+00,+2.751256E+00,+7.726131E+00
-2.197500E+00,+2.919598E+00,+2.728643E+00,+7.814070E+00
-2.195000E+00,+2.919598E+00,+2.711055E+00,+7.010050E+00
-2.192500E+00,+2.919598E+00,+2.809045E+00,+6.884422E+00
-2.190000E+00,+2.919598E+00,+2.678392E+00,+7.047739E+00
-2.187500E+00,+2.904523E+00,+2.839196E+00,+9.258794E+00
-2.185000E+00,+2.919598E+00,+2.678392E+00,+8.530151E+00
